reference_locus,gene,annotation,strand,gene_start,gene_end,operonmapper_id,product,operon_id,operon_size,operon_position,operon_role,operon_status,first_gene_in_operon,internal_polycistronic,operon_left,operon_right,operon_first_orf,operon_last_orf,operon_members_ordered,previous_orf,next_orf,orf_left,orf_right,mapping_method,mapping_overlap,mapping_review_flag
MIDG2331_RS00715,leuC,3-isopropylmalate dehydratase large subunit,-,157199,158608,leuC,3-isopropylmalate dehydratase large subunit,72,2,1,first,First gene in polycistronic operon,TRUE,FALSE,156586,158608,leuC,leuD,leuC;leuD,,leuD,157199,158608,exact_coordinates,1,
MIDG2331_RS00895,dksA,RNA polymerase-binding protein DksA,+,196616,197065,dksA,RNA polymerase-binding transcription factor DksA,86,3,1,first,First gene in polycistronic operon,TRUE,FALSE,196616,199280,dksA,folK,dksA;pcnB;folK,,pcnB,196616,197065,exact_coordinates,1,
MIDG2331_RS00945,aroF,3-deoxy-7-phosphoheptulonate synthase,-,207567,208628,cds-WP_005600235.1,Phospho-2-dehydro-3-deoxyheptonate aldolase Tyr-sensitive,91,3,2,internal,Internal gene in polycistronic operon,FALSE,TRUE,206333,209716,cds-WP_039708932.1,tyrA,cds-WP_039708932.1;cds-WP_005600235.1;tyrA,cds-WP_039708932.1,tyrA,207567,208628,exact_coordinates,1,
MIDG2331_RS01055,dxs,1-deoxy-D-xylulose-5-phosphate synthase,+,228650,230503,dxs,1-deoxy-D-xylulose-5-phosphate synthase,102,1,1,single,Single-gene operon,TRUE,FALSE,228650,230503,dxs,dxs,dxs,,,228650,230503,exact_coordinates,1,
MIDG2331_RS01105,csy1,type I-F CRISPR-associated protein Csy1,-,242676,244025,csy1,CRISPR-associated protein Csy1,107,4,1,first,First gene in polycistronic operon,TRUE,FALSE,240151,244025,csy1,cas6f,csy1;csy2;csy3;cas6f,,csy2,242676,244025,exact_coordinates,1,
MIDG2331_RS01225,mutT,8-oxo-dGTP diphosphatase MutT,+,262206,262604,mutT,8-oxo-dGTP diphosphatase,119,3,3,last,Last gene in polycistronic operon,FALSE,TRUE,258175,262604,secA,mutT,secA;cds-WP_039708944.1;mutT,cds-WP_039708944.1,,262206,262604,exact_coordinates,1,
MIDG2331_RS01240,argD2,aspartate aminotransferase family protein,+,264681,265862,cds-WP_039708945.1,Acetylornithine aminotransferase,120,3,3,last,Last gene in polycistronic operon,FALSE,TRUE,262839,265862,argC,cds-WP_039708945.1,argC;argB;cds-WP_039708945.1,argB,,264681,265862,exact_coordinates,1,
MIDG2331_RS01485,hsdM2,type I restriction-modification system subunit M,+,320994,322544,cds-WP_039708957.1,Type I restriction enzyme EcoprrI M protein,146,3,2,internal,Internal gene in polycistronic operon,FALSE,TRUE,318208,323542,gyrA,cds-WP_039708958.1,gyrA;cds-WP_039708957.1;cds-WP_039708958.1,gyrA,cds-WP_039708958.1,320994,322544,exact_coordinates,1,
MIDG2331_RS01660,metC,cystathionine beta-lyase,-,361950,363140,metC,Cystathionine beta-lyase,166,1,1,single,Single-gene operon,TRUE,FALSE,361950,363140,metC,metC,metC,,,361950,363140,exact_coordinates,1,
MIDG2331_RS01960,glpB,glycerol-3-phosphate dehydrogenase subunit GlpB,+,437895,439181,glpB,Anaerobic glycerol-3-phosphate dehydrogenase subunit B,203,3,2,internal,Internal gene in polycistronic operon,FALSE,TRUE,436220,440452,glpA,glpC,glpA;glpB;glpC,glpA,glpC,437895,439181,exact_coordinates,1,
MIDG2331_RS02235,leuB,3-isopropylmalate dehydrogenase,+,494812,495894,leuB,3-isopropylmalate dehydrogenase,235,1,1,single,Single-gene operon,TRUE,FALSE,494812,495894,leuB,leuB,leuB,,,494812,495894,exact_coordinates,1,
MIDG2331_RS02245,gap,type I glyceraldehyde-3-phosphate dehydrogenase,+,496636,497640,gap,Glyceraldehyde-3-phosphate dehydrogenase,237,1,1,single,Single-gene operon,TRUE,FALSE,496636,497640,gap,gap,gap,,,496636,497640,exact_coordinates,1,
MIDG2331_RS02300,ykgF,LutB/LldF family L-lactate oxidation iron-sulfur protein,-,517763,519172,cds-WP_039709011.1,Uncharacterized electron transport protein YkgF,244,4,3,internal,Internal gene in polycistronic operon,FALSE,TRUE,516939,521672,cds-WP_058230459.1,cds-WP_005611661.1,cds-WP_058230459.1;cds-WP_005596552.1;cds-WP_039709011.1;cds-WP_005611661.1,cds-WP_005596552.1,cds-WP_005611661.1,517763,519172,exact_coordinates,1,
MIDG2331_RS02335,sucC,ADP-forming succinate--CoA ligase subunit beta,-,526806,527972,sucC,Succinate--CoA ligase [ADP-forming] subunit beta,248,2,1,first,First gene in polycistronic operon,TRUE,FALSE,525931,527972,sucC,sucD,sucC;sucD,,sucD,526806,527972,exact_coordinates,1,
MIDG2331_RS02505,rplY,50S ribosomal protein L25,+,562824,563111,rplY,50S ribosomal protein L25,267,1,1,single,Single-gene operon,TRUE,FALSE,562824,563111,rplY,rplY,rplY,,,562824,563111,exact_coordinates,1,
MIDG2331_RS02785,mukB,chromosome partition protein MukB,+,621450,625940,mukB,Chromosome partition protein MukB,287,3,3,last,Last gene in polycistronic operon,FALSE,TRUE,619305,625940,mukF,mukB,mukF;mukE;mukB,mukE,,621450,625940,exact_coordinates,1,
MIDG2331_RS02890,rpsI,30S ribosomal protein S9,+,651993,652388,rpsI,30S ribosomal protein S9,300,2,2,last,Last gene in polycistronic operon,FALSE,TRUE,651548,652388,rplM,rpsI,rplM;rpsI,rplM,,651993,652388,exact_coordinates,1,
MIDG2331_RS02905,fieF,cation diffusion facilitator family transporter,+,653863,654786,cds-WP_005600733.1,Cation-efflux pump FieF,301,4,3,internal,Internal gene in polycistronic operon,FALSE,TRUE,652510,655537,yaaA,cds-WP_005611845.1,yaaA;cds-WP_005611843.1;cds-WP_005600733.1;cds-WP_005611845.1,cds-WP_005611843.1,cds-WP_005611845.1,653863,654786,exact_coordinates,1,
MIDG2331_RS02970,lrp,leucine-responsive transcriptional regulator Lrp,+,667396,667878,lrp,Leucine-responsive regulatory protein,309,2,1,first,First gene in polycistronic operon,TRUE,FALSE,667396,670760,lrp,cds-WP_039709543.1,lrp;cds-WP_039709543.1,,cds-WP_039709543.1,667396,667878,exact_coordinates,1,
MIDG2331_RS02975,ftsK,DNA translocase FtsK,+,667890,670760,cds-WP_039709543.1,DNA translocase FtsK,309,2,2,last,Last gene in polycistronic operon,FALSE,TRUE,667396,670760,lrp,cds-WP_039709543.1,lrp;cds-WP_039709543.1,lrp,,667890,670760,exact_coordinates,1,
MIDG2331_RS03230,ompP2B,porin,-,712179,713264,cds-WP_039709061.1,Outer membrane protein P2,339,1,1,single,Single-gene operon,TRUE,FALSE,712179,713264,cds-WP_039709061.1,cds-WP_039709061.1,cds-WP_039709061.1,,,712179,713264,exact_coordinates,1,
MIDG2331_RS03295,aspC,amino acid aminotransferase,+,725436,726632,cds-WP_039709067.1,Aspartate aminotransferase,346,1,1,single,Single-gene operon,TRUE,FALSE,725436,726632,cds-WP_039709067.1,cds-WP_039709067.1,cds-WP_039709067.1,,,725436,726632,exact_coordinates,1,
MIDG2331_RS03300,pepP,Xaa-Pro aminopeptidase,-,726812,728098,pepP,Xaa-Pro aminopeptidase,347,1,1,single,Single-gene operon,TRUE,FALSE,726812,728098,pepP,pepP,pepP,,,726812,728098,exact_coordinates,1,
MIDG2331_RS03400,metB,methionine biosynthesis PLP-dependent protein,-,750728,751864,cds-WP_039709078.1,Cystathionine gamma-synthase,360,1,1,single,Single-gene operon,TRUE,FALSE,750728,751864,cds-WP_039709078.1,cds-WP_039709078.1,cds-WP_039709078.1,,,750728,751864,exact_coordinates,1,
MIDG2331_RS03495,hisC,histidinol-phosphate transaminase,-,773752,774846,hisC,Histidinol-phosphate aminotransferase 2,369,3,1,first,First gene in polycistronic operon,TRUE,FALSE,770979,774846,hisC,argA,hisC;aroA;argA,,aroA,773752,774846,exact_coordinates,1,
MIDG2331_RS03505,serC,3-phosphoserine/phosphohydroxythreonine transaminase,-,776520,777608,serC,Phosphoserine aminotransferase,371,1,1,single,Single-gene operon,TRUE,FALSE,776520,777608,serC,serC,serC,,,776520,777608,exact_coordinates,1,
MIDG2331_RS03630,ilvI,acetolactate synthase 3 large subunit,+,806361,808085,cds-WP_005597115.1,Acetolactate synthase large subunit,388,2,1,first,First gene in polycistronic operon,TRUE,FALSE,806361,808569,cds-WP_005597115.1,ilvN,cds-WP_005597115.1;ilvN,,ilvN,806361,808085,exact_coordinates,1,
MIDG2331_RS03735,aroC,chorismate synthase,-,824899,825981,aroC,Chorismate synthase,397,6,5,internal,Internal gene in polycistronic operon,FALSE,TRUE,823974,834662,seqA,mepA,seqA;menE;mscK_2;mscK;aroC;mepA,mscK,mepA,824899,825981,exact_coordinates,1,
MIDG2331_RS03810,arfA,alternative ribosome-rescue factor A,-,842285,842527,cds-WP_039709093.1,Alternative ribosome-rescue factor A,404,1,1,single,Single-gene operon,TRUE,FALSE,842285,842527,cds-WP_039709093.1,cds-WP_039709093.1,cds-WP_039709093.1,,,842285,842527,exact_coordinates,1,
MIDG2331_RS03840,sstT,serine/threonine transporter SstT,-,849091,850305,sstT,Serine/threonine transporter SstT,407,1,1,single,Single-gene operon,TRUE,FALSE,849091,850305,sstT,sstT,sstT,,,849091,850305,exact_coordinates,1,
MIDG2331_RS04545,dapA,4-hydroxy-tetrahydrodipicolinate synthase,-,1011389,1012282,dapA,4-hydroxy-tetrahydrodipicolinate synthase,491,1,1,single,Single-gene operon,TRUE,FALSE,1011389,1012282,dapA,dapA,dapA,,,1011389,1012282,exact_coordinates,1,
MIDG2331_RS04600,hlpA,MetQ/NlpA family lipoprotein,-,1020547,1021368,cds-WP_005612250.1,Outer membrane lipoprotein 1,501,4,3,internal,Internal gene in polycistronic operon,FALSE,TRUE,1019616,1023095,metN,cds-WP_005601246.1,metN;cds-WP_005597560.1;cds-WP_005612250.1;cds-WP_005601246.1,cds-WP_005597560.1,cds-WP_005601246.1,1020547,1021368,exact_coordinates,1,
MIDG2331_RS04665,hscA,Fe-S protein assembly chaperone HscA,-,1035052,1036905,hscA,Chaperone protein HscA homolog,509,3,1,first,First gene in polycistronic operon,TRUE,FALSE,1034396,1036905,hscA,iscX,hscA;fdx;iscX,,fdx,1035052,1036905,exact_coordinates,1,
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,iscU,Iron-sulfur cluster assembly scaffold protein IscU,510,7,3,internal,Internal gene in polycistronic operon,FALSE,TRUE,1037024,1041434,cds-WP_005597614.1,cds-WP_005597602.1,cds-WP_005597614.1;cds-WP_005597612.1;iscU;iscA;hscB;cds-WP_039709144.1;cds-WP_005597602.1,cds-WP_005597612.1,iscA,1039184,1039567,exact_coordinates,1,
MIDG2331_RS04730,bioD,dethiobiotin synthase,-,1047451,1048095,bioD_2,ATP-dependent dethiobiotin synthetase BioD 2,515,6,5,internal,Internal gene in polycistronic operon,FALSE,TRUE,1046919,1052010,bioA,smrB,bioA;cds-WP_039709147.1;cds-WP_005601275.1;bioC;bioD_2;smrB,bioC,smrB,1047451,1048095,exact_coordinates,1,
MIDG2331_RS05485,arcD1,basic amino acid/polyamine antiporter,+,1227126,1228541,cds-WP_005604827.1,Putative arginine/ornithine antiporter,600,5,2,internal,Internal gene in polycistronic operon,FALSE,TRUE,1226140,1231989,cds-WP_005597940.1,argE,cds-WP_005597940.1;cds-WP_005604827.1;cds-WP_039709183.1;cds-WP_039709184.1;argE,cds-WP_005597940.1,cds-WP_039709183.1,1227126,1228541,exact_coordinates,1,
MIDG2331_RS05515,arsB,ACR3 family arsenite efflux transporter,-,1235731,1236732,arsB,Arsenical-resistance protein Acr3,603,3,3,last,Last gene in polycistronic operon,FALSE,TRUE,1235731,1237522,cds-WP_039709186.1,arsB,cds-WP_039709186.1;arsC;arsB,arsC,,1235731,1236732,exact_coordinates,1,
MIDG2331_RS05685,tsaD,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,-,1270821,1271864,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,622,4,1,first,First gene in polycistronic operon,TRUE,FALSE,1269804,1271864,tsaD,cyaY,tsaD;cds-WP_005612537.1;cds-WP_039709194.1;cyaY,,cds-WP_005612537.1,1270821,1271864,exact_coordinates,1,
MIDG2331_RS05710,nifS,aminotransferase class V-fold PLP-dependent enzyme,-,1275762,1276964,cds-WP_039709195.1,Probable cysteine desulfurase,626,2,2,last,Last gene in polycistronic operon,FALSE,TRUE,1275762,1277662,cds-WP_039709196.1,cds-WP_039709195.1,cds-WP_039709196.1;cds-WP_039709195.1,cds-WP_039709196.1,,1275762,1276964,exact_coordinates,1,
MIDG2331_RS05800,aroE,shikimate dehydrogenase,-,1290799,1291623,aroE,Shikimate dehydrogenase (NADP(+)),634,6,6,last,Last gene in polycistronic operon,FALSE,TRUE,1290799,1294664,recA,aroE,recA;recX;yqfB;cds-WP_039709201.1;tsaC;aroE,tsaC,,1290799,1291623,exact_coordinates,1,
MIDG2331_RS05925,trpE,anthranilate synthase component 1,+,1315237,1316787,cds-WP_039709210.1,Anthranilate synthase component 1,648,4,1,first,First gene in polycistronic operon,TRUE,FALSE,1315237,1319247,cds-WP_039709210.1,cds-WP_005598083.1,cds-WP_039709210.1;cds-WP_039709211.1;trpD;cds-WP_005598083.1,,cds-WP_039709211.1,1315237,1316787,exact_coordinates,1,
MIDG2331_RS05935,trpD,anthranilate phosphoribosyltransferase,+,1317445,1318449,trpD,Anthranilate phosphoribosyltransferase,648,4,3,internal,Internal gene in polycistronic operon,FALSE,TRUE,1315237,1319247,cds-WP_039709210.1,cds-WP_005598083.1,cds-WP_039709210.1;cds-WP_039709211.1;trpD;cds-WP_005598083.1,cds-WP_039709211.1,cds-WP_005598083.1,1317445,1318449,exact_coordinates,1,
MIDG2331_RS06010,argH,argininosuccinate lyase,-,1331015,1332391,argH,Argininosuccinate lyase,656,1,1,single,Single-gene operon,TRUE,FALSE,1331015,1332391,argH,argH,argH,,,1331015,1332391,exact_coordinates,1,
MIDG2331_RS06145,hxpB,hexitol phosphatase HxpB,-,1359047,1359697,hxpB,2-deoxyglucose-6-phosphate phosphatase,677,1,1,single,Single-gene operon,TRUE,FALSE,1359047,1359697,hxpB,hxpB,hxpB,,,1359047,1359697,exact_coordinates,1,
MIDG2331_RS06220,serB,phosphoserine phosphatase SerB,+,1373141,1374001,serB,Phosphoserine phosphatase,687,3,1,first,First gene in polycistronic operon,TRUE,FALSE,1373141,1374797,serB,cds-WP_005620436.1,serB;cds-WP_009875523.1;cds-WP_005620436.1,,cds-WP_009875523.1,1373141,1374001,exact_coordinates,1,
MIDG2331_RS06360,pstB,phosphate ABC transporter ATP-binding protein PstB,-,1408817,1409596,pstB,Phosphate import ATP-binding protein PstB,701,7,4,internal,Internal gene in polycistronic operon,FALSE,TRUE,1404712,1412601,pstS,parE,pstS;pstC;pstA;pstB;phoB;phoR;parE,pstA,phoB,1408817,1409596,exact_coordinates,1,
MIDG2331_RS06420,sprT,SprT family zinc-dependent metalloprotease,+,1420648,1421169,cds-WP_005598290.1,Protein SprT,706,2,2,last,Last gene in polycistronic operon,FALSE,TRUE,1419880,1421169,cds-WP_039709239.1,cds-WP_005598290.1,cds-WP_039709239.1;cds-WP_005598290.1,cds-WP_039709239.1,,1420648,1421169,exact_coordinates,1,
MIDG2331_RS06780,ptsB,sucrose-specific PTS transporter subunit IIBC,-,1482696,1484117,cds-WP_039709257.1,PTS system sucrose-specific EIIBC component,745,1,1,single,Single-gene operon,TRUE,FALSE,1482696,1484117,cds-WP_039709257.1,cds-WP_039709257.1,cds-WP_039709257.1,,,1482696,1484117,exact_coordinates,1,
MIDG2331_RS06845,apxIIIA,RTX family hemolysin,-,1500642,1503800,cds-WP_005620396.1,RTX-III toxin determinant A from serotype 8,751,4,2,internal,Internal gene in polycistronic operon,FALSE,TRUE,1497005,1504325,apxIIIC,cds-WP_039709261.1,apxIIIC;cds-WP_005620396.1;cds-WP_005605166.1;cds-WP_039709261.1,apxIIIC,cds-WP_005605166.1,1500642,1503800,exact_coordinates,1,
MIDG2331_RS07270,pepN,aminopeptidase N,+,1574641,1577250,pepN,Aminopeptidase N,794,1,1,single,Single-gene operon,TRUE,FALSE,1574641,1577250,pepN,pepN,pepN,,,1574641,1577250,exact_coordinates,1,
MIDG2331_RS07320,tehB,SAM-dependent methyltransferase TehB,+,1584567,1585439,tehB,Probable S-adenosyl-L-methionine-dependent methyltransferase TehB,801,1,1,single,Single-gene operon,TRUE,FALSE,1584567,1585439,tehB,tehB,tehB,,,1584567,1585439,exact_coordinates,1,
MIDG2331_RS07335,artI,transporter substrate-binding domain-containing protein,-,1586927,1587646,cds-WP_005619670.1,ABC transporter arginine-binding protein,802,4,2,internal,Internal gene in polycistronic operon,FALSE,TRUE,1585567,1588400,artP,artM,artP;cds-WP_005619670.1;artQ;artM,artP,artQ,1586927,1587646,exact_coordinates,1,
MIDG2331_RS07400,mltF,membrane-bound lytic murein transglycosylase MltF,-,1597925,1599376,mltF,Membrane-bound lytic murein transglycosylase F,809,2,1,first,First gene in polycistronic operon,TRUE,FALSE,1597783,1599376,mltF,cds-WP_005598497.1,mltF;cds-WP_005598497.1,,cds-WP_005598497.1,1597925,1599376,exact_coordinates,1,
MIDG2331_RS07790,glpC_2,D-2-hydroxyglutarate dehydrogenase YdiJ,+,1681035,1684124,ydiJ,Uncharacterized protein HI 1163,849,1,1,single,Single-gene operon,TRUE,FALSE,1681035,1684124,ydiJ,ydiJ,ydiJ,,,1681035,1684124,exact_coordinates,1,
MIDG2331_RS08050,serA,phosphoglycerate dehydrogenase,+,1739359,1740588,serA,D-3-phosphoglycerate dehydrogenase,876,4,4,last,Last gene in polycistronic operon,FALSE,TRUE,1735477,1740588,ilvA,serA,ilvA;glmM;rpiA;serA,rpiA,,1739359,1740588,exact_coordinates,1,
MIDG2331_RS08140,thrC,threonine synthase,+,1757860,1759140,thrC,Threonine synthase,893,1,1,single,Single-gene operon,TRUE,FALSE,1757860,1759140,thrC,thrC,thrC,,,1757860,1759140,exact_coordinates,1,
MIDG2331_RS08210,cysE,serine O-acetyltransferase,+,1771248,1772063,cysE,Serine acetyltransferase,899,4,4,last,Last gene in polycistronic operon,FALSE,TRUE,1769067,1772063,cds-WP_039709305.1,cysE,cds-WP_039709305.1;secB;gpsA;cysE,gpsA,,1771248,1772063,exact_coordinates,1,
MIDG2331_RS08255,ccmI,c-type cytochrome biogenesis protein CcmI,+,1776295,1777209,ccmI,Putative cytochrome c-type biogenesis protein CcmH,903,3,3,last,Last gene in polycistronic operon,FALSE,TRUE,1775281,1777209,cds-WP_005598787.1,ccmI,cds-WP_005598787.1;cds-WP_005605432.1;ccmI,cds-WP_005605432.1,,1776295,1777209,exact_coordinates,1,
MIDG2331_RS08325,epmA,elongation factor P--(R)-beta-lysine ligase,+,1788704,1789687,epmA,Elongation factor P--(R)-beta-lysine ligase,911,1,1,single,Single-gene operon,TRUE,FALSE,1788704,1789687,epmA,epmA,epmA,,,1788704,1789687,exact_coordinates,1,
MIDG2331_RS08490,wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,-,1817332,1818603,wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,924,7,4,internal,Internal gene in polycistronic operon,FALSE,TRUE,1814319,1821788,wecA,wzxE,wecA;cds-WP_039709315.1;wecB;wecC;rffC;rffA;wzxE,wecB,rffC,1817332,1818603,exact_coordinates,1,
MIDG2331_RS08585,exbD1,ExbD/TolR family protein,-,1841551,1841961,cds-WP_039709322.1,Biopolymer transport protein ExbD,933,5,3,internal,Internal gene in polycistronic operon,FALSE,TRUE,1837169,1843400,cds-WP_039709323.1,cds-WP_039709320.1,cds-WP_039709323.1;cds-WP_005602270.1;cds-WP_039709322.1;cds-WP_039709321.1;cds-WP_039709320.1,cds-WP_005602270.1,cds-WP_039709321.1,1841551,1841961,exact_coordinates,1,
MIDG2331_RS08685,modF,molybdate ABC transporter ATP-binding protein ModF,-,1862475,1863932,modF,Putative molybdenum transport ATP-binding protein ModF,942,1,1,single,Single-gene operon,TRUE,FALSE,1862475,1863932,modF,modF,modF,,,1862475,1863932,exact_coordinates,1,
MIDG2331_RS08720,lipA,lipoyl synthase,-,1869591,1870583,lipA,Lipoyl synthase,948,5,5,last,Last gene in polycistronic operon,FALSE,TRUE,1869591,1873653,cds-WP_005619626.1,lipA,cds-WP_005619626.1;cds-WP_005602317.1;ybeD;lipB;lipA,lipB,,1869591,1870583,exact_coordinates,1,
MIDG2331_RS08750,mrdA,penicillin-binding protein 2,-,1874945,1876906,mrdA,Penicillin-binding protein 2,949,4,3,internal,Internal gene in polycistronic operon,FALSE,TRUE,1873828,1877792,rsfS,rodA,rsfS;rlmH;mrdA;rodA,rlmH,rodA,1874945,1876906,exact_coordinates,1,
MIDG2331_RS08845,ureA,urease subunit gamma,-,1892463,1892765,ureA,Urease subunit gamma,959,8,6,internal,Internal gene in polycistronic operon,FALSE,TRUE,1890236,1896074,cds-WP_005599015.1,ureC,cds-WP_005599015.1;cbiM;cds-WP_005605608.1;cds-WP_005618092.1;cds-WP_039709345.1;ureA;ureB;ureC,cds-WP_039709345.1,ureB,1892463,1892765,exact_coordinates,1,
MIDG2331_RS08855,cbiO,energy-coupling factor ABC transporter ATP-binding protein,-,1893776,1894405,cds-WP_005618092.1,Uncharacterized ABC transporter ATP-binding protein HI 1618,959,8,4,internal,Internal gene in polycistronic operon,FALSE,TRUE,1890236,1896074,cds-WP_005599015.1,ureC,cds-WP_005599015.1;cbiM;cds-WP_005605608.1;cds-WP_005618092.1;cds-WP_039709345.1;ureA;ureB;ureC,cds-WP_005605608.1,cds-WP_039709345.1,1893776,1894405,exact_coordinates,1,
MIDG2331_RS08910,glmS,glutamine--fructose-6-phosphate transaminase (isomerizing),-,1904568,1906400,glmS,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],964,2,2,last,Last gene in polycistronic operon,FALSE,TRUE,1904568,1907282,cds-WP_012263324.1,glmS,cds-WP_012263324.1;glmS,cds-WP_012263324.1,,1904568,1906400,exact_coordinates,1,
MIDG2331_RS09100,gntR,gluconate operon transcriptional repressor GntR,-,1940416,1941414,gntR,HTH-type transcriptional regulator GntR,980,1,1,single,Single-gene operon,TRUE,FALSE,1940416,1941414,gntR,gntR,gntR,,,1940416,1941414,exact_coordinates,1,
MIDG2331_RS09150,dmsD,Tat proofreading chaperone DmsD,+,1951622,1952227,dmsD,Probable Tat proofreading chaperone DmsD,982,5,4,internal,Internal gene in polycistronic operon,FALSE,TRUE,1947687,1952749,cds-WP_039709363.1,napF_2,cds-WP_039709363.1;cds-WP_005602440.1;cds-WP_039709364.1;dmsD;napF_2,cds-WP_039709364.1,napF_2,1951622,1952227,exact_coordinates,1,
MIDG2331_RS09295,fkpA2,FKBP-type peptidyl-prolyl cis-trans isomerase,-,1983725,1984354,cds-WP_005613287.1,FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase,994,1,1,single,Single-gene operon,TRUE,FALSE,1983725,1984354,cds-WP_005613287.1,cds-WP_005613287.1,cds-WP_005613287.1,,,1983725,1984354,exact_coordinates,1,
MIDG2331_RS09355,secE,preprotein translocase subunit SecE,+,1994932,1995345,secE,Protein translocase subunit SecE,1004,6,1,first,First gene in polycistronic operon,TRUE,FALSE,1994932,1998529,secE,rplL,secE;nusG;rplK;rplA;rplJ;rplL,,nusG,1994932,1995345,exact_coordinates,1,
MIDG2331_RS09475,sfsA,DNA/RNA nuclease SfsA,-,2020593,2021306,sfsA,Sugar fermentation stimulation protein homolog,1019,1,1,single,Single-gene operon,TRUE,FALSE,2020593,2021306,sfsA,sfsA,sfsA,,,2020593,2021306,exact_coordinates,1,
