reference_locus,identifier,mapping_source,STRING_id,candidate_id,gene,annotation,CopraRNA,TargetRNA2,IntaRNA,n_methods,prediction_support,n_methods_recalculated,support_group,display_name,annotation_lower,functional_category,preferred_name
MIDG2331_RS01055,DXS,Gene name,416269.APL_0207,45,dxs,1-deoxy-D-xylulose-5-phosphate synthase,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,dxs,1-deoxy-d-xylulose-5-phosphate synthase,Other,
MIDG2331_RS01225,MUTT,Gene name,416269.APL_0241,70,mutT,8-oxo-dGTP diphosphatase MutT,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,mutT,8-oxo-dgtp diphosphatase mutt,Other,
MIDG2331_RS01660,METC,Gene name,416269.APL_0320,18,metC,cystathionine beta-lyase,TRUE,FALSE,TRUE,2,2,2,Predicted by 2 tools,metC,cystathionine beta-lyase,Other,
MIDG2331_RS01960,GLPB,Gene name,416269.APL_0380,54,glpB,glycerol-3-phosphate dehydrogenase subunit GlpB,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,glpB,glycerol-3-phosphate dehydrogenase subunit glpb,Other,
MIDG2331_RS02235,LEUB,Gene name,416269.APL_0432,63,leuB,3-isopropylmalate dehydrogenase,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,leuB,3-isopropylmalate dehydrogenase,Amino-acid transport and metabolism,
MIDG2331_RS02300,YKGF,Gene name,416269.APL_0445,96,ykgF,LutB/LldF family L-lactate oxidation iron-sulfur protein,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,ykgF,lutb/lldf family l-lactate oxidation iron-sulfur protein,Other,
MIDG2331_RS02335,SUCC,Gene name,416269.APL_0452,91,sucC,ADP-forming succinate--CoA ligase subunit beta,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,sucC,adp-forming succinate--coa ligase subunit beta,Other,
MIDG2331_RS02505,RPLY,Gene name,416269.APL_0487,19,rplY,50S ribosomal protein L25,TRUE,FALSE,TRUE,2,2,2,Predicted by 2 tools,rplY,50s ribosomal protein l25,Translation,
MIDG2331_RS02785,MUKB,Gene name,416269.APL_0581,69,mukB,chromosome partition protein MukB,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,mukB,chromosome partition protein mukb,Other,
MIDG2331_RS02890,RPSI,Gene name,416269.APL_0601,84,rpsI,30S ribosomal protein S9,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,rpsI,30s ribosomal protein s9,Translation,
MIDG2331_RS02905,FIEF,Gene name,416269.APL_0604,49,fieF,cation diffusion facilitator family transporter,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,fieF,cation diffusion facilitator family transporter,Other,
MIDG2331_RS02970,LRP,Gene name,416269.APL_0617,16,lrp,leucine-responsive transcriptional regulator Lrp,FALSE,TRUE,TRUE,2,2,2,Predicted by 2 tools,lrp,leucine-responsive transcriptional regulator lrp,Amino-acid transport and metabolism,
MIDG2331_RS02975,FTSK,Gene name,416269.APL_0618,8,ftsK,DNA translocase FtsK,FALSE,TRUE,TRUE,2,2,2,Predicted by 2 tools,ftsK,dna translocase ftsk,Other,
MIDG2331_RS03295,ASPC,Gene name,416269.APL_0662,4,aspC,amino acid aminotransferase,FALSE,TRUE,TRUE,2,2,2,Predicted by 2 tools,aspC,amino acid aminotransferase,Amino-acid transport and metabolism,
MIDG2331_RS03300,PEPP,Gene name,416269.APL_0663,76,pepP,Xaa-Pro aminopeptidase,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,pepP,xaa-pro aminopeptidase,Amino-acid transport and metabolism,
MIDG2331_RS03400,METB,Gene name,416269.APL_0683,17,metB,methionine biosynthesis PLP-dependent protein,TRUE,FALSE,TRUE,2,2,2,Predicted by 2 tools,metB,methionine biosynthesis plp-dependent protein,Amino-acid transport and metabolism,
MIDG2331_RS03495,HISC,Gene name,416269.APL_0700,57,hisC,histidinol-phosphate transaminase,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,hisC,histidinol-phosphate transaminase,Amino-acid transport and metabolism,
MIDG2331_RS03505,SERC,Gene name,416269.APL_0702,87,serC,3-phosphoserine/phosphohydroxythreonine transaminase,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,serC,3-phosphoserine/phosphohydroxythreonine transaminase,Amino-acid transport and metabolism,
MIDG2331_RS03630,ILVI,Gene name,416269.APL_0727,15,ilvI,acetolactate synthase 3 large subunit,FALSE,TRUE,TRUE,2,2,2,Predicted by 2 tools,ilvI,acetolactate synthase 3 large subunit,Amino-acid transport and metabolism,
MIDG2331_RS03735,AROC,Gene name,416269.APL_0748,29,aroC,chorismate synthase,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,aroC,chorismate synthase,Amino-acid transport and metabolism,
MIDG2331_RS03840,SSTT,Gene name,416269.APL_0767,90,sstT,serine/threonine transporter SstT,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,sstT,serine/threonine transporter sstt,Amino-acid transport and metabolism,
MIDG2331_RS04545,DAPA,Gene name,416269.APL_0899,5,dapA,4-hydroxy-tetrahydrodipicolinate synthase,FALSE,TRUE,TRUE,2,2,2,Predicted by 2 tools,dapA,4-hydroxy-tetrahydrodipicolinate synthase,Other,
MIDG2331_RS04665,HSCA,Gene name,416269.APL_0925,59,hscA,Fe-S protein assembly chaperone HscA,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,hscA,fe-s protein assembly chaperone hsca,Other,
MIDG2331_RS04730,BIOD,Gene name,416269.APL_0938,34,bioD,dethiobiotin synthase,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,bioD,dethiobiotin synthase,Other,
MIDG2331_RS05685,TSAD,Gene name,416269.APL_1120,93,tsaD,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,tsaD,trna (adenosine(37)-n6)-threonylcarbamoyltransferase complex transferase subunit tsad,Translation,
MIDG2331_RS05800,AROE,Gene name,416269.APL_1139,30,aroE,shikimate dehydrogenase,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,aroE,shikimate dehydrogenase,Amino-acid transport and metabolism,
MIDG2331_RS05925,TRPE,Gene name,416269.APL_1163,24,trpE,anthranilate synthase component 1,TRUE,FALSE,TRUE,2,2,2,Predicted by 2 tools,trpE,anthranilate synthase component 1,Amino-acid transport and metabolism,
MIDG2331_RS05935,TRPD,Gene name,416269.APL_1165,23,trpD,anthranilate phosphoribosyltransferase,FALSE,TRUE,TRUE,2,2,2,Predicted by 2 tools,trpD,anthranilate phosphoribosyltransferase,Amino-acid transport and metabolism,
MIDG2331_RS06010,ARGH,Gene name,416269.APL_1179,28,argH,argininosuccinate lyase,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,argH,argininosuccinate lyase,Other,
MIDG2331_RS06220,SERB,Gene name,416269.APL_1230,21,serB,phosphoserine phosphatase SerB,FALSE,TRUE,TRUE,2,2,2,Predicted by 2 tools,serB,phosphoserine phosphatase serb,Amino-acid transport and metabolism,
MIDG2331_RS06360,PSTB,Gene name,416269.APL_1258,79,pstB,phosphate ABC transporter ATP-binding protein PstB,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,pstB,phosphate abc transporter atp-binding protein pstb,Other,
MIDG2331_RS06420,SPRT,Gene name,416269.APL_1270,89,sprT,SprT family zinc-dependent metalloprotease,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,sprT,sprt family zinc-dependent metalloprotease,Other,
MIDG2331_RS06780,PTSB,Gene name,416269.APL_1319,80,ptsB,sucrose-specific PTS transporter subunit IIBC,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,ptsB,sucrose-specific pts transporter subunit iibc,Other,
MIDG2331_RS07270,PEPN,Gene name,416269.APL_1340,75,pepN,aminopeptidase N,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,pepN,aminopeptidase n,Amino-acid transport and metabolism,
MIDG2331_RS07320,TEHB,Gene name,416269.APL_1350,92,tehB,SAM-dependent methyltransferase TehB,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,tehB,sam-dependent methyltransferase tehb,Other,
MIDG2331_RS07335,ARTI,Gene name,416269.APL_1353,33,artI,transporter substrate-binding domain-containing protein,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,artI,transporter substrate-binding domain-containing protein,Other,
MIDG2331_RS07400,MLTF,Gene name,416269.APL_1366,66,mltF,membrane-bound lytic murein transglycosylase MltF,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,mltF,membrane-bound lytic murein transglycosylase mltf,Other,
MIDG2331_RS08050,SERA,Gene name,416269.APL_1452,86,serA,phosphoglycerate dehydrogenase,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,serA,phosphoglycerate dehydrogenase,Other,
MIDG2331_RS08140,THRC,Gene name,416269.APL_1499,22,thrC,threonine synthase,FALSE,TRUE,TRUE,2,2,2,Predicted by 2 tools,thrC,threonine synthase,Amino-acid transport and metabolism,
MIDG2331_RS08210,CYSE,Gene name,416269.APL_1511,39,cysE,serine O-acetyltransferase,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,cysE,serine o-acetyltransferase,Amino-acid transport and metabolism,
MIDG2331_RS08325,EPMA,Gene name,416269.APL_1530,46,epmA,elongation factor P--(R)-beta-lysine ligase,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,epmA,elongation factor p--(r)-beta-lysine ligase,Amino-acid transport and metabolism,
MIDG2331_RS08490,WECC,Gene name,416269.APL_1551,95,wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,wecC,udp-n-acetyl-d-mannosamine dehydrogenase,Other,
MIDG2331_RS08685,MODF,Gene name,416269.APL_1586,67,modF,molybdate ABC transporter ATP-binding protein ModF,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,modF,molybdate abc transporter atp-binding protein modf,Other,
MIDG2331_RS08720,LIPA,Gene name,416269.APL_1593,65,lipA,lipoyl synthase,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,lipA,lipoyl synthase,Other,
MIDG2331_RS08750,MRDA,Gene name,416269.APL_1599,68,mrdA,penicillin-binding protein 2,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,mrdA,penicillin-binding protein 2,Other,
MIDG2331_RS08845,UREA,Gene name,416269.APL_1618,94,ureA,urease subunit gamma,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,ureA,urease subunit gamma,Other,
MIDG2331_RS08855,CBIO,Gene name,416269.APL_1620,35,cbiO,energy-coupling factor ABC transporter ATP-binding protein,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,cbiO,energy-coupling factor abc transporter atp-binding protein,Other,
MIDG2331_RS08910,GLMS,Gene name,416269.APL_1631,53,glmS,glutamine--fructose-6-phosphate transaminase (isomerizing),FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,glmS,glutamine--fructose-6-phosphate transaminase (isomerizing),Amino-acid transport and metabolism,
MIDG2331_RS09100,GNTR,Gene name,416269.APL_0571,9,gntR,gluconate operon transcriptional repressor GntR,FALSE,TRUE,TRUE,2,2,2,Predicted by 2 tools,gntR,gluconate operon transcriptional repressor gntr,Regulation,
MIDG2331_RS09150,DMSD,Gene name,416269.APL_1677,42,dmsD,Tat proofreading chaperone DmsD,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,dmsD,tat proofreading chaperone dmsd,Other,
MIDG2331_RS09355,SECE,Gene name,416269.APL_1716,85,secE,preprotein translocase subunit SecE,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,secE,preprotein translocase subunit sece,Other,
MIDG2331_RS09475,SFSA,Gene name,416269.APL_1737,88,sfsA,DNA/RNA nuclease SfsA,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,sfsA,dna/rna nuclease sfsa,Other,
MIDG2331_RS09635,NANA,Gene name,416269.APL_1754,71,nanA,N-acetylneuraminate lyase,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,nanA,n-acetylneuraminate lyase,Other,
MIDG2331_RS09755,RPMD,Gene name,416269.APL_1777,83,rpmD,50S ribosomal protein L30,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,rpmD,50s ribosomal protein l30,Translation,
MIDG2331_RS10200,ILVC,Gene name,416269.APL_1853,1,ilvC,ketol-acid reductoisomerase,TRUE,TRUE,TRUE,3,3,3,Predicted by 3 tools,ilvC,ketol-acid reductoisomerase,Other,
MIDG2331_RS10235,DAPD,Gene name,416269.APL_1861,40,dapD,2 3 4 5-tetrahydropyridine-2 6-dicarboxylate N-succinyltransferase,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,dapD,2 3 4 5-tetrahydropyridine-2 6-dicarboxylate n-succinyltransferase,Other,
MIDG2331_RS10295,DAPE,Gene name,416269.APL_1873,6,dapE,succinyl-diaminopimelate desuccinylase,FALSE,TRUE,TRUE,2,2,2,Predicted by 2 tools,dapE,succinyl-diaminopimelate desuccinylase,Amino-acid transport and metabolism,
MIDG2331_RS10465,DNAK,Gene name,416269.APL_1906,43,dnaK,molecular chaperone DnaK,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,dnaK,molecular chaperone dnak,Other,
MIDG2331_RS10510,PANF,Gene name,416269.APL_1915,74,panF,sodium/pantothenate symporter,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,panF,sodium/pantothenate symporter,Other,
MIDG2331_RS10685,PROA,Gene name,416269.APL_1951,77,proA,glutamate-5-semialdehyde dehydrogenase,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,proA,glutamate-5-semialdehyde dehydrogenase,Other,
MIDG2331_RS10890,FABG,Gene name,416269.APL_1992,48,fabG,3-oxoacyl-ACP reductase FabG,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,fabG,3-oxoacyl-acp reductase fabg,Other,
MIDG2331_RS10965,RIMI,Gene name,416269.APL_2007,82,rimI,ribosomal protein S18-alanine N-acetyltransferase,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,rimI,ribosomal protein s18-alanine n-acetyltransferase,Translation,
MIDG2331_RS11025,HISG,Gene name,416269.APL_2019,58,hisG,ATP phosphoribosyltransferase,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,hisG,atp phosphoribosyltransferase,Other,
MIDG2331_RS11030,HISD,Gene name,416269.APL_2020,11,hisD,histidinol dehydrogenase,TRUE,TRUE,FALSE,2,2,2,Predicted by 2 tools,hisD,histidinol dehydrogenase,Amino-acid transport and metabolism,
MIDG2331_RS11045,HISB,Gene name,416269.APL_2023,10,hisB,bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB,FALSE,TRUE,TRUE,2,2,2,Predicted by 2 tools,hisB,bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase hisb,Amino-acid transport and metabolism,
MIDG2331_RS11065,HISA,Gene name,416269.APL_2026,56,hisA,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,hisA,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase,Other,
