reference_locus,gene,method,strand,TSS_support,operon_role,transcript_context_class,representative_TSS_rel_start,local_UTR5_length,operon_aware_UTR5_length,binding_left,binding_right,srna_binding_left,srna_binding_right,binding_context
MIDG2331_RS05710,nifS,IntaRNA,-,WT_broth_only,last,Last_gene_with_local_TSS_candidate,-124,124,,-57,-51,172,178,candidate_internal_5UTR
MIDG2331_RS05800,aroE,TargetRNA2,-,No_proximal_TSS,last,Last_gene_without_local_TSS,,,,-34,-24,76,86,upstream_unresolved
MIDG2331_RS05925,trpE,CopraRNA,+,No_proximal_TSS,first,Operon_first_gene_without_representative_TSS,,,,17,27,79,89,CDS
MIDG2331_RS05925,trpE,IntaRNA,+,No_proximal_TSS,first,Operon_first_gene_without_representative_TSS,,,,18,28,79,89,CDS
MIDG2331_RS05935,trpD,IntaRNA,+,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-1,40,63,92,overlaps_start_codon
MIDG2331_RS05935,trpD,TargetRNA2,+,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-69,-54,71,86,upstream_unresolved
MIDG2331_RS06010,argH,IntaRNA,-,WT_broth_only,single,Single_gene_with_local_TSS,-158,158,158,-52,-41,141,152,5UTR
MIDG2331_RS06145,hxpB,CopraRNA,-,Both_concordant,single,Single_gene_with_local_TSS,-30,30,30,24,31,173,180,CDS
MIDG2331_RS06145,hxpB,IntaRNA,-,Both_concordant,single,Single_gene_with_local_TSS,-30,30,30,25,32,173,180,CDS
MIDG2331_RS06220,serB,IntaRNA,+,No_proximal_TSS,first,Operon_first_gene_without_representative_TSS,,,,-1,71,28,92,overlaps_start_codon
MIDG2331_RS06220,serB,TargetRNA2,+,No_proximal_TSS,first,Operon_first_gene_without_representative_TSS,,,,-2,15,78,93,overlaps_start_codon
MIDG2331_RS06360,pstB,IntaRNA,-,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-12,9,126,146,overlaps_start_codon
MIDG2331_RS06420,sprT,CopraRNA,+,No_proximal_TSS,last,Last_gene_without_local_TSS,,,,45,80,58,91,CDS
MIDG2331_RS06780,ptsB,CopraRNA,-,No_proximal_TSS,single,Single_gene_without_representative_TSS,,,,46,60,75,89,CDS
MIDG2331_RS06845,apxIIIA,IntaRNA,-,WT_plate_only,internal,Internal_gene_with_local_TSS_candidate,-283,283,,-62,-51,139,151,candidate_internal_5UTR
MIDG2331_RS07270,pepN,CopraRNA,+,Both_concordant,single,Single_gene_with_local_TSS,-49,49,49,-2,30,63,93,overlaps_start_codon
MIDG2331_RS07320,tehB,TargetRNA2,+,Both_concordant,single,Single_gene_with_local_TSS,-32,32,32,-8,10,81,98,overlaps_start_codon
MIDG2331_RS07335,artI,CopraRNA,-,WT_plate_only,internal,Internal_gene_with_local_TSS_candidate,-356,356,,-16,19,54,92,overlaps_start_codon
MIDG2331_RS07400,mltF,TargetRNA2,-,Both_concordant,first,Operon_first_gene_with_local_TSS,-26,26,26,-23,-7,140,156,5UTR
MIDG2331_RS07790,glpC_2,IntaRNA,+,No_proximal_TSS,single,Single_gene_without_representative_TSS,,,,-3,24,63,94,overlaps_start_codon
MIDG2331_RS08050,serA,TargetRNA2,+,Both_concordant,last,Last_gene_with_local_TSS_candidate,-24,24,,-24,-10,77,90,candidate_internal_5UTR
MIDG2331_RS08140,thrC,IntaRNA,+,Both_concordant,single,Single_gene_with_local_TSS,-39,39,39,9,22,72,85,CDS
MIDG2331_RS08140,thrC,TargetRNA2,+,Both_concordant,single,Single_gene_with_local_TSS,-39,39,39,5,50,74,89,CDS
MIDG2331_RS08210,cysE,CopraRNA,+,No_proximal_TSS,last,Last_gene_without_local_TSS,,,,-14,14,135,164,overlaps_start_codon
MIDG2331_RS08255,ccmI,IntaRNA,+,No_proximal_TSS,last,Last_gene_without_local_TSS,,,,57,64,9,16,CDS
MIDG2331_RS08325,epmA,IntaRNA,+,WT_broth_only,single,Single_gene_with_local_TSS,-25,25,25,63,73,78,88,CDS
MIDG2331_RS08490,wecC,CopraRNA,-,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-125,-78,54,91,upstream_unresolved
MIDG2331_RS08585,exbD1,TargetRNA2,-,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-59,-43,82,98,upstream_unresolved
MIDG2331_RS08685,modF,IntaRNA,-,No_proximal_TSS,single,Single_gene_without_representative_TSS,,,,-7,18,76,97,overlaps_start_codon
MIDG2331_RS08720,lipA,CopraRNA,-,Both_concordant,last,Last_gene_with_local_TSS_candidate,-128,128,,8,66,133,179,CDS
MIDG2331_RS08750,mrdA,CopraRNA,-,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-112,-80,53,84,upstream_unresolved
MIDG2331_RS08845,ureA,TargetRNA2,-,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-28,-15,77,89,upstream_unresolved
MIDG2331_RS08855,cbiO,IntaRNA,-,Both_concordant,internal,Internal_gene_with_local_TSS_candidate,-197,197,,-19,42,39,90,overlaps_start_codon
MIDG2331_RS08910,glmS,IntaRNA,-,WT_plate_only,last,Last_gene_with_local_TSS_candidate,-266,266,,51,61,171,181,CDS
MIDG2331_RS09100,gntR,IntaRNA,-,WT_broth_only,single,Single_gene_with_local_TSS,-41,41,41,-57,-26,54,87,overlaps_selected_TSS
MIDG2331_RS09100,gntR,TargetRNA2,-,WT_broth_only,single,Single_gene_with_local_TSS,-41,41,41,-3,15,79,96,overlaps_start_codon
MIDG2331_RS09150,dmsD,TargetRNA2,+,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-5,12,79,96,overlaps_start_codon
MIDG2331_RS09295,fkpA2,TargetRNA2,-,Both_concordant,single,Single_gene_with_local_TSS,-30,30,30,-26,-13,72,85,5UTR
MIDG2331_RS09355,secE,TargetRNA2,+,Both_discordant,first,Operon_first_gene_without_representative_TSS,,,,-79,-64,130,144,upstream_unresolved
MIDG2331_RS09475,sfsA,TargetRNA2,-,Both_concordant,single,Single_gene_with_local_TSS,-267,267,267,-7,7,85,98,overlaps_start_codon
MIDG2331_RS09635,nanA,IntaRNA,+,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-42,-35,173,180,upstream_unresolved
MIDG2331_RS09755,rpmD,IntaRNA,+,WT_plate_only,internal,Internal_gene_with_local_TSS_candidate,-65,65,,-75,-32,37,89,overlaps_local_internal_TSS
MIDG2331_RS10200,ilvC,CopraRNA,-,Both_concordant,single,Single_gene_with_local_TSS,-78,78,78,-66,-44,73,95,5UTR
MIDG2331_RS10200,ilvC,IntaRNA,-,Both_concordant,single,Single_gene_with_local_TSS,-78,78,78,-66,-44,73,95,5UTR
MIDG2331_RS10200,ilvC,TargetRNA2,-,Both_concordant,single,Single_gene_with_local_TSS,-78,78,78,-61,-43,72,90,5UTR
MIDG2331_RS10235,dapD,CopraRNA,+,Both_concordant,first,Operon_first_gene_with_local_TSS,-44,44,44,24,77,27,89,CDS
MIDG2331_RS10295,dapE,IntaRNA,-,Both_concordant,internal,Internal_gene_with_local_TSS_candidate,-368,368,,-2,17,74,93,overlaps_start_codon
MIDG2331_RS10295,dapE,TargetRNA2,-,Both_concordant,internal,Internal_gene_with_local_TSS_candidate,-368,368,,3,19,71,88,CDS
MIDG2331_RS10465,dnaK,IntaRNA,-,Both_concordant,first,Operon_first_gene_with_local_TSS,-50,50,50,54,63,172,181,CDS
MIDG2331_RS10510,panF,IntaRNA,-,No_proximal_TSS,last,Last_gene_without_local_TSS,,,,-52,-33,153,179,upstream_unresolved
MIDG2331_RS10685,proA,TargetRNA2,-,Both_concordant,first,Operon_first_gene_with_local_TSS,-25,25,25,-7,9,83,98,overlaps_start_codon
MIDG2331_RS10890,fabG,TargetRNA2,-,Both_concordant,last,Last_gene_with_local_TSS_candidate,-330,330,,-66,-54,71,83,candidate_internal_5UTR
MIDG2331_RS10965,rimI,CopraRNA,+,Both_concordant,internal,Internal_gene_with_local_TSS_candidate,-437,437,,-19,25,31,82,overlaps_start_codon
MIDG2331_RS11025,hisG,TargetRNA2,+,Both_discordant,first,Operon_first_gene_without_representative_TSS,,,,-25,-10,74,89,upstream_unresolved
MIDG2331_RS11030,hisD,CopraRNA,+,WT_plate_only,internal,Internal_gene_with_local_TSS_candidate,-295,295,,-4,7,84,95,overlaps_start_codon
MIDG2331_RS11030,hisD,TargetRNA2,+,WT_plate_only,internal,Internal_gene_with_local_TSS_candidate,-295,295,,-9,9,83,99,overlaps_start_codon
MIDG2331_RS11045,hisB,IntaRNA,+,No_proximal_TSS,last,Last_gene_without_local_TSS,,,,-6,8,75,89,overlaps_start_codon
MIDG2331_RS11045,hisB,TargetRNA2,+,No_proximal_TSS,last,Last_gene_without_local_TSS,,,,-12,7,77,96,overlaps_start_codon
MIDG2331_RS11065,hisA,CopraRNA,+,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-4,22,74,95,overlaps_start_codon
