reference_locus,gene,prediction_source,interaction_start,interaction_stop
MIDG2331_RS02970,lrp,TargetRNA2,73,89
MIDG2331_RS05485,arcD1,TargetRNA2,74,89
MIDG2331_RS03495,hisC,TargetRNA2,74,89
MIDG2331_RS11025,hisG,TargetRNA2,74,89
MIDG2331_RS08140,thrC,TargetRNA2,74,89
MIDG2331_RS03505,serC,TargetRNA2,74,90
MIDG2331_RS03630,ilvI,TargetRNA2,75,90
MIDG2331_RS05800,aroE,TargetRNA2,76,86
MIDG2331_RS00505,ilvD,TargetRNA2,76,88
MIDG2331_RS08845,ureA,TargetRNA2,77,89
MIDG2331_RS08050,serA,TargetRNA2,77,90
MIDG2331_RS11045,hisB,TargetRNA2,77,96
MIDG2331_RS06220,serB,TargetRNA2,78,93
MIDG2331_RS09150,dmsD,TargetRNA2,79,96
MIDG2331_RS01055,dxs,TargetRNA2,79,96
MIDG2331_RS09100,gntR,TargetRNA2,79,96
MIDG2331_RS07320,tehB,TargetRNA2,81,98
MIDG2331_RS08585,exbD1,TargetRNA2,82,98
MIDG2331_RS10685,proA,TargetRNA2,83,98
MIDG2331_RS11030,hisD,TargetRNA2,83,99
MIDG2331_RS05685,tsaD,TargetRNA2,83,100
MIDG2331_RS09475,sfsA,TargetRNA2,85,98
MIDG2331_RS09355,secE,TargetRNA2,130,144
MIDG2331_RS02975,ftsK,TargetRNA2,132,143
MIDG2331_RS00895,dksA,TargetRNA2,132,147
MIDG2331_RS04545,dapA,TargetRNA2,135,154
MIDG2331_RS05515,arsB,TargetRNA2,139,159
MIDG2331_RS07400,mltF,TargetRNA2,140,156
MIDG2331_RS08255,ccmI,IntaRNA,9,16
MIDG2331_RS00685,cysB,IntaRNA,28,89
MIDG2331_RS06220,serB,IntaRNA,28,92
MIDG2331_RS09755,rpmD,IntaRNA,37,89
MIDG2331_RS01225,mutT,IntaRNA,39,86
MIDG2331_RS08855,cbiO,IntaRNA,39,90
MIDG2331_RS03300,pepP,IntaRNA,43,57
MIDG2331_RS00110,ftsA,IntaRNA,49,90
MIDG2331_RS02505,rplY,IntaRNA,50,83
MIDG2331_RS02970,lrp,IntaRNA,53,73
MIDG2331_RS09100,gntR,IntaRNA,54,87
MIDG2331_RS00615,proQ,IntaRNA,54,95
MIDG2331_RS04665,hscA,IntaRNA,56,87
MIDG2331_RS00360,dppF,IntaRNA,58,75
MIDG2331_RS01105,csy1,IntaRNA,58,88
MIDG2331_RS00390,recR,IntaRNA,60,92
MIDG2331_RS01660,metC,IntaRNA,62,87
MIDG2331_RS03630,ilvI,IntaRNA,63,89
MIDG2331_RS02785,mukB,IntaRNA,63,91
MIDG2331_RS05935,trpD,IntaRNA,63,92
MIDG2331_RS07790,glpC_2,IntaRNA,63,94
MIDG2331_RS00670,rsgA,IntaRNA,63,97
MIDG2331_RS08140,thrC,IntaRNA,72,85
MIDG2331_RS02300,ykgF,IntaRNA,72,89
MIDG2331_RS10200,ilvC,IntaRNA,73,95
MIDG2331_RS02245,gap,IntaRNA,74,90
MIDG2331_RS10295,dapE,IntaRNA,74,93
MIDG2331_RS00515,ilvG,IntaRNA,75,85
MIDG2331_RS04600,hlpA,IntaRNA,75,87
MIDG2331_RS05485,arcD1,IntaRNA,75,88
MIDG2331_RS11045,hisB,IntaRNA,75,89
MIDG2331_RS03230,ompP2B,IntaRNA,75,89
MIDG2331_RS00715,leuC,IntaRNA,76,92
MIDG2331_RS08685,modF,IntaRNA,76,97
MIDG2331_RS00505,ilvD,IntaRNA,77,87
MIDG2331_RS08325,epmA,IntaRNA,78,88
MIDG2331_RS03295,aspC,IntaRNA,79,88
MIDG2331_RS05925,trpE,IntaRNA,79,89
MIDG2331_RS06360,pstB,IntaRNA,126,146
MIDG2331_RS02975,ftsK,IntaRNA,133,142
MIDG2331_RS03400,metB,IntaRNA,133,170
MIDG2331_RS04730,bioD,IntaRNA,134,143
MIDG2331_RS01485,hsdM2,IntaRNA,134,172
MIDG2331_RS01960,glpB,IntaRNA,135,145
MIDG2331_RS02905,fieF,IntaRNA,137,170
MIDG2331_RS06845,apxIIIA,IntaRNA,139,151
MIDG2331_RS04545,dapA,IntaRNA,141,148
MIDG2331_RS06010,argH,IntaRNA,141,152
MIDG2331_RS10510,panF,IntaRNA,153,179
MIDG2331_RS03810,arfA,IntaRNA,157,184
MIDG2331_RS08910,glmS,IntaRNA,171,181
MIDG2331_RS05710,nifS,IntaRNA,172,178
MIDG2331_RS10465,dnaK,IntaRNA,172,181
MIDG2331_RS06145,hxpB,IntaRNA,173,180
MIDG2331_RS09635,nanA,IntaRNA,173,180
