name,STRING_id,reference_locus,gene,display_name,annotation,CopraRNA,TargetRNA2,IntaRNA,prediction_support,support_group,functional_category,mapping_source,degree,betweenness,connected,always_label
416269.APL_1530,416269.APL_1530,MIDG2331_RS08325,epmA,epmA,elongation factor P--(R)-beta-lysine ligase,FALSE,FALSE,TRUE,1,Predicted by 1 tool,Amino-acid transport and metabolism,Gene name,0,0,FALSE,FALSE
416269.APL_1992,416269.APL_1992,MIDG2331_RS10890,fabG,fabG,3-oxoacyl-ACP reductase FabG,FALSE,TRUE,FALSE,1,Predicted by 1 tool,Other,Gene name,0,0,FALSE,FALSE
416269.APL_1631,416269.APL_1631,MIDG2331_RS08910,glmS,glmS,glutamine--fructose-6-phosphate transaminase (isomerizing),FALSE,FALSE,TRUE,1,Predicted by 1 tool,Amino-acid transport and metabolism,Gene name,0,0,FALSE,FALSE
416269.APL_0380,416269.APL_0380,MIDG2331_RS01960,glpB,glpB,glycerol-3-phosphate dehydrogenase subunit GlpB,FALSE,FALSE,TRUE,1,Predicted by 1 tool,Other,Gene name,0,0,FALSE,FALSE
416269.APL_1593,416269.APL_1593,MIDG2331_RS08720,lipA,lipA,lipoyl synthase,TRUE,FALSE,FALSE,1,Predicted by 1 tool,Other,Gene name,0,0,FALSE,FALSE
416269.APL_0581,416269.APL_0581,MIDG2331_RS02785,mukB,mukB,chromosome partition protein MukB,FALSE,FALSE,TRUE,1,Predicted by 1 tool,Other,Gene name,0,0,FALSE,FALSE
416269.APL_0241,416269.APL_0241,MIDG2331_RS01225,mutT,mutT,8-oxo-dGTP diphosphatase MutT,FALSE,FALSE,TRUE,1,Predicted by 1 tool,Other,Gene name,0,0,FALSE,FALSE
416269.APL_1754,416269.APL_1754,MIDG2331_RS09635,nanA,nanA,N-acetylneuraminate lyase,FALSE,FALSE,TRUE,1,Predicted by 1 tool,Other,Gene name,0,0,FALSE,FALSE
416269.APL_0663,416269.APL_0663,MIDG2331_RS03300,pepP,pepP,Xaa-Pro aminopeptidase,FALSE,FALSE,TRUE,1,Predicted by 1 tool,Amino-acid transport and metabolism,Gene name,0,0,FALSE,FALSE
416269.APL_1951,416269.APL_1951,MIDG2331_RS10685,proA,proA,glutamate-5-semialdehyde dehydrogenase,FALSE,TRUE,FALSE,1,Predicted by 1 tool,Other,Gene name,0,0,FALSE,FALSE
416269.APL_0119,416269.APL_0119,MIDG2331_RS00615,proQ,proQ,RNA chaperone ProQ,FALSE,FALSE,TRUE,1,Predicted by 1 tool,Other,Gene name,0,0,FALSE,FALSE
416269.APL_1258,416269.APL_1258,MIDG2331_RS06360,pstB,pstB,phosphate ABC transporter ATP-binding protein PstB,FALSE,FALSE,TRUE,1,Predicted by 1 tool,Other,Gene name,0,0,FALSE,FALSE
416269.APL_1319,416269.APL_1319,MIDG2331_RS06780,ptsB,ptsB,sucrose-specific PTS transporter subunit IIBC,TRUE,FALSE,FALSE,1,Predicted by 1 tool,Other,Gene name,0,0,FALSE,FALSE
416269.APL_2007,416269.APL_2007,MIDG2331_RS10965,rimI,rimI,ribosomal protein S18-alanine N-acetyltransferase,TRUE,FALSE,FALSE,1,Predicted by 1 tool,Translation,Gene name,0,0,FALSE,FALSE
416269.APL_1737,416269.APL_1737,MIDG2331_RS09475,sfsA,sfsA,DNA/RNA nuclease SfsA,FALSE,TRUE,FALSE,1,Predicted by 1 tool,Other,Gene name,0,0,FALSE,FALSE
416269.APL_1270,416269.APL_1270,MIDG2331_RS06420,sprT,sprT,SprT family zinc-dependent metalloprotease,TRUE,FALSE,FALSE,1,Predicted by 1 tool,Other,Gene name,0,0,FALSE,FALSE
416269.APL_1350,416269.APL_1350,MIDG2331_RS07320,tehB,tehB,SAM-dependent methyltransferase TehB,FALSE,TRUE,FALSE,1,Predicted by 1 tool,Other,Gene name,0,0,FALSE,FALSE
416269.APL_1618,416269.APL_1618,MIDG2331_RS08845,ureA,ureA,urease subunit gamma,FALSE,TRUE,FALSE,1,Predicted by 1 tool,Other,Gene name,0,0,FALSE,FALSE
416269.APL_1551,416269.APL_1551,MIDG2331_RS08490,wecC,wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,TRUE,FALSE,FALSE,1,Predicted by 1 tool,Other,Gene name,0,0,FALSE,FALSE
416269.APL_0445,416269.APL_0445,MIDG2331_RS02300,ykgF,ykgF,LutB/LldF family L-lactate oxidation iron-sulfur protein,FALSE,FALSE,TRUE,1,Predicted by 1 tool,Other,Gene name,0,0,FALSE,FALSE
