seqname,source,feature,orf_start,orf_end,score,strand,frame,attributes,operonmapper_id,product,orf_left,orf_right,orf_length,operon_id,operon_size,operon_position,operon_role,previous_orf,next_orf,operon_first_orf,operon_last_orf,operon_left,operon_right,operon_members_ordered
NZ_LN908249.1,Protein Homology,CDS,20773,21828,.,+,0,ID=murG;product=UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)_pyrophosphoryl-undecaprenol_N-acetylglucosamine_transferase,murG,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,20773,21828,1056,6,16,10,internal,ftsW,murC,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
NZ_LN908249.1,Protein Homology,CDS,21880,23307,.,+,0,ID=murC;product=UDP-N-acetylmuramate--L-alanine_ligase,murC,UDP-N-acetylmuramate--L-alanine ligase,21880,23307,1428,6,16,11,internal,murG,cds-WP_039709473.1,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
NZ_LN908249.1,Protein Homology,CDS,23415,24326,.,+,0,ID=cds-WP_039709473.1;product=D-alanine--D-alanine_ligase,cds-WP_039709473.1,D-alanine--D-alanine ligase,23415,24326,912,6,16,12,internal,murC,cds-WP_005595617.1,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
NZ_LN908249.1,Protein Homology,CDS,24467,25120,.,+,0,ID=cds-WP_005595617.1;product=Cell_division_protein_FtsQ,cds-WP_005595617.1,Cell division protein FtsQ,24467,25120,654,6,16,13,internal,cds-WP_039709473.1,ftsA,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
NZ_LN908249.1,Protein Homology,CDS,25146,26420,.,+,0,ID=ftsA;product=Cell_division_protein_FtsA,ftsA,Cell division protein FtsA,25146,26420,1275,6,16,14,internal,cds-WP_005595617.1,ftsZ,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
NZ_LN908249.1,Protein Homology,CDS,26459,27670,.,+,0,ID=ftsZ;product=Cell_division_protein_FtsZ,ftsZ,Cell division protein FtsZ,26459,27670,1212,6,16,15,internal,ftsA,lpxC,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
NZ_LN908249.1,Protein Homology,CDS,27704,28624,.,+,0,ID=lpxC;product=UDP-3-O-acyl-N-acetylglucosamine_deacetylase,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,27704,28624,921,6,16,16,last,ftsZ,,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
NZ_LN908249.1,Protein Homology,CDS,28786,30459,.,+,0,ID=recN;product=DNA_repair_protein_RecN,recN,DNA repair protein RecN,28786,30459,1674,7,1,1,single,,,recN,recN,28786,30459,recN
NZ_LN908249.1,Protein Homology,CDS,30601,32004,.,-,0,ID=cds-WP_039709518.1;product=Glutathione_import_ATP-binding_protein_GsiA,cds-WP_039709518.1,Glutathione import ATP-binding protein GsiA,30601,32004,1404,8,4,4,last,cds-WP_005599978.1,,cds-WP_012262672.1,cds-WP_039709518.1,30601,35407,cds-WP_012262672.1;cds-WP_005595632.1;cds-WP_005599978.1;cds-WP_039709518.1
NZ_LN908249.1,Protein Homology,CDS,32004,32789,.,-,0,ID=cds-WP_005599978.1;product=Nickel_transport_system_permease_protein_NikC,cds-WP_005599978.1,Nickel transport system permease protein NikC,32004,32789,786,8,4,3,internal,cds-WP_005595632.1,cds-WP_039709518.1,cds-WP_012262672.1,cds-WP_039709518.1,30601,35407,cds-WP_012262672.1;cds-WP_005595632.1;cds-WP_005599978.1;cds-WP_039709518.1
NZ_LN908249.1,Protein Homology,CDS,32792,33739,.,-,0,ID=cds-WP_005595632.1;product=Glutathione_transport_system_permease_protein_GsiC,cds-WP_005595632.1,Glutathione transport system permease protein GsiC,32792,33739,948,8,4,2,internal,cds-WP_012262672.1,cds-WP_005599978.1,cds-WP_012262672.1,cds-WP_039709518.1,30601,35407,cds-WP_012262672.1;cds-WP_005595632.1;cds-WP_005599978.1;cds-WP_039709518.1
NZ_LN908249.1,Protein Homology,CDS,33833,35407,.,-,0,ID=cds-WP_012262672.1;product=Nickel-binding_periplasmic_protein,cds-WP_012262672.1,Nickel-binding periplasmic protein,33833,35407,1575,8,4,1,first,,cds-WP_005595632.1,cds-WP_012262672.1,cds-WP_039709518.1,30601,35407,cds-WP_012262672.1;cds-WP_005595632.1;cds-WP_005599978.1;cds-WP_039709518.1
NZ_LN908249.1,Protein Homology,CDS,35601,37181,.,-,0,ID=prfC;product=Peptide_chain_release_factor_3,prfC,Peptide chain release factor 3,35601,37181,1581,9,1,1,single,,,prfC,prfC,35601,37181,prfC
NZ_LN908249.1,Protein Homology,CDS,37364,37831,.,+,0,ID=cds-WP_005599983.1;product='hypothetical protein',cds-WP_005599983.1,'hypothetical protein',37364,37831,468,10,2,1,first,,cds-WP_005595642.1,cds-WP_005599983.1,cds-WP_005595642.1,37364,38393,cds-WP_005599983.1;cds-WP_005595642.1
NZ_LN908249.1,Protein Homology,CDS,37878,38393,.,+,0,ID=cds-WP_005595642.1;product=Inner_membrane_protein_YhaI,cds-WP_005595642.1,Inner membrane protein YhaI,37878,38393,516,10,2,2,last,cds-WP_005599983.1,,cds-WP_005599983.1,cds-WP_005595642.1,37364,38393,cds-WP_005599983.1;cds-WP_005595642.1
NZ_LN908249.1,Protein Homology,CDS,38520,39104,.,+,0,ID=pth;product=Peptidyl-tRNA_hydrolase,pth,Peptidyl-tRNA hydrolase,38520,39104,585,11,2,1,first,,ychF,pth,ychF,38520,40304,pth;ychF
NZ_LN908249.1,Protein Homology,CDS,39213,40304,.,+,0,ID=ychF;product=Ribosome-binding_ATPase_YchF,ychF,Ribosome-binding ATPase YchF,39213,40304,1092,11,2,2,last,pth,,pth,ychF,38520,40304,pth;ychF
NZ_LN908249.1,Protein Homology,CDS,40376,40813,.,+,0,ID=cds-WP_005595645.1;product='hypothetical protein',cds-WP_005595645.1,'hypothetical protein',40376,40813,438,12,1,1,single,,,cds-WP_005595645.1,cds-WP_005595645.1,40376,40813,cds-WP_005595645.1
NZ_LN908249.1,Protein Homology,CDS,40863,41138,.,-,0,ID=cds-WP_005599987.1;product='hypothetical protein',cds-WP_005599987.1,'hypothetical protein',40863,41138,276,13,3,3,last,cds-WP_005618683.1,,cds-WP_005595649.1,cds-WP_005599987.1,40863,42256,cds-WP_005595649.1;cds-WP_005618683.1;cds-WP_005599987.1
NZ_LN908249.1,Protein Homology,CDS,41169,41633,.,-,0,ID=cds-WP_005618683.1;product=Outer_membrane_lipoprotein_pcp,cds-WP_005618683.1,Outer membrane lipoprotein pcp,41169,41633,465,13,3,2,internal,cds-WP_005595649.1,cds-WP_005599987.1,cds-WP_005595649.1,cds-WP_005599987.1,40863,42256,cds-WP_005595649.1;cds-WP_005618683.1;cds-WP_005599987.1
NZ_LN908249.1,Protein Homology,CDS,41660,42256,.,-,0,ID=cds-WP_005595649.1;product=Uncharacterized_protein_HI_1581/HI_1582,cds-WP_005595649.1,Uncharacterized protein HI 1581/HI 1582,41660,42256,597,13,3,1,first,,cds-WP_005618683.1,cds-WP_005595649.1,cds-WP_005599987.1,40863,42256,cds-WP_005595649.1;cds-WP_005618683.1;cds-WP_005599987.1
NZ_LN908249.1,Protein Homology,CDS,42354,44081,.,+,0,ID=argS;product=Arginine--tRNA_ligase,argS,Arginine--tRNA ligase,42354,44081,1728,14,1,1,single,,,argS,argS,42354,44081,argS
NZ_LN908249.1,Protein Homology,CDS,44225,45400,.,+,0,ID=cgtA;product=GTPase_Obg,cgtA,GTPase Obg,44225,45400,1176,15,1,1,single,,,cgtA,cgtA,44225,45400,cgtA
NZ_LN908249.1,Protein Homology,CDS,45475,46086,.,+,0,ID=cds-WP_005599990.1;product=Uncharacterized_protein_HI_0552,cds-WP_005599990.1,Uncharacterized protein HI 0552,45475,46086,612,16,1,1,single,,,cds-WP_005599990.1,cds-WP_005599990.1,45475,46086,cds-WP_005599990.1
NZ_LN908249.1,Protein Homology,CDS,46186,46929,.,-,0,ID=rlmB;product=23S_rRNA_(guanosine-2'-O-)-methyltransferase_RlmB,rlmB,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB,46186,46929,744,17,1,1,single,,,rlmB,rlmB,46186,46929,rlmB
NZ_LN908249.1,Protein Homology,CDS,47008,48372,.,-,0,ID=pssA;product=CDP-diacylglycerol--serine_O-phosphatidyltransferase,pssA,CDP-diacylglycerol--serine O-phosphatidyltransferase,47008,48372,1365,18,1,1,single,,,pssA,pssA,47008,48372,pssA
NZ_LN908249.1,Protein Homology,CDS,48524,51340,.,-,0,ID=ileS;product=Isoleucine--tRNA_ligase,ileS,Isoleucine--tRNA ligase,48524,51340,2817,19,2,2,last,ribF,,ribF,ileS,48524,52363,ribF;ileS
NZ_LN908249.1,Protein Homology,CDS,51401,52363,.,-,0,ID=ribF;product=Riboflavin_biosynthesis_protein_RibF,ribF,Riboflavin biosynthesis protein RibF,51401,52363,963,19,2,1,first,,ileS,ribF,ileS,48524,52363,ribF;ileS
NZ_LN908249.1,Protein Homology,CDS,52696,53976,.,+,0,ID=nadR;product=Bifunctional_NAD_biosynthesis_protein_NadR,nadR,Bifunctional NAD biosynthesis protein NadR,52696,53976,1281,20,2,1,first,,cds-WP_005595665.1,nadR,cds-WP_005595665.1,52696,54671,nadR;cds-WP_005595665.1
NZ_LN908249.1,Protein Homology,CDS,53973,54671,.,+,0,ID=cds-WP_005595665.1;product=Uncharacterized_protein_HI_0762,cds-WP_005595665.1,Uncharacterized protein HI 0762,53973,54671,699,20,2,2,last,nadR,,nadR,cds-WP_005595665.1,52696,54671,nadR;cds-WP_005595665.1
NZ_LN908249.1,Protein Homology,CDS,54844,55560,.,+,0,ID=arcA;product=Aerobic_respiration_control_protein_ArcA,arcA,Aerobic respiration control protein ArcA,54844,55560,717,21,2,1,first,,cds-WP_005595670.1,arcA,cds-WP_005595670.1,54844,56130,arcA;cds-WP_005595670.1
NZ_LN908249.1,Protein Homology,CDS,55612,56130,.,+,0,ID=cds-WP_005595670.1;product='hypothetical protein',cds-WP_005595670.1,'hypothetical protein',55612,56130,519,21,2,2,last,arcA,,arcA,cds-WP_005595670.1,54844,56130,arcA;cds-WP_005595670.1
NZ_LN908249.1,Protein Homology,CDS,56214,56750,.,-,0,ID=cds-WP_039708895.1;product=3-deoxy-D-manno-octulosonate_8-phosphate_phosphatase_KdsC,cds-WP_039708895.1,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC,56214,56750,537,22,1,1,single,,,cds-WP_039708895.1,cds-WP_039708895.1,56214,56750,cds-WP_039708895.1
NZ_LN908249.1,Protein Homology,CDS,56805,57500,.,+,0,ID=cds-WP_005611137.1;product=UPF0001_protein_HI_0090,cds-WP_005611137.1,UPF0001 protein HI 0090,56805,57500,696,23,1,1,single,,,cds-WP_005611137.1,cds-WP_005611137.1,56805,57500,cds-WP_005611137.1
NZ_LN908249.1,Protein Homology,CDS,57692,59539,.,+,0,ID=typA;product=GTP-binding_protein_TypA/BipA_homolog,typA,GTP-binding protein TypA/BipA homolog,57692,59539,1848,24,1,1,single,,,typA,typA,57692,59539,typA
NZ_LN908249.1,Protein Homology,CDS,59698,59961,.,+,0,ID=cds-WP_005595677.1;product=Glutaredoxin,cds-WP_005595677.1,Glutaredoxin,59698,59961,264,25,1,1,single,,,cds-WP_005595677.1,cds-WP_005595677.1,59698,59961,cds-WP_005595677.1
NZ_LN908249.1,Protein Homology,CDS,60027,60743,.,-,0,ID=rph;product=Ribonuclease_PH,rph,Ribonuclease PH,60027,60743,717,26,1,1,single,,,rph,rph,60027,60743,rph
NZ_LN908249.1,Protein Homology,CDS,60947,61810,.,+,0,ID=cds-WP_005603224.1;product=UPF0701_protein_HI_0467,cds-WP_005603224.1,UPF0701 protein HI 0467,60947,61810,864,27,2,1,first,,ygfZ,cds-WP_005603224.1,ygfZ,60947,62706,cds-WP_005603224.1;ygfZ
NZ_LN908249.1,Protein Homology,CDS,61819,62706,.,+,0,ID=ygfZ;product=Uncharacterized_protein_HI_0466,ygfZ,Uncharacterized protein HI 0466,61819,62706,888,27,2,2,last,cds-WP_005603224.1,,cds-WP_005603224.1,ygfZ,60947,62706,cds-WP_005603224.1;ygfZ
NZ_LN908249.1,Protein Homology,CDS,62756,63016,.,-,0,ID=cds-WP_005595684.1;product=Uncharacterized_ferredoxin-like_protein_HI_0527,cds-WP_005595684.1,Uncharacterized ferredoxin-like protein HI 0527,62756,63016,261,28,1,1,single,,,cds-WP_005595684.1,cds-WP_005595684.1,62756,63016,cds-WP_005595684.1
NZ_LN908249.1,Protein Homology,CDS,63162,63791,.,-,0,ID=cds-WP_009875503.1;product=Nitrate/nitrite_response_regulator_protein_homolog,cds-WP_009875503.1,Nitrate/nitrite response regulator protein homolog,63162,63791,630,29,1,1,single,,,cds-WP_009875503.1,cds-WP_009875503.1,63162,63791,cds-WP_009875503.1
NZ_LN908249.1,Protein Homology,CDS,63995,66133,.,+,0,ID=rlmKL;product=Ribosomal_RNA_large_subunit_methyltransferase_K/L,rlmKL,Ribosomal RNA large subunit methyltransferase K/L,63995,66133,2139,30,2,1,first,,trmL,rlmKL,trmL,63995,66670,rlmKL;trmL
NZ_LN908249.1,Protein Homology,CDS,66191,66670,.,+,0,ID=trmL;product=tRNA_(cytidine(34)-2'-O)-methyltransferase,trmL,tRNA (cytidine(34)-2'-O)-methyltransferase,66191,66670,480,30,2,2,last,rlmKL,,rlmKL,trmL,63995,66670,rlmKL;trmL
NZ_LN908249.1,Protein Homology,CDS,66810,67757,.,-,0,ID=tal;product=Transaldolase,tal,Transaldolase,66810,67757,948,31,1,1,single,,,tal,tal,66810,67757,tal
NZ_LN908249.1,cmsearch,rRNA,68256,69797,.,+,.,ID=rna-MIDG2331_RS00315;product='rRNA',rna-MIDG2331_RS00315,'rRNA',68256,69797,1542,32,4,1,first,,rna-MIDG2331_RS00320,rna-MIDG2331_RS00315,rrf,68256,73420,rna-MIDG2331_RS00315;rna-MIDG2331_RS00320;rna-MIDG2331_RS00325;rrf
NZ_LN908249.1,tRNAscan-SE,tRNA,69950,70025,.,+,.,ID=rna-MIDG2331_RS00320;product='tRNA',rna-MIDG2331_RS00320,'tRNA',69950,70025,76,32,4,2,internal,rna-MIDG2331_RS00315,rna-MIDG2331_RS00325,rna-MIDG2331_RS00315,rrf,68256,73420,rna-MIDG2331_RS00315;rna-MIDG2331_RS00320;rna-MIDG2331_RS00325;rrf
NZ_LN908249.1,cmsearch,rRNA,70244,73145,.,+,.,ID=rna-MIDG2331_RS00325;product='rRNA',rna-MIDG2331_RS00325,'rRNA',70244,73145,2902,32,4,3,internal,rna-MIDG2331_RS00320,rrf,rna-MIDG2331_RS00315,rrf,68256,73420,rna-MIDG2331_RS00315;rna-MIDG2331_RS00320;rna-MIDG2331_RS00325;rrf
NZ_LN908249.1,cmsearch,rRNA,73305,73420,.,+,.,ID=rrf;product='rRNA',rrf,'rRNA',73305,73420,116,32,4,4,last,rna-MIDG2331_RS00325,,rna-MIDG2331_RS00315,rrf,68256,73420,rna-MIDG2331_RS00315;rna-MIDG2331_RS00320;rna-MIDG2331_RS00325;rrf
NZ_LN908249.1,GeneMarkS-2+,CDS,73464,73613,.,-,0,ID=cds-WP_157752166.1;product='hypothetical protein',cds-WP_157752166.1,'hypothetical protein',73464,73613,150,33,1,1,single,,,cds-WP_157752166.1,cds-WP_157752166.1,73464,73613,cds-WP_157752166.1
NZ_LN908249.1,Protein Homology,CDS,73811,75406,.,+,0,ID=cds-WP_005595694.1;product=Periplasmic_dipeptide_transport_protein,cds-WP_005595694.1,Periplasmic dipeptide transport protein,73811,75406,1596,34,6,1,first,,cds-WP_039708899.1,cds-WP_005595694.1,cds-WP_012262684.1,73811,81274,cds-WP_005595694.1;cds-WP_039708899.1;cds-WP_039708900.1;cds-WP_005595697.1;dppD;cds-WP_012262684.1
NZ_LN908249.1,Protein Homology,CDS,75574,77175,.,+,0,ID=cds-WP_039708899.1;product=Periplasmic_dipeptide_transport_protein,cds-WP_039708899.1,Periplasmic dipeptide transport protein,75574,77175,1602,34,6,2,internal,cds-WP_005595694.1,cds-WP_039708900.1,cds-WP_005595694.1,cds-WP_012262684.1,73811,81274,cds-WP_005595694.1;cds-WP_039708899.1;cds-WP_039708900.1;cds-WP_005595697.1;dppD;cds-WP_012262684.1
NZ_LN908249.1,Protein Homology,CDS,77303,78307,.,+,0,ID=cds-WP_039708900.1;product=Dipeptide_transport_system_permease_protein_DppB,cds-WP_039708900.1,Dipeptide transport system permease protein DppB,77303,78307,1005,34,6,3,internal,cds-WP_039708899.1,cds-WP_005595697.1,cds-WP_005595694.1,cds-WP_012262684.1,73811,81274,cds-WP_005595694.1;cds-WP_039708899.1;cds-WP_039708900.1;cds-WP_005595697.1;dppD;cds-WP_012262684.1
NZ_LN908249.1,Protein Homology,CDS,78385,79275,.,+,0,ID=cds-WP_005595697.1;product=Dipeptide_transport_system_permease_protein_DppC,cds-WP_005595697.1,Dipeptide transport system permease protein DppC,78385,79275,891,34,6,4,internal,cds-WP_039708900.1,dppD,cds-WP_005595694.1,cds-WP_012262684.1,73811,81274,cds-WP_005595694.1;cds-WP_039708899.1;cds-WP_039708900.1;cds-WP_005595697.1;dppD;cds-WP_012262684.1
NZ_LN908249.1,Protein Homology,CDS,79286,80272,.,+,0,ID=dppD;product=Dipeptide_transport_ATP-binding_protein_DppD,dppD,Dipeptide transport ATP-binding protein DppD,79286,80272,987,34,6,5,internal,cds-WP_005595697.1,cds-WP_012262684.1,cds-WP_005595694.1,cds-WP_012262684.1,73811,81274,cds-WP_005595694.1;cds-WP_039708899.1;cds-WP_039708900.1;cds-WP_005595697.1;dppD;cds-WP_012262684.1
NZ_LN908249.1,Protein Homology,CDS,80285,81274,.,+,0,ID=cds-WP_012262684.1;product=Dipeptide_transport_ATP-binding_protein_DppF,cds-WP_012262684.1,Dipeptide transport ATP-binding protein DppF,80285,81274,990,34,6,6,last,dppD,,cds-WP_005595694.1,cds-WP_012262684.1,73811,81274,cds-WP_005595694.1;cds-WP_039708899.1;cds-WP_039708900.1;cds-WP_005595697.1;dppD;cds-WP_012262684.1
NZ_LN908249.1,Protein Homology,CDS,81347,81757,.,-,0,ID=psiE;product=Protein_PsiE_homolog,psiE,Protein PsiE homolog,81347,81757,411,35,1,1,single,,,psiE,psiE,81347,81757,psiE
NZ_LN908249.1,Protein Homology,CDS,81835,82467,.,-,0,ID=cds-WP_012262685.1;product='hypothetical protein',cds-WP_012262685.1,'hypothetical protein',81835,82467,633,36,3,3,last,cds-WP_005595710.1,,cds-WP_005603248.1,cds-WP_012262685.1,81835,83990,cds-WP_005603248.1;cds-WP_005595710.1;cds-WP_012262685.1
NZ_LN908249.1,Protein Homology,CDS,82522,82866,.,-,0,ID=cds-WP_005595710.1;product=RutC_family_protein_HD_0322,cds-WP_005595710.1,RutC family protein HD 0322,82522,82866,345,36,3,2,internal,cds-WP_005603248.1,cds-WP_012262685.1,cds-WP_005603248.1,cds-WP_012262685.1,81835,83990,cds-WP_005603248.1;cds-WP_005595710.1;cds-WP_012262685.1
NZ_LN908249.1,Protein Homology,CDS,82953,83990,.,-,0,ID=cds-WP_005603248.1;product=Branched-chain-amino-acid_aminotransferase,cds-WP_005603248.1,Branched-chain-amino-acid aminotransferase,82953,83990,1038,36,3,1,first,,cds-WP_005595710.1,cds-WP_005603248.1,cds-WP_012262685.1,81835,83990,cds-WP_005603248.1;cds-WP_005595710.1;cds-WP_012262685.1
NZ_LN908249.1,Protein Homology,CDS,84132,84464,.,-,0,ID=grxD;product=Glutaredoxin-4,grxD,Glutaredoxin-4,84132,84464,333,37,1,1,single,,,grxD,grxD,84132,84464,grxD
NZ_LN908249.1,Protein Homology,CDS,84536,85141,.,-,0,ID=recR;product=Recombination_protein_RecR,recR,Recombination protein RecR,84536,85141,606,38,2,2,last,cds-WP_005600053.1,,cds-WP_005600053.1,recR,84536,85541,cds-WP_005600053.1;recR
NZ_LN908249.1,Protein Homology,CDS,85212,85541,.,-,0,ID=cds-WP_005600053.1;product=Nucleoid-associated_protein_APL_0075,cds-WP_005600053.1,Nucleoid-associated protein APL 0075,85212,85541,330,38,2,1,first,,recR,cds-WP_005600053.1,recR,84536,85541,cds-WP_005600053.1;recR
