dataset,reference_locus,gene,annotation,strand,translation_start,n_motif_occurrences,minimum_mismatches,has_exact_motif,has_one_mismatch_motif,has_leq1_mismatch_motif,closest_motif_start_rel_CDS
background,MIDG2331_RS00285,,YfhL family 4Fe-4S dicluster ferredoxin,-,63016,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00290,,response regulator,-,63791,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00295,rlmKL,bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL,+,63995,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00300,trmL,tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase TrmL,+,66191,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00305,tal,transaldolase,-,67757,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00335,,ABC transporter substrate-binding protein,+,73811,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00340,,ABC transporter substrate-binding protein,+,75574,1,1,FALSE,TRUE,TRUE,-22
background,MIDG2331_RS00345,,ABC transporter permease subunit,+,77303,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00350,,ABC transporter permease subunit,+,78385,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00355,dppD,dipeptide ABC transporter ATP-binding protein,+,79286,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00365,psiE,phosphate-starvation-inducible protein PsiE,-,81757,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00370,,hydrolase,-,82467,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00375,,RidA family protein,-,82866,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00385,grxD,Grx4 family monothiol glutaredoxin,-,84464,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00395,,YbaB/EbfC family nucleoid-associated protein,-,85541,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00400,,energy transducer TonB family protein,-,86567,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00405,exbD,TonB system transport protein ExbD,-,86966,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00410,exbB,TonB-system energizer ExbB,-,87463,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00415,glpE,thiosulfate sulfurtransferase GlpE,+,87651,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00420,,co-chaperone YbbN,+,88021,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00425,dhaM,dihydroxyacetone kinase phosphoryl donor subunit DhaM,-,89348,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00430,dhaL,dihydroxyacetone kinase subunit DhaL,-,89983,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00435,dhaK,dihydroxyacetone kinase subunit DhaK,-,91055,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00440,trxB,thioredoxin-disulfide reductase,+,91225,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00445,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase,+,92286,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00450,,YidB family protein,+,93162,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00455,nudC,NAD(+) diphosphatase,-,94449,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00460,,pseudouridine synthase,-,95147,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00465,,DMT family transporter,-,95996,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00470,,FxsA family protein,-,96460,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00475,pepQ,Xaa-Pro dipeptidase,-,97814,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00480,tusA,sulfurtransferase TusA,+,97838,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00485,rraB,ribonuclease E inhibitor RraB,-,98567,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00490,yihA,ribosome biogenesis GTP-binding protein YihA/YsxC,-,99189,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00495,,DUF805 domain-containing protein,-,99900,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00500,,ZIP family metal transporter,-,100768,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00510,ilvM,acetolactate synthase 2 small subunit,-,103090,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00520,nrfA,ammonia-forming nitrite reductase cytochrome c552 subunit,+,105163,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00525,nrfB,cytochrome c nitrite reductase pentaheme subunit,+,106692,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00530,nrfC,cytochrome c nitrite reductase Fe-S protein,+,107339,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00535,nrfD,cytochrome c nitrite reductase subunit NrfD,+,108016,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00540,,YadA-like family protein,+,109268,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00545,,uracil-xanthine permease family protein,-,124435,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00550,putA,bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA,-,128200,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00555,putP,sodium/proline symporter PutP,-,129817,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00560,,IclR family transcriptional regulator,-,131177,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00565,,5-formyltetrahydrofolate cyclo-ligase,-,131749,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00570,,cell division protein ZapA,-,132340,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00575,,UPF0149 family protein,+,132418,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00580,hemE,uroporphyrinogen decarboxylase,+,133075,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00585,,YjaG family protein,+,134263,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00590,,HU family DNA-binding protein,+,134989,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00595,,thymidylate synthase,-,136165,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00600,,hypothetical protein,+,136253,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00605,bioB,biotin synthase BioB,+,136933,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00610,cspE,transcription antiterminator/RNA stability regulator CspE,-,138216,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00620,prc,carboxy terminal-processing peptidase,+,139219,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00625,,"L,D-transpeptidase family protein",+,141328,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00630,,YcbK family protein,+,143065,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00635,,MBL fold metallo-hydrolase,+,143637,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00640,,choline/ethanolamine kinase family protein,-,145018,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00645,,YcfL family protein,-,145389,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00650,hinT,purine nucleoside phosphoramidase,-,145756,1,1,FALSE,TRUE,TRUE,5
background,MIDG2331_RS00655,,metal ABC transporter permease,-,146658,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00660,,metal ABC transporter permease,-,147505,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00665,rnhB,ribonuclease HII,-,148099,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00680,yjjG,pyrimidine 5'-nucleotidase,+,150556,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00690,,hypothetical protein,+,152220,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00695,ansB,L-asparaginase 2,-,153992,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00700,pyrG,glutamine hydrolyzing CTP synthase,+,154297,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00705,,DUF2301 domain-containing membrane protein,+,156034,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00710,leuD,3-isopropylmalate dehydratase small subunit,-,157188,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00720,,CdaR family transcriptional regulator,+,158951,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00725,,GntP family permease,+,160194,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00730,,glycerate kinase,+,161467,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00735,,acylphosphatase,+,162619,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00740,,DUF2813 domain-containing protein,-,164521,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00745,ppnN,nucleotide 5'-monophosphate nucleosidase PpnN,-,165904,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00750,dusA,tRNA dihydrouridine(20/20a) synthase DusA,-,166941,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00755,,ribonucleotide-diphosphate reductase subunit beta,+,167294,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00760,,ribonucleoside-diphosphate reductase subunit alpha,+,168258,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00765,nfuA,Fe-S biogenesis protein NfuA,-,170656,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00770,,Na(+)-translocating NADH-quinone reductase subunit A,+,171111,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00775,,NADH:ubiquinone reductase (Na(+)-transporting) subunit B,+,172465,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00780,,Na(+)-translocating NADH-quinone reductase subunit C,+,173700,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00785,,NADH:ubiquinone reductase (Na(+)-transporting) subunit D,+,174473,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00790,nqrE,NADH:ubiquinone reductase (Na(+)-transporting) subunit E,+,175098,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00795,nqrF,NADH:ubiquinone reductase (Na(+)-transporting) subunit F,+,175705,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00800,,FAD:protein FMN transferase,+,177141,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00805,nqrM,(Na+)-NQR maturation NqrM,+,178185,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00810,mnmA,tRNA 2-thiouridine(34) synthase MnmA,+,178661,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00815,,3-phenylpropionate MFS transporter,-,181057,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00820,proC,pyrroline-5-carboxylate reductase,-,181872,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00825,rdgC,recombination-associated protein RdgC,+,182046,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00830,,beta-phosphoglucomutase family hydrolase,+,182964,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00835,nrdD,anaerobic ribonucleoside-triphosphate reductase,-,185607,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00840,nrdG,anaerobic ribonucleoside-triphosphate reductase activating protein,-,186079,1,1,FALSE,TRUE,TRUE,-32
background,MIDG2331_RS00845,rsxA,electron transport complex subunit RsxA,+,186461,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00850,rsxB,electron transport complex subunit RsxB,+,187042,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00855,rsxC,electron transport complex subunit RsxC,+,187646,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00860,,trimeric intracellular cation channel family protein,+,189951,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00865,rsxD,electron transport complex subunit RsxD,+,190615,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00870,rsxG,electron transport complex subunit RsxG,+,191661,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00875,,electron transport complex subunit E,+,192305,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00880,lpxM,lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase,+,193000,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00885,,amidohydrolase family protein,-,195002,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00890,thiB,thiamine ABC transporter substrate binding subunit,+,195444,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00900,pcnB,polynucleotide adenylyltransferase PcnB,+,197208,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00905,folK,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,+,198810,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00910,,YnbE family lipoprotein,-,199538,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00915,,YdbH family protein,-,202264,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00920,,hypothetical protein,-,203088,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00925,gloA,lactoylglutathione lyase,+,203186,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00930,rnt,ribonuclease T,+,203733,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00935,,NRAMP family divalent metal transporter,-,205757,1,1,FALSE,TRUE,TRUE,7
background,MIDG2331_RS00940,tyrA,bifunctional chorismate mutase/prephenate dehydrogenase,-,207454,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00950,,glycosyltransferase family 9 protein,-,209716,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00955,pyk,pyruvate kinase,-,211243,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00960,sixA,phosphohistidine phosphatase SixA,+,211375,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00965,dusB,tRNA dihydrouridine synthase DusB,+,212089,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00970,fis,DNA-binding transcriptional regulator Fis,+,213079,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00975,,sodium-dependent transporter,-,214798,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00980,,Dam family site-specific DNA-(adenine-N6)-methyltransferase,-,215696,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00985,aroB,3-dehydroquinate synthase,-,216789,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00990,aroK,shikimate kinase AroK,-,217384,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00995,,penicillin-binding protein 1A,-,220213,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01000,,type IV pilus biogenesis protein PilM,+,220352,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01005,,hypothetical protein,+,221014,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01010,,hypothetical protein,+,221634,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01015,,hypothetical protein,+,222058,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01020,pilQ,type IV pilus secretin PilQ,+,222474,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01025,nusB,transcription antitermination factor NusB,+,223898,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01030,thiL,thiamine-phosphate kinase,+,224376,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01035,,phosphatidylglycerophosphatase A family protein,+,225354,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01040,,LysE family transporter,+,225840,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01045,,TrmH family RNA methyltransferase,-,227551,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01050,suhB,inositol-1-monophosphatase,+,227717,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01070,glyA,serine hydroxymethyltransferase,-,233236,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01075,,NAD(+) kinase,-,234354,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01080,cas3f,type I-F CRISPR-associated helicase Cas3f,-,237792,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01085,cas1f,type I-F CRISPR-associated endonuclease Cas1f,-,238745,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01090,cas6f,type I-F CRISPR-associated endoribonuclease Cas6/Csy4,-,240720,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01095,csy3,type I-F CRISPR-associated protein Csy3,-,241718,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01100,csy2,type I-F CRISPR-associated protein Csy2,-,242679,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01110,thrS,threonine--tRNA ligase,+,244475,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01115,,CsgG/HfaB family protein,+,246548,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01120,,DUF4810 domain-containing protein,+,247232,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01125,,DUF799 domain-containing protein,+,247591,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01130,infC,translation initiation factor IF-3,+,248465,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01135,rpmI,50S ribosomal protein L35,+,249256,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01140,rplT,50S ribosomal protein L20,+,249521,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01145,,hypothetical protein,+,249923,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01150,,hypothetical protein,+,250492,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01155,paeA,polyamine export protein PaeA,-,252137,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01160,,TIGR01621 family pseudouridine synthase,-,252831,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01165,,histidine phosphatase family protein,+,252881,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01170,ruvX,Holliday junction resolvase RuvX,-,253993,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01175,,YqgE/AlgH family protein,-,254606,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01180,rsmE,16S rRNA (uracil(1498)-N(3))-methyltransferase,-,255337,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01185,,YajG family lipoprotein,-,256102,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01190,,BolA family protein,+,256231,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01200,,copper resistance protein NlpE,-,257309,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01205,,DciA family protein,-,257637,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01210,secM,secA translation cis-regulator SecM,+,257740,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01215,secA,preprotein translocase subunit SecA,+,258175,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01220,,glycosyltransferase family 9 protein,+,261022,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01230,argC,N-acetyl-gamma-glutamyl-phosphate reductase,+,262839,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01235,argB,acetylglutamate kinase,+,263813,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01245,,transferrin-binding protein-like solute binding protein,+,266076,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01265,rho,transcription termination factor Rho,-,271897,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01270,cysK,cysteine synthase A,-,273045,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01275,thrB,homoserine kinase,-,274207,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01280,thrA,bifunctional aspartate kinase/homoserine dehydrogenase I,-,276663,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01285,sodA,superoxide dismutase [Mn],+,277072,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01290,alr,alanine racemase,-,278925,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01295,recD,exodeoxyribonuclease V subunit alpha,+,279046,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01320,,aminoacyl-histidine dipeptidase,-,288306,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01325,gpt,xanthine phosphoribosyltransferase,+,288479,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01330,gmk,guanylate kinase,+,289036,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01335,tdeA,toxin/drug exporter TdeA,+,289758,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01340,,RnfH family protein,-,291529,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01345,,type II toxin-antitoxin system RatA family toxin,-,291923,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01350,modC,molybdenum ABC transporter ATP-binding protein ModC,-,293026,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01355,modB,molybdate ABC transporter permease subunit,-,293719,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01360,modA,molybdate ABC transporter substrate-binding protein,-,294537,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01365,,ABC transporter permease,-,295394,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS01370,,ABC transporter ATP-binding protein,-,296306,0,,FALSE,FALSE,FALSE,
