operon_id,operonmapper_id,feature_type,COG,pos_left,pos_right,strand,function_text,operon_member_left,operon_member_right,operon_size,operon_position,operon_role,previous_orf,next_orf,operon_first_orf,operon_last_orf,operon_left,operon_right,operon_members_ordered
6,murE,CDS,COG0769,13754,15256,+,[M] UDP-N-acetylmuramyl tripeptide synthase   ,13754,15256,16,5,internal,cds-WP_039709470.1,murF,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
6,murF,CDS,COG0770,15471,16865,+,[M] UDP-N-acetylmuramyl pentapeptide synthase   ,15471,16865,16,6,internal,murE,mraY,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
6,mraY,CDS,COG0472,16962,18044,+,[M] UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase  ,16962,18044,16,7,internal,murF,murD,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
6,murD,CDS,COG0771,18128,19438,+,[M] UDP-N-acetylmuramoylalanine-D-glutamate ligase    ,18128,19438,16,8,internal,mraY,ftsW,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
6,ftsW,CDS,COG0772,19440,20618,+,[D] Bacterial cell division membrane protein ,19440,20618,16,9,internal,murD,murG,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
6,murG,CDS,COG0707,20773,21828,+,[M] UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase   ,20773,21828,16,10,internal,ftsW,murC,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
6,murC,CDS,COG0773,21880,23307,+,[M] UDP-N-acetylmuramate-alanine ligase    ,21880,23307,16,11,internal,murG,cds-WP_039709473.1,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
6,cds-WP_039709473.1,CDS,COG1181,23415,24326,+,[M] D-alanine-D-alanine ligase and related ATP-grasp enzymes,23415,24326,16,12,internal,murC,cds-WP_005595617.1,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
6,cds-WP_005595617.1,CDS,COG1589,24467,25120,+,[M] Cell division septal protein  ,24467,25120,16,13,internal,cds-WP_039709473.1,ftsA,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
6,ftsA,CDS,COG0849,25146,26420,+,[D] Actin-like ATPase involved in cell division,25146,26420,16,14,internal,cds-WP_005595617.1,ftsZ,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
6,ftsZ,CDS,COG0206,26459,27670,+,[D] Cell division GTPase   ,26459,27670,16,15,internal,ftsA,lpxC,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
6,lpxC,CDS,COG0774,27704,28624,+,[M] UDP-3-O-acyl-N-acetylglucosamine deacetylase    ,27704,28624,16,16,last,ftsZ,,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
7,recN,CDS,COG0497,28786,30459,+,[L] ATPase involved in DNA repair ,28786,30459,1,1,single,,,recN,recN,28786,30459,recN
8,cds-WP_012262672.1,CDS,COG0747,33833,35407,-,"[E] ABC-type dipeptide transport system, periplasmic component",33833,35407,4,1,first,,cds-WP_005595632.1,cds-WP_012262672.1,cds-WP_039709518.1,30601,35407,cds-WP_012262672.1;cds-WP_005595632.1;cds-WP_005599978.1;cds-WP_039709518.1
8,cds-WP_005595632.1,CDS,COG0601,32792,33739,-,"[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",32792,33739,4,2,internal,cds-WP_012262672.1,cds-WP_005599978.1,cds-WP_012262672.1,cds-WP_039709518.1,30601,35407,cds-WP_012262672.1;cds-WP_005595632.1;cds-WP_005599978.1;cds-WP_039709518.1
8,cds-WP_005599978.1,CDS,COG1173,32004,32789,-,"[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",32004,32789,4,3,internal,cds-WP_005595632.1,cds-WP_039709518.1,cds-WP_012262672.1,cds-WP_039709518.1,30601,35407,cds-WP_012262672.1;cds-WP_005595632.1;cds-WP_005599978.1;cds-WP_039709518.1
8,cds-WP_039709518.1,CDS,COG1124,30601,32004,-,"[EP] ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component",30601,32004,4,4,last,cds-WP_005599978.1,,cds-WP_012262672.1,cds-WP_039709518.1,30601,35407,cds-WP_012262672.1;cds-WP_005595632.1;cds-WP_005599978.1;cds-WP_039709518.1
9,prfC,CDS,COG4108,35601,37181,-,[J] Peptide chain release factor RF-3 ,35601,37181,1,1,single,,,prfC,prfC,35601,37181,prfC
10,cds-WP_005599983.1,CDS,COG3152,37364,37831,+,[S] Predicted membrane protein   ,37364,37831,2,1,first,,cds-WP_005595642.1,cds-WP_005599983.1,cds-WP_005595642.1,37364,38393,cds-WP_005599983.1;cds-WP_005595642.1
10,cds-WP_005595642.1,CDS,COG3152,37878,38393,+,[S] Predicted membrane protein   ,37878,38393,2,2,last,cds-WP_005599983.1,,cds-WP_005599983.1,cds-WP_005595642.1,37364,38393,cds-WP_005599983.1;cds-WP_005595642.1
11,pth,CDS,COG0193,38520,39104,+,[J] Peptidyl-tRNA hydrolase    ,38520,39104,2,1,first,,ychF,pth,ychF,38520,40304,pth;ychF
11,ychF,CDS,COG0012,39213,40304,+,"[J] Predicted GTPase, probable translation factor ",39213,40304,2,2,last,pth,,pth,ychF,38520,40304,pth;ychF
12,cds-WP_005595645.1,CDS,COG2020,40376,40813,+,[O] Putative protein-S-isoprenylcysteine methyltransferase   ,40376,40813,1,1,single,,,cds-WP_005595645.1,cds-WP_005595645.1,40376,40813,cds-WP_005595645.1
13,cds-WP_005595649.1,CDS,COG3102,41660,42256,-,[S] Uncharacterized protein conserved in bacteria ,41660,42256,3,1,first,,cds-WP_005618683.1,cds-WP_005595649.1,cds-WP_005599987.1,40863,42256,cds-WP_005595649.1;cds-WP_005618683.1;cds-WP_005599987.1
13,cds-WP_005618683.1,CDS,COG3133,41169,41633,-,[M] Outer membrane lipoprotein   ,41169,41633,3,2,internal,cds-WP_005595649.1,cds-WP_005599987.1,cds-WP_005595649.1,cds-WP_005599987.1,40863,42256,cds-WP_005595649.1;cds-WP_005618683.1;cds-WP_005599987.1
13,cds-WP_005599987.1,CDS,COG3133,40863,41138,-,[M] Outer membrane lipoprotein   ,40863,41138,3,3,last,cds-WP_005618683.1,,cds-WP_005595649.1,cds-WP_005599987.1,40863,42256,cds-WP_005595649.1;cds-WP_005618683.1;cds-WP_005599987.1
14,argS,CDS,COG0018,42354,44081,+,[J] Arginyl-tRNA synthetase    ,42354,44081,1,1,single,,,argS,argS,42354,44081,argS
15,cgtA,CDS,COG0536,44225,45400,+,[R] Predicted GTPase    ,44225,45400,1,1,single,,,cgtA,cgtA,44225,45400,cgtA
16,cds-WP_005599990.1,CDS,ROG8476,45475,46086,+,NA,45475,46086,1,1,single,,,cds-WP_005599990.1,cds-WP_005599990.1,45475,46086,cds-WP_005599990.1
17,rlmB,CDS,COG0566,46186,46929,-,[J] rRNA methylases    ,46186,46929,1,1,single,,,rlmB,rlmB,46186,46929,rlmB
18,pssA,CDS,NA,47008,48372,-,NA,47008,48372,1,1,single,,,pssA,pssA,47008,48372,pssA
19,ribF,CDS,COG0196,51401,52363,-,[H] FAD synthase    ,51401,52363,2,1,first,,ileS,ribF,ileS,48524,52363,ribF;ileS
19,ileS,CDS,COG0060,48524,51340,-,[J] Isoleucyl-tRNA synthetase    ,48524,51340,2,2,last,ribF,,ribF,ileS,48524,52363,ribF;ileS
20,nadR,CDS,COG3172,52696,53976,+,[H] Predicted ATPase/kinase involved in NAD metabolism,52696,53976,2,1,first,,cds-WP_005595665.1,nadR,cds-WP_005595665.1,52696,54671,nadR;cds-WP_005595665.1
20,cds-WP_005595665.1,CDS,ROG0146,53973,54671,+,NA,53973,54671,2,2,last,nadR,,nadR,cds-WP_005595665.1,52696,54671,nadR;cds-WP_005595665.1
21,arcA,CDS,COG0745,54844,55560,+,[TK] Response regulators consisting of a CheY-like,54844,55560,2,1,first,,cds-WP_005595670.1,arcA,cds-WP_005595670.1,54844,56130,arcA;cds-WP_005595670.1
21,cds-WP_005595670.1,CDS,COG3637,55612,56130,+,[M] Opacity protein and related surface antigens,55612,56130,2,2,last,arcA,,arcA,cds-WP_005595670.1,54844,56130,arcA;cds-WP_005595670.1
22,cds-WP_039708895.1,CDS,COG1778,56214,56750,-,[R] Low specificity phosphatase (HAD superfamily) ,56214,56750,1,1,single,,,cds-WP_039708895.1,cds-WP_039708895.1,56214,56750,cds-WP_039708895.1
23,cds-WP_005611137.1,CDS,COG0325,56805,57500,+,[R] Predicted enzyme with a TIM-barrel fold,56805,57500,1,1,single,,,cds-WP_005611137.1,cds-WP_005611137.1,56805,57500,cds-WP_005611137.1
24,typA,CDS,COG1217,57692,59539,+,[T] Predicted membrane GTPase involved in stress,57692,59539,1,1,single,,,typA,typA,57692,59539,typA
25,cds-WP_005595677.1,CDS,COG0695,59698,59961,+,[O] Glutaredoxin and related proteins  ,59698,59961,1,1,single,,,cds-WP_005595677.1,cds-WP_005595677.1,59698,59961,cds-WP_005595677.1
26,rph,CDS,COG0689,60027,60743,-,[J] RNase PH    ,60027,60743,1,1,single,,,rph,rph,60027,60743,rph
27,cds-WP_005603224.1,CDS,COG1561,60947,61810,+,[S] Uncharacterized stress-induced protein   ,60947,61810,2,1,first,,ygfZ,cds-WP_005603224.1,ygfZ,60947,62706,cds-WP_005603224.1;ygfZ
27,ygfZ,CDS,COG0354,61819,62706,+,[R] Predicted aminomethyltransferase related to GcvT ,61819,62706,2,2,last,cds-WP_005603224.1,,cds-WP_005603224.1,ygfZ,60947,62706,cds-WP_005603224.1;ygfZ
28,cds-WP_005595684.1,CDS,COG2768,62756,63016,-,[R] Uncharacterized Fe-S center protein  ,62756,63016,1,1,single,,,cds-WP_005595684.1,cds-WP_005595684.1,62756,63016,cds-WP_005595684.1
29,cds-WP_009875503.1,CDS,COG2197,63162,63791,-,[TK] Response regulator containing a CheY-like receiver,63162,63791,1,1,single,,,cds-WP_009875503.1,cds-WP_009875503.1,63162,63791,cds-WP_009875503.1
30,rlmKL,CDS,COG0116,63995,66133,+,[L] Predicted N6-adenine-specific DNA methylase  ,63995,66133,2,1,first,,trmL,rlmKL,trmL,63995,66670,rlmKL;trmL
30,trmL,CDS,COG0219,66191,66670,+,[J] Predicted rRNA methylase (SpoU class) ,66191,66670,2,2,last,rlmKL,,rlmKL,trmL,63995,66670,rlmKL;trmL
31,tal,CDS,COG0176,66810,67757,-,[G] Transaldolase     ,66810,67757,1,1,single,,,tal,tal,66810,67757,tal
32,rna-MIDG2331_RS00315,rRNA,NA,68256,69797,+,NA,68256,69797,4,1,first,,rna-MIDG2331_RS00320,rna-MIDG2331_RS00315,rrf,68256,73420,rna-MIDG2331_RS00315;rna-MIDG2331_RS00320;rna-MIDG2331_RS00325;rrf
32,rna-MIDG2331_RS00320,tRNA,NA,69950,70025,+,NA,69950,70025,4,2,internal,rna-MIDG2331_RS00315,rna-MIDG2331_RS00325,rna-MIDG2331_RS00315,rrf,68256,73420,rna-MIDG2331_RS00315;rna-MIDG2331_RS00320;rna-MIDG2331_RS00325;rrf
32,rna-MIDG2331_RS00325,rRNA,NA,70244,73145,+,NA,70244,73145,4,3,internal,rna-MIDG2331_RS00320,rrf,rna-MIDG2331_RS00315,rrf,68256,73420,rna-MIDG2331_RS00315;rna-MIDG2331_RS00320;rna-MIDG2331_RS00325;rrf
32,rrf,rRNA,NA,73305,73420,+,NA,73305,73420,4,4,last,rna-MIDG2331_RS00325,,rna-MIDG2331_RS00315,rrf,68256,73420,rna-MIDG2331_RS00315;rna-MIDG2331_RS00320;rna-MIDG2331_RS00325;rrf
33,cds-WP_157752166.1,CDS,NA,73464,73613,-,NA,73464,73613,1,1,single,,,cds-WP_157752166.1,cds-WP_157752166.1,73464,73613,cds-WP_157752166.1
34,cds-WP_005595694.1,CDS,COG0747,73811,75406,+,"[E] ABC-type dipeptide transport system, periplasmic component",73811,75406,6,1,first,,cds-WP_039708899.1,cds-WP_005595694.1,cds-WP_012262684.1,73811,81274,cds-WP_005595694.1;cds-WP_039708899.1;cds-WP_039708900.1;cds-WP_005595697.1;dppD;cds-WP_012262684.1
34,cds-WP_039708899.1,CDS,COG0747,75574,77175,+,"[E] ABC-type dipeptide transport system, periplasmic component",75574,77175,6,2,internal,cds-WP_005595694.1,cds-WP_039708900.1,cds-WP_005595694.1,cds-WP_012262684.1,73811,81274,cds-WP_005595694.1;cds-WP_039708899.1;cds-WP_039708900.1;cds-WP_005595697.1;dppD;cds-WP_012262684.1
34,cds-WP_039708900.1,CDS,COG0601,77303,78307,+,"[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",77303,78307,6,3,internal,cds-WP_039708899.1,cds-WP_005595697.1,cds-WP_005595694.1,cds-WP_012262684.1,73811,81274,cds-WP_005595694.1;cds-WP_039708899.1;cds-WP_039708900.1;cds-WP_005595697.1;dppD;cds-WP_012262684.1
34,cds-WP_005595697.1,CDS,COG1173,78385,79275,+,"[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",78385,79275,6,4,internal,cds-WP_039708900.1,dppD,cds-WP_005595694.1,cds-WP_012262684.1,73811,81274,cds-WP_005595694.1;cds-WP_039708899.1;cds-WP_039708900.1;cds-WP_005595697.1;dppD;cds-WP_012262684.1
34,dppD,CDS,COG0444,79286,80272,+,"[EP] ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component",79286,80272,6,5,internal,cds-WP_005595697.1,cds-WP_012262684.1,cds-WP_005595694.1,cds-WP_012262684.1,73811,81274,cds-WP_005595694.1;cds-WP_039708899.1;cds-WP_039708900.1;cds-WP_005595697.1;dppD;cds-WP_012262684.1
34,cds-WP_012262684.1,CDS,COG4608,80285,81274,+,"[E] ABC-type oligopeptide transport system, ATPase component",80285,81274,6,6,last,dppD,,cds-WP_005595694.1,cds-WP_012262684.1,73811,81274,cds-WP_005595694.1;cds-WP_039708899.1;cds-WP_039708900.1;cds-WP_005595697.1;dppD;cds-WP_012262684.1
35,psiE,CDS,COG3223,81347,81757,-,[S] Predicted membrane protein   ,81347,81757,1,1,single,,,psiE,psiE,81347,81757,psiE
36,cds-WP_005603248.1,CDS,COG0115,82953,83990,-,[EH] Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase ,82953,83990,3,1,first,,cds-WP_005595710.1,cds-WP_005603248.1,cds-WP_012262685.1,81835,83990,cds-WP_005603248.1;cds-WP_005595710.1;cds-WP_012262685.1
36,cds-WP_005595710.1,CDS,COG0251,82522,82866,-,"[J] Putative translation initiation inhibitor, yjgF family",82522,82866,3,2,internal,cds-WP_005603248.1,cds-WP_012262685.1,cds-WP_005603248.1,cds-WP_012262685.1,81835,83990,cds-WP_005603248.1;cds-WP_005595710.1;cds-WP_012262685.1
36,cds-WP_012262685.1,CDS,NA,81835,82467,-,NA,81835,82467,3,3,last,cds-WP_005595710.1,,cds-WP_005603248.1,cds-WP_012262685.1,81835,83990,cds-WP_005603248.1;cds-WP_005595710.1;cds-WP_012262685.1
37,grxD,CDS,COG0278,84132,84464,-,[O] Glutaredoxin-related protein    ,84132,84464,1,1,single,,,grxD,grxD,84132,84464,grxD
38,cds-WP_005600053.1,CDS,COG0718,85212,85541,-,[S] Uncharacterized protein conserved in bacteria ,85212,85541,2,1,first,,recR,cds-WP_005600053.1,recR,84536,85541,cds-WP_005600053.1;recR
38,recR,CDS,COG0353,84536,85141,-,[L] Recombinational DNA repair protein (RecF pathway),84536,85141,2,2,last,cds-WP_005600053.1,,cds-WP_005600053.1,recR,84536,85541,cds-WP_005600053.1;recR
39,exbB,CDS,COG0811,87011,87463,-,[U] Biopolymer transport proteins   ,87011,87463,3,1,first,,exbD,exbB,cds-WP_005595716.1,85710,87463,exbB;exbD;cds-WP_005595716.1
39,exbD,CDS,COG0848,86577,86966,-,[U] Biopolymer transport protein   ,86577,86966,3,2,internal,exbB,cds-WP_005595716.1,exbB,cds-WP_005595716.1,85710,87463,exbB;exbD;cds-WP_005595716.1
39,cds-WP_005595716.1,CDS,COG0810,85710,86567,-,"[M] Periplasmic protein TonB, links inner and",85710,86567,3,3,last,exbD,,exbB,cds-WP_005595716.1,85710,87463,exbB;exbD;cds-WP_005595716.1
40,glpE,CDS,COG0607,87651,87977,+,[P] Rhodanese-related sulfurtransferase    ,87651,87977,2,1,first,,cds-WP_005611180.1,glpE,cds-WP_005611180.1,87651,88866,glpE;cds-WP_005611180.1
40,cds-WP_005611180.1,CDS,COG3118,88021,88866,+,[O] Thioredoxin domain-containing protein   ,88021,88866,2,2,last,glpE,,glpE,cds-WP_005611180.1,87651,88866,glpE;cds-WP_005611180.1
41,dhaK,CDS,COG2376,89985,91055,-,[G] Dihydroxyacetone kinase    ,89985,91055,3,1,first,,dhaL,dhaK,dhaM,88941,91055,dhaK;dhaL;dhaM
41,dhaL,CDS,COG2376,89357,89983,-,[G] Dihydroxyacetone kinase    ,89357,89983,3,2,internal,dhaK,dhaM,dhaK,dhaM,88941,91055,dhaK;dhaL;dhaM
41,dhaM,CDS,COG3412,88941,89348,-,[S] Uncharacterized protein conserved in bacteria ,88941,89348,3,3,last,dhaL,,dhaK,dhaM,88941,91055,dhaK;dhaL;dhaM
42,trxB,CDS,COG0492,91225,92178,+,[O] Thioredoxin reductase    ,91225,92178,1,1,single,,,trxB,trxB,91225,92178,trxB
43,kdsB,CDS,COG1212,92286,93038,+,[M] CMP-2-keto-3-deoxyoctulosonic acid synthetase   ,92286,93038,1,1,single,,,kdsB,kdsB,92286,93038,kdsB
44,cds-WP_005595728.1,CDS,COG3753,93162,93587,+,[S] Uncharacterized protein conserved in bacteria ,93162,93587,1,1,single,,,cds-WP_005595728.1,cds-WP_005595728.1,93162,93587,cds-WP_005595728.1
45,pepQ,CDS,COG0006,96483,97814,-,[E] Xaa-Pro aminopeptidase    ,96483,97814,5,1,first,,cds-WP_005595735.1,pepQ,nudC,93661,97814,pepQ;cds-WP_005595735.1;cds-WP_039709523.1;cds-WP_039708903.1;nudC
45,cds-WP_005595735.1,CDS,COG3030,95996,96460,-,[R] Protein affecting phage T7 exclusion by,95996,96460,5,2,internal,pepQ,cds-WP_039709523.1,pepQ,nudC,93661,97814,pepQ;cds-WP_005595735.1;cds-WP_039709523.1;cds-WP_039708903.1;nudC
45,cds-WP_039709523.1,CDS,COG0697,95148,95996,-,[GER] Permeases of the drug/metabolite transporter (DMT),95148,95996,5,3,internal,cds-WP_005595735.1,cds-WP_039708903.1,pepQ,nudC,93661,97814,pepQ;cds-WP_005595735.1;cds-WP_039709523.1;cds-WP_039708903.1;nudC
45,cds-WP_039708903.1,CDS,COG1187,94449,95147,-,[J] 16S rRNA uridine-516 pseudouridylate synthase and,94449,95147,5,4,internal,cds-WP_039709523.1,nudC,pepQ,nudC,93661,97814,pepQ;cds-WP_005595735.1;cds-WP_039709523.1;cds-WP_039708903.1;nudC
45,nudC,CDS,COG2816,93661,94449,-,"[L] NTP pyrophosphohydrolases containing a Zn-finger, probably",93661,94449,5,5,last,cds-WP_039708903.1,,pepQ,nudC,93661,97814,pepQ;cds-WP_005595735.1;cds-WP_039709523.1;cds-WP_039708903.1;nudC
46,tusA,CDS,COG0425,97838,98077,+,"[O] Predicted redox protein, regulator of disulfide",97838,98077,1,1,single,,,tusA,tusA,97838,98077,tusA
47,yihA,CDS,COG0218,98569,99189,-,[R] Predicted GTPase    ,98569,99189,2,1,first,,rraB,yihA,rraB,98127,99189,yihA;rraB
47,rraB,CDS,COG3076,98127,98567,-,[S] Uncharacterized protein conserved in bacteria ,98127,98567,2,2,last,yihA,,yihA,rraB,98127,99189,yihA;rraB
48,cds-WP_039708904.1,CDS,COG0428,99938,100768,-,[P] Predicted divalent heavy-metal cations transporter ,99938,100768,2,1,first,,cds-WP_011848312.1,cds-WP_039708904.1,cds-WP_011848312.1,99484,100768,cds-WP_039708904.1;cds-WP_011848312.1
48,cds-WP_011848312.1,CDS,COG3152,99484,99900,-,[S] Predicted membrane protein   ,99484,99900,2,2,last,cds-WP_039708904.1,,cds-WP_039708904.1,cds-WP_011848312.1,99484,100768,cds-WP_039708904.1;cds-WP_011848312.1
49,ilvG,CDS,COG0028,103111,104763,-,"[EH] Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate",103111,104763,3,1,first,,ilvM,ilvG,ilvD,100919,104763,ilvG;ilvM;ilvD
49,ilvM,CDS,COG3978,102872,103090,-,"[S] Acetolactate synthase (isozyme II), small (regulatory)",102872,103090,3,2,internal,ilvG,ilvD,ilvG,ilvD,100919,104763,ilvG;ilvM;ilvD
49,ilvD,CDS,COG0129,100919,102754,-,[EG] Dihydroxyacid dehydratase/phosphogluconate dehydratase   ,100919,102754,3,3,last,ilvM,,ilvG,ilvD,100919,104763,ilvG;ilvM;ilvD
50,nrfA,CDS,COG3303,105163,106671,+,"[P] Formate-dependent nitrite reductase, periplasmic cytochrome c552",105163,106671,4,1,first,,nrfB,nrfA,nrfD,105163,108984,nrfA;nrfB;nrfC;nrfD
50,nrfB,CDS,ROG7294,106692,107339,+,NA,106692,107339,4,2,internal,nrfA,nrfC,nrfA,nrfD,105163,108984,nrfA;nrfB;nrfC;nrfD
50,nrfC,CDS,COG0437,107339,108016,+,[C] Fe-S-cluster-containing hydrogenase components 1  ,107339,108016,4,3,internal,nrfB,nrfD,nrfA,nrfD,105163,108984,nrfA;nrfB;nrfC;nrfD
50,nrfD,CDS,COG3301,108016,108984,+,"[P] Formate-dependent nitrite reductase, membrane component ",108016,108984,4,4,last,nrfC,,nrfA,nrfD,105163,108984,nrfA;nrfB;nrfC;nrfD
51,cds-WP_058230447.1,CDS,COG5295,109268,122965,+,[UW] Autotransporter adhesin    ,109268,122965,1,1,single,,,cds-WP_058230447.1,cds-WP_058230447.1,109268,122965,cds-WP_058230447.1
52,cds-WP_039709525.1,CDS,COG2233,123206,124435,-,[F] Xanthine/uracil permeases    ,123206,124435,1,1,single,,,cds-WP_039709525.1,cds-WP_039709525.1,123206,124435,cds-WP_039709525.1
53,putP,CDS,COG0591,128303,129817,-,[ER] Na+/proline symporter    ,128303,129817,2,1,first,,putA,putP,putA,124595,129817,putP;putA
53,putA,CDS,COG4230,124595,128200,-,[C] Delta 1-pyrroline-5-carboxylate dehydrogenase   ,124595,128200,2,2,last,putP,,putP,putA,124595,129817,putP;putA
54,cds-WP_005603300.1,CDS,COG0212,131174,131749,-,[H] 5-formyltetrahydrofolate cyclo-ligase    ,131174,131749,2,1,first,,cds-WP_005606820.1,cds-WP_005603300.1,cds-WP_005606820.1,130392,131749,cds-WP_005603300.1;cds-WP_005606820.1
54,cds-WP_005606820.1,CDS,COG1414,130392,131177,-,[K] Transcriptional regulator    ,130392,131177,2,2,last,cds-WP_005603300.1,,cds-WP_005603300.1,cds-WP_005606820.1,130392,131749,cds-WP_005603300.1;cds-WP_005606820.1
