reference_locus,gene,annotation,strand,gene_start,gene_end,translation_start,condition,TSS_coord,score_numeric,tss_source,tss_feature,tss_attribute,upstream_distance
MIDG2331_RS00685,cysB,HTH-type transcriptional regulator CysB,+,151236,152219,151236,WT_plate,151123,20.521,vertis,TSS,LN908249_151123_20.521_+_2.22809826106868,113
MIDG2331_RS00685,cysB,HTH-type transcriptional regulator CysB,+,151236,152219,151236,WT_plate,149468,83.365,vertis,TSS,LN908249_149468_83.365_+_3.92851093920646,1768
MIDG2331_RS00685,cysB,HTH-type transcriptional regulator CysB,+,151236,152219,151236,WT_plate,149349,13.467,vertis,TSS,LN908249_149349_13.467_+_3.2982341503788,1887
MIDG2331_RS00685,cysB,HTH-type transcriptional regulator CysB,+,151236,152219,151236,WT_plate,149275,14.749,vertis,TSS,LN908249_149275_14.749_+_1.94444767513873,1961
MIDG2331_RS00715,leuC,3-isopropylmalate dehydratase large subunit,-,157199,158608,158608,WT_broth,158703,28.239,vertis,TSS,LN908249_158703_28.239_-_2.68671128364554,95
MIDG2331_RS00715,leuC,3-isopropylmalate dehydratase large subunit,-,157199,158608,158608,WT_plate,158703,21.803,vertis,TSS,LN908249_158703_21.803_-_2.31552388241843,95
MIDG2331_RS00895,dksA,RNA polymerase-binding protein DksA,+,196616,197065,196616,WT_broth,196542,100.773,vertis,TSS,LN908249_196542_100.773_+_1.35220762503876,74
MIDG2331_RS00895,dksA,RNA polymerase-binding protein DksA,+,196616,197065,196616,WT_broth,196474,10.52,vertis,TSS,LN908249_196474_10.520_+_0.914280675113597,142
MIDG2331_RS00895,dksA,RNA polymerase-binding protein DksA,+,196616,197065,196616,WT_broth,195432,18.272,vertis,TSS,LN908249_195432_18.272_+_3.19589724096465,1184
MIDG2331_RS00895,dksA,RNA polymerase-binding protein DksA,+,196616,197065,196616,WT_broth,195281,192.687,vertis,TSS,LN908249_195281_192.687_+_4.91678515197152,1335
MIDG2331_RS00895,dksA,RNA polymerase-binding protein DksA,+,196616,197065,196616,WT_plate,196551,25.01,vertis,TSS,LN908249_196551_25.010_+_2.70633559133215,65
MIDG2331_RS00895,dksA,RNA polymerase-binding protein DksA,+,196616,197065,196616,WT_plate,196476,16.032,vertis,TSS,LN908249_196476_16.032_+_2.41263980047053,140
MIDG2331_RS00895,dksA,RNA polymerase-binding protein DksA,+,196616,197065,196616,WT_plate,195281,223.163,vertis,TSS,LN908249_195281_223.163_+_3.3312870330562,1335
MIDG2331_RS00945,aroF,3-deoxy-7-phosphoheptulonate synthase,-,207567,208628,208628,WT_broth,208660,14.396,vertis,TSS,LN908249_208660_14.396_-_0.589227937261064,32
MIDG2331_RS00945,aroF,3-deoxy-7-phosphoheptulonate synthase,-,207567,208628,208628,WT_plate,210294,10.902,vertis,TSS,LN908249_210294_10.902_-_0.923460858497935,1666
MIDG2331_RS01055,dxs,1-deoxy-D-xylulose-5-phosphate synthase,+,228650,230503,228650,WT_broth,227684,152.82,vertis,TSS,LN908249_227684_152.820_+_1.77493973803616,966
MIDG2331_RS01055,dxs,1-deoxy-D-xylulose-5-phosphate synthase,+,228650,230503,228650,WT_plate,227684,109.016,vertis,TSS,LN908249_227684_109.016_+_2.44776699627643,966
MIDG2331_RS01105,csy1,type I-F CRISPR-associated protein Csy1,-,242676,244025,244025,WT_broth,244049,100.773,vertis,TSS,LN908249_244049_100.773_-_1.35220762503876,24
MIDG2331_RS01105,csy1,type I-F CRISPR-associated protein Csy1,-,242676,244025,244025,WT_plate,244050,28.216,vertis,TSS,LN908249_244050_28.216_-_1.51773210411407,25
MIDG2331_RS01225,mutT,8-oxo-dGTP diphosphatase MutT,+,262206,262604,262206,WT_broth,262151,12.735,vertis,TSS,LN908249_262151_12.735_+_2.99717063050933,55
MIDG2331_RS01240,argD2,aspartate aminotransferase family protein,+,264681,265862,264681,WT_broth,262814,25.47,vertis,TSS,LN908249_262814_25.470_+_0.675423449164226,1867
MIDG2331_RS01660,metC,cystathionine beta-lyase,-,361950,363140,363140,WT_broth,363781,45.403,vertis,TSS,LN908249_363781_45.403_-_2.37197438480799,641
MIDG2331_RS01660,metC,cystathionine beta-lyase,-,361950,363140,363140,WT_plate,363781,13.467,vertis,TSS,LN908249_363781_13.467_-_1.7136229695281,641
MIDG2331_RS01660,metC,cystathionine beta-lyase,-,361950,363140,363140,WT_plate,364148,14.749,vertis,TSS,LN908249_364148_14.749_-_2.29230252815023,1008
MIDG2331_RS01960,glpB,glycerol-3-phosphate dehydrogenase subunit GlpB,+,437895,439181,437895,WT_broth,436172,1019.91,vertis,TSS,LN908249_436172_1019.910_+_2.03312377070564,1723
MIDG2331_RS01960,glpB,glycerol-3-phosphate dehydrogenase subunit GlpB,+,437895,439181,437895,WT_plate,436172,30.781,vertis,TSS,LN908249_436172_30.781_+_4.49084575038021,1723
MIDG2331_RS02235,leuB,3-isopropylmalate dehydrogenase,+,494812,495894,494812,WT_broth,494782,49.279,vertis,TSS,LN908249_494782_49.279_+_0.16816585118305,30
MIDG2331_RS02235,leuB,3-isopropylmalate dehydrogenase,+,494812,495894,494812,WT_broth,494333,50.386,vertis,TSS,LN908249_494333_50.386_+_3.81177113406307,479
MIDG2331_RS02235,leuB,3-isopropylmalate dehydrogenase,+,494812,495894,494812,WT_broth,493060,218.157,vertis,TSS,LN908249_493060_218.157_+_1.14746409925368,1752
MIDG2331_RS02235,leuB,3-isopropylmalate dehydrogenase,+,494812,495894,494812,WT_plate,494782,11.543,vertis,TSS,LN908249_494782_11.543_+_1.69747438798529,30
MIDG2331_RS02235,leuB,3-isopropylmalate dehydrogenase,+,494812,495894,494812,WT_plate,494333,26.933,vertis,TSS,LN908249_494333_26.933_+_3.16106032383355,479
MIDG2331_RS02235,leuB,3-isopropylmalate dehydrogenase,+,494812,495894,494812,WT_plate,493060,62.845,vertis,TSS,LN908249_493060_62.845_+_2.45054051036178,1752
MIDG2331_RS02245,gap,type I glyceraldehyde-3-phosphate dehydrogenase,+,496636,497640,496636,WT_broth,496567,11.074,vertis,TSS,LN908249_496567_11.074_+_1.0953171281457,69
MIDG2331_RS02245,gap,type I glyceraldehyde-3-phosphate dehydrogenase,+,496636,497640,496636,WT_broth,496531,57.031,vertis,TSS,LN908249_496531_57.031_+_1.83837081916299,105
MIDG2331_RS02245,gap,type I glyceraldehyde-3-phosphate dehydrogenase,+,496636,497640,496636,WT_broth,494782,49.279,vertis,TSS,LN908249_494782_49.279_+_0.16816585118305,1854
MIDG2331_RS02245,gap,type I glyceraldehyde-3-phosphate dehydrogenase,+,496636,497640,496636,WT_plate,496603,19.879,vertis,TSS,LN908249_496603_19.879_+_0.454396534481019,33
MIDG2331_RS02245,gap,type I glyceraldehyde-3-phosphate dehydrogenase,+,496636,497640,496636,WT_plate,496578,189.817,vertis,TSS,LN908249_496578_189.817_+_0.220879458204944,58
MIDG2331_RS02245,gap,type I glyceraldehyde-3-phosphate dehydrogenase,+,496636,497640,496636,WT_plate,496528,26.933,vertis,TSS,LN908249_496528_26.933_+_0.430673947187882,108
MIDG2331_RS02245,gap,type I glyceraldehyde-3-phosphate dehydrogenase,+,496636,497640,496636,WT_plate,494782,11.543,vertis,TSS,LN908249_494782_11.543_+_1.69747438798529,1854
MIDG2331_RS02300,ykgF,LutB/LldF family L-lactate oxidation iron-sulfur protein,-,517763,519172,519172,WT_plate,519504,17.956,vertis,TSS,LN908249_519504_17.956_-_0.906217853679383,332
MIDG2331_RS02300,ykgF,LutB/LldF family L-lactate oxidation iron-sulfur protein,-,517763,519172,519172,WT_plate,520077,26.292,vertis,TSS,LN908249_520077_26.292_-_0.885282749081574,905
MIDG2331_RS02300,ykgF,LutB/LldF family L-lactate oxidation iron-sulfur protein,-,517763,519172,519172,WT_plate,520584,16.032,vertis,TSS,LN908249_520584_16.032_-_3.06478494745903,1412
MIDG2331_RS02335,sucC,ADP-forming succinate--CoA ligase subunit beta,-,526806,527972,527972,WT_broth,528006,253.04,vertis,TSS,LN908249_528006_253.040_-_0.904686531413788,34
MIDG2331_RS02335,sucC,ADP-forming succinate--CoA ligase subunit beta,-,526806,527972,527972,WT_broth,529009,13.289,vertis,TSS,LN908249_529009_13.289_-_0.47379247548399,1037
MIDG2331_RS02335,sucC,ADP-forming succinate--CoA ligase subunit beta,-,526806,527972,527972,WT_broth,529404,14.95,vertis,TSS,LN908249_529404_14.950_-_5.22761292775048,1432
MIDG2331_RS02335,sucC,ADP-forming succinate--CoA ligase subunit beta,-,526806,527972,527972,WT_plate,528006,160.959,vertis,TSS,LN908249_528006_160.959_-_0.691910799618973,34
MIDG2331_RS02335,sucC,ADP-forming succinate--CoA ligase subunit beta,-,526806,527972,527972,WT_plate,529009,10.26,vertis,TSS,LN908249_529009_10.260_-_0.980169787898216,1037
MIDG2331_RS02505,rplY,50S ribosomal protein L25,+,562824,563111,562824,WT_broth,562723,325.574,vertis,TSS,LN908249_562723_325.574_+_2.81546022134175,101
MIDG2331_RS02505,rplY,50S ribosomal protein L25,+,562824,563111,562824,WT_broth,561269,19.933,vertis,TSS,LN908249_561269_19.933_+_1.2513423279276,1555
MIDG2331_RS02505,rplY,50S ribosomal protein L25,+,562824,563111,562824,WT_plate,562752,13.467,vertis,TSS,LN908249_562752_13.467_+_2.16111388891202,72
MIDG2331_RS02505,rplY,50S ribosomal protein L25,+,562824,563111,562824,WT_plate,562743,252.02,vertis,TSS,LN908249_562743_252.020_+_0.506703010520173,81
MIDG2331_RS02505,rplY,50S ribosomal protein L25,+,562824,563111,562824,WT_plate,562723,262.922,vertis,TSS,LN908249_562723_262.922_+_1.87422770308276,101
MIDG2331_RS02505,rplY,50S ribosomal protein L25,+,562824,563111,562824,WT_plate,561269,57.073,vertis,TSS,LN908249_561269_57.073_+_2.703970324881,1555
MIDG2331_RS02505,rplY,50S ribosomal protein L25,+,562824,563111,562824,WT_plate,561207,23.727,vertis,TSS,LN908249_561207_23.727_+_1.39325258635192,1617
MIDG2331_RS02890,rpsI,30S ribosomal protein S9,+,651993,652388,651993,WT_broth,651409,870.412,vertis,TSS,LN908249_651409_870.412_+_5.33727822193043,584
MIDG2331_RS02890,rpsI,30S ribosomal protein S9,+,651993,652388,651993,WT_plate,651821,41.041,vertis,TSS,LN908249_651821_41.041_+_0.00899185907703032,172
MIDG2331_RS02890,rpsI,30S ribosomal protein S9,+,651993,652388,651993,WT_plate,651409,716.943,vertis,TSS,LN908249_651409_716.943_+_3.82348062429435,584
MIDG2331_RS02905,fieF,cation diffusion facilitator family transporter,+,653863,654786,653863,WT_broth,652486,101.88,vertis,TSS,LN908249_652486_101.880_+_0.631018364702837,1377
MIDG2331_RS02905,fieF,cation diffusion facilitator family transporter,+,653863,654786,653863,WT_plate,652486,26.933,vertis,TSS,LN908249_652486_26.933_+_1.41102562712989,1377
MIDG2331_RS02905,fieF,cation diffusion facilitator family transporter,+,653863,654786,653863,WT_plate,652039,13.467,vertis,TSS,LN908249_652039_13.467_+_1.16111388891202,1824
MIDG2331_RS02970,lrp,leucine-responsive transcriptional regulator Lrp,+,667396,667878,667396,WT_broth,667246,42.081,vertis,TSS,LN908249_667246_42.081_+_2.47385119510259,150
MIDG2331_RS02970,lrp,leucine-responsive transcriptional regulator Lrp,+,667396,667878,667396,WT_broth,666032,33.222,vertis,TSS,LN908249_666032_33.222_+_3.21088713233229,1364
MIDG2331_RS02970,lrp,leucine-responsive transcriptional regulator Lrp,+,667396,667878,667396,WT_plate,667246,18.597,vertis,TSS,LN908249_667246_18.597_+_1.83820896677046,150
MIDG2331_RS02975,ftsK,DNA translocase FtsK,+,667890,670760,667890,WT_broth,667246,42.081,vertis,TSS,LN908249_667246_42.081_+_2.47385119510259,644
MIDG2331_RS02975,ftsK,DNA translocase FtsK,+,667890,670760,667890,WT_broth,666032,33.222,vertis,TSS,LN908249_666032_33.222_+_3.21088713233229,1858
MIDG2331_RS02975,ftsK,DNA translocase FtsK,+,667890,670760,667890,WT_plate,667246,18.597,vertis,TSS,LN908249_667246_18.597_+_1.83820896677046,644
MIDG2331_RS03230,ompP2B,porin,-,712179,713264,713264,WT_broth,713331,38.759,vertis,TSS,LN908249_713331_38.759_-_0.245505452290317,67
MIDG2331_RS03230,ompP2B,porin,-,712179,713264,713264,WT_broth,713379,5574.071,vertis,TSS,LN908249_713379_5574.071_-_1.26729921357768,115
MIDG2331_RS03230,ompP2B,porin,-,712179,713264,713264,WT_plate,713270,29.499,vertis,TSS,LN908249_713270_29.499_-_0.0103071119018521,6
MIDG2331_RS03230,ompP2B,porin,-,712179,713264,713264,WT_plate,713330,1096.576,vertis,TSS,LN908249_713330_1096.576_-_0.694738505742225,66
MIDG2331_RS03230,ompP2B,porin,-,712179,713264,713264,WT_plate,713379,9020.142,vertis,TSS,LN908249_713379_9020.142_-_1.4661519944973,115
MIDG2331_RS03295,aspC,amino acid aminotransferase,+,725436,726632,725436,WT_broth,725403,396.447,vertis,TSS,LN908249_725403_396.447_+_0.546080165408126,33
MIDG2331_RS03300,pepP,Xaa-Pro aminopeptidase,-,726812,728098,728098,WT_broth,728119,10.52,vertis,TSS,LN908249_728119_10.520_-_2.13684540998156,21
MIDG2331_RS03300,pepP,Xaa-Pro aminopeptidase,-,726812,728098,728098,WT_plate,728120,21.803,vertis,TSS,LN908249_728120_21.803_-_2.14574528059479,22
MIDG2331_RS03495,hisC,histidinol-phosphate transaminase,-,773752,774846,774846,WT_broth,774880,249.717,vertis,TSS,LN908249_774880_249.717_-_1.88988029431301,34
MIDG2331_RS03495,hisC,histidinol-phosphate transaminase,-,773752,774846,774846,WT_broth,775367,11.628,vertis,TSS,LN908249_775367_11.628_-_4.86507041991389,521
MIDG2331_RS03495,hisC,histidinol-phosphate transaminase,-,773752,774846,774846,WT_broth,776342,71.427,vertis,TSS,LN908249_776342_71.427_-_1.41892752132604,1496
MIDG2331_RS03495,hisC,histidinol-phosphate transaminase,-,773752,774846,774846,WT_plate,774880,123.124,vertis,TSS,LN908249_774880_123.124_-_1.57471111822311,34
MIDG2331_RS03495,hisC,histidinol-phosphate transaminase,-,773752,774846,774846,WT_plate,776342,20.521,vertis,TSS,LN908249_776342_20.521_-_1.52775989492741,1496
MIDG2331_RS03630,ilvI,acetolactate synthase 3 large subunit,+,806361,808085,806361,WT_broth,806313,21.594,vertis,TSS,LN908249_806313_21.594_+_0.51121749014545,48
MIDG2331_RS03630,ilvI,acetolactate synthase 3 large subunit,+,806361,808085,806361,WT_broth,804971,1846.58,vertis,TSS,LN908249_804971_1846.580_+_2.59228602044599,1390
MIDG2331_RS03630,ilvI,acetolactate synthase 3 large subunit,+,806361,808085,806361,WT_plate,805292,12.825,vertis,TSS,LN908249_805292_12.825_+_1.3801774490696,1069
MIDG2331_RS03630,ilvI,acetolactate synthase 3 large subunit,+,806361,808085,806361,WT_plate,804971,5045.534,vertis,TSS,LN908249_804971_5045.534_+_2.54607073748668,1390
MIDG2331_RS03810,arfA,alternative ribosome-rescue factor A,-,842285,842527,842527,WT_broth,842568,196.009,vertis,TSS,LN908249_842568_196.009_-_0.301140225049097,41
MIDG2331_RS03810,arfA,alternative ribosome-rescue factor A,-,842285,842527,842527,WT_broth,843881,17.718,vertis,TSS,LN908249_843881_17.718_-_2.01423804518152,1354
MIDG2331_RS03810,arfA,alternative ribosome-rescue factor A,-,842285,842527,842527,WT_plate,842568,302.681,vertis,TSS,LN908249_842568_302.681_-_1.49610770480673,41
MIDG2331_RS03810,arfA,alternative ribosome-rescue factor A,-,842285,842527,842527,WT_plate,843881,21.162,vertis,TSS,LN908249_843881_21.162_-_2.68751070593772,1354
MIDG2331_RS03840,sstT,serine/threonine transporter SstT,-,849091,850305,850305,WT_broth,850369,110.739,vertis,TSS,LN908249_850369_110.739_-_3.41723219520612,64
MIDG2331_RS04545,dapA,4-hydroxy-tetrahydrodipicolinate synthase,-,1011389,1012282,1012282,WT_broth,1012311,13.289,vertis,TSS,LN908249_1012311_13.289_-_0.97130100366366,29
MIDG2331_RS04545,dapA,4-hydroxy-tetrahydrodipicolinate synthase,-,1011389,1012282,1012282,WT_broth,1012331,40.42,vertis,TSS,LN908249_1012331_40.420_-_0.237323491403797,49
MIDG2331_RS04545,dapA,4-hydroxy-tetrahydrodipicolinate synthase,-,1011389,1012282,1012282,WT_broth,1013649,21.594,vertis,TSS,LN908249_1013649_21.594_-_5.75809795142354,1367
MIDG2331_RS04545,dapA,4-hydroxy-tetrahydrodipicolinate synthase,-,1011389,1012282,1012282,WT_plate,1012331,18.597,vertis,TSS,LN908249_1012331_18.597_-_0.659955589440857,49
MIDG2331_RS04600,hlpA,MetQ/NlpA family lipoprotein,-,1020547,1021368,1021368,WT_broth,1023129,57.031,vertis,TSS,LN908249_1023129_57.031_-_1.20606758636859,1761
MIDG2331_RS04600,hlpA,MetQ/NlpA family lipoprotein,-,1020547,1021368,1021368,WT_plate,1023129,26.933,vertis,TSS,LN908249_1023129_26.933_-_1.00574298529443,1761
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_broth,1040177,14.396,vertis,TSS,LN908249_1040177_14.396_-_0.174152746577808,610
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_broth,1041477,205.422,vertis,TSS,LN908249_1041477_205.422_-_1.89011208174777,1910
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1039718,12.825,vertis,TSS,LN908249_1039718_12.825_-_0.964993550172087,151
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1039768,41.041,vertis,TSS,LN908249_1039768_41.041_-_0.19473062757667,201
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1039777,142.363,vertis,TSS,LN908249_1039777_142.363_-_0.353708456811596,210
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1039789,12.184,vertis,TSS,LN908249_1039789_12.184_-_0.668630149941152,222
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1039877,27.575,vertis,TSS,LN908249_1039877_27.575_-_1.13085343985862,310
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1039901,10.26,vertis,TSS,LN908249_1039901_10.260_-_0.420673033948276,334
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1039912,33.987,vertis,TSS,LN908249_1039912_33.987_-_0.670679380385958,345
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1039978,12.184,vertis,TSS,LN908249_1039978_12.184_-_0.521831263196556,411
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1040009,10.902,vertis,TSS,LN908249_1040009_10.902_-_0.560751346525495,442
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1040037,17.956,vertis,TSS,LN908249_1040037_17.956_-_1.12866046880694,470
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1040177,583.558,vertis,TSS,LN908249_1040177_583.558_-_1.39077896534364,610
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1040234,23.727,vertis,TSS,LN908249_1040234_23.727_-_0.0800713285257689,667
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1040297,11.543,vertis,TSS,LN908249_1040297_11.543_-_1.39801545100654,730
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1040313,15.391,vertis,TSS,LN908249_1040313_15.391_-_2.64301280984307,746
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1040322,22.445,vertis,TSS,LN908249_1040322_22.445_-_0.60255261737313,755
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1040633,21.803,vertis,TSS,LN908249_1040633_21.803_-_0.14567207892844,1066
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1040812,114.788,vertis,TSS,LN908249_1040812_114.788_-_1.89179980649859,1245
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1040831,10.26,vertis,TSS,LN908249_1040831_10.260_-_2.05795656979952,1264
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1040915,12.184,vertis,TSS,LN908249_1040915_12.184_-_1.22812690389109,1348
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1041199,14.108,vertis,TSS,LN908249_1041199_14.108_-_0.0728815291624539,1632
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1041366,19.238,vertis,TSS,LN908249_1041366_19.238_-_0.353716114950746,1799
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567,1039567,WT_plate,1041429,164.807,vertis,TSS,LN908249_1041429_164.807_-_0.512697318273808,1862
