reference_locus,gene,annotation
MIDG2331_RS00230,nadR,multifunctional transcriptional regulator/nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase NadR
MIDG2331_RS00235,,metallophosphoesterase family protein
MIDG2331_RS00240,arcA,two-component system response regulator ArcA
MIDG2331_RS00245,,porin family protein
MIDG2331_RS00250,,KdsC family phosphatase
MIDG2331_RS00255,,YggS family pyridoxal phosphate-dependent enzyme
MIDG2331_RS00260,typA,translational GTPase TypA
MIDG2331_RS00265,,GrxA family glutaredoxin
MIDG2331_RS00270,rph,ribonuclease PH
MIDG2331_RS00275,,YicC/YloC family endoribonuclease
MIDG2331_RS00280,ygfZ,CAF17-like 4Fe-4S cluster assembly/insertion protein YgfZ
MIDG2331_RS00285,,YfhL family 4Fe-4S dicluster ferredoxin
MIDG2331_RS00290,,response regulator
MIDG2331_RS00295,rlmKL,bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL
MIDG2331_RS00300,trmL,tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase TrmL
MIDG2331_RS00305,tal,transaldolase
MIDG2331_RS00335,,ABC transporter substrate-binding protein
MIDG2331_RS00340,,ABC transporter substrate-binding protein
MIDG2331_RS00345,,ABC transporter permease subunit
MIDG2331_RS00350,,ABC transporter permease subunit
MIDG2331_RS00355,dppD,dipeptide ABC transporter ATP-binding protein
MIDG2331_RS00360,,peptide ABC transporter ATP-binding protein
MIDG2331_RS00365,psiE,phosphate-starvation-inducible protein PsiE
MIDG2331_RS00370,,hydrolase
MIDG2331_RS00375,,RidA family protein
MIDG2331_RS00380,,branched-chain amino acid aminotransferase
MIDG2331_RS00385,grxD,Grx4 family monothiol glutaredoxin
MIDG2331_RS00390,recR,recombination mediator RecR
MIDG2331_RS00395,,YbaB/EbfC family nucleoid-associated protein
MIDG2331_RS00400,,energy transducer TonB family protein
MIDG2331_RS00405,exbD,TonB system transport protein ExbD
MIDG2331_RS00410,exbB,TonB-system energizer ExbB
MIDG2331_RS00415,glpE,thiosulfate sulfurtransferase GlpE
MIDG2331_RS00420,,co-chaperone YbbN
MIDG2331_RS00425,dhaM,dihydroxyacetone kinase phosphoryl donor subunit DhaM
MIDG2331_RS00430,dhaL,dihydroxyacetone kinase subunit DhaL
MIDG2331_RS00435,dhaK,dihydroxyacetone kinase subunit DhaK
MIDG2331_RS00440,trxB,thioredoxin-disulfide reductase
MIDG2331_RS00445,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase
MIDG2331_RS00450,,YidB family protein
MIDG2331_RS00455,nudC,NAD(+) diphosphatase
MIDG2331_RS00460,,pseudouridine synthase
MIDG2331_RS00465,,DMT family transporter
MIDG2331_RS00470,,FxsA family protein
MIDG2331_RS00475,pepQ,Xaa-Pro dipeptidase
MIDG2331_RS00480,tusA,sulfurtransferase TusA
MIDG2331_RS00485,rraB,ribonuclease E inhibitor RraB
MIDG2331_RS00490,yihA,ribosome biogenesis GTP-binding protein YihA/YsxC
MIDG2331_RS00495,,DUF805 domain-containing protein
MIDG2331_RS00500,,ZIP family metal transporter
MIDG2331_RS00505,ilvD,dihydroxy-acid dehydratase
MIDG2331_RS00510,ilvM,acetolactate synthase 2 small subunit
MIDG2331_RS00515,ilvG,acetolactate synthase 2 catalytic subunit
MIDG2331_RS00520,nrfA,ammonia-forming nitrite reductase cytochrome c552 subunit
MIDG2331_RS00525,nrfB,cytochrome c nitrite reductase pentaheme subunit
MIDG2331_RS00530,nrfC,cytochrome c nitrite reductase Fe-S protein
MIDG2331_RS00535,nrfD,cytochrome c nitrite reductase subunit NrfD
MIDG2331_RS00540,,YadA-like family protein
MIDG2331_RS00545,,uracil-xanthine permease family protein
MIDG2331_RS00550,putA,bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA
MIDG2331_RS00555,putP,sodium/proline symporter PutP
MIDG2331_RS00560,,IclR family transcriptional regulator
MIDG2331_RS00565,,5-formyltetrahydrofolate cyclo-ligase
MIDG2331_RS00570,,cell division protein ZapA
MIDG2331_RS00575,,UPF0149 family protein
MIDG2331_RS00580,hemE,uroporphyrinogen decarboxylase
MIDG2331_RS00585,,YjaG family protein
MIDG2331_RS00590,,HU family DNA-binding protein
MIDG2331_RS00595,,thymidylate synthase
MIDG2331_RS00600,,hypothetical protein
MIDG2331_RS00605,bioB,biotin synthase BioB
MIDG2331_RS00610,cspE,transcription antiterminator/RNA stability regulator CspE
MIDG2331_RS00615,proQ,RNA chaperone ProQ
MIDG2331_RS00620,prc,carboxy terminal-processing peptidase
MIDG2331_RS00625,,"L,D-transpeptidase family protein"
MIDG2331_RS00630,,YcbK family protein
MIDG2331_RS00635,,MBL fold metallo-hydrolase
MIDG2331_RS00640,,choline/ethanolamine kinase family protein
MIDG2331_RS00645,,YcfL family protein
MIDG2331_RS00650,hinT,purine nucleoside phosphoramidase
MIDG2331_RS00655,,metal ABC transporter permease
MIDG2331_RS00660,,metal ABC transporter permease
MIDG2331_RS00665,rnhB,ribonuclease HII
MIDG2331_RS00670,rsgA,small ribosomal subunit biogenesis GTPase RsgA
MIDG2331_RS00675,,transcriptional regulator GcvA
MIDG2331_RS00680,yjjG,pyrimidine 5'-nucleotidase
MIDG2331_RS00685,cysB,HTH-type transcriptional regulator CysB
MIDG2331_RS00690,,hypothetical protein
MIDG2331_RS00695,ansB,L-asparaginase 2
MIDG2331_RS00700,pyrG,glutamine hydrolyzing CTP synthase
MIDG2331_RS00705,,DUF2301 domain-containing membrane protein
MIDG2331_RS00710,leuD,3-isopropylmalate dehydratase small subunit
MIDG2331_RS00715,leuC,3-isopropylmalate dehydratase large subunit
MIDG2331_RS00720,,CdaR family transcriptional regulator
MIDG2331_RS00725,,GntP family permease
MIDG2331_RS00730,,glycerate kinase
MIDG2331_RS00735,,acylphosphatase
MIDG2331_RS00740,,DUF2813 domain-containing protein
MIDG2331_RS00745,ppnN,nucleotide 5'-monophosphate nucleosidase PpnN
MIDG2331_RS00750,dusA,tRNA dihydrouridine(20/20a) synthase DusA
MIDG2331_RS00755,,ribonucleotide-diphosphate reductase subunit beta
MIDG2331_RS00760,,ribonucleoside-diphosphate reductase subunit alpha
MIDG2331_RS00765,nfuA,Fe-S biogenesis protein NfuA
MIDG2331_RS00770,,Na(+)-translocating NADH-quinone reductase subunit A
MIDG2331_RS00775,,NADH:ubiquinone reductase (Na(+)-transporting) subunit B
MIDG2331_RS00780,,Na(+)-translocating NADH-quinone reductase subunit C
MIDG2331_RS00785,,NADH:ubiquinone reductase (Na(+)-transporting) subunit D
MIDG2331_RS00790,nqrE,NADH:ubiquinone reductase (Na(+)-transporting) subunit E
MIDG2331_RS00795,nqrF,NADH:ubiquinone reductase (Na(+)-transporting) subunit F
MIDG2331_RS00800,,FAD:protein FMN transferase
MIDG2331_RS00805,nqrM,(Na+)-NQR maturation NqrM
MIDG2331_RS00810,mnmA,tRNA 2-thiouridine(34) synthase MnmA
MIDG2331_RS00815,,3-phenylpropionate MFS transporter
MIDG2331_RS00820,proC,pyrroline-5-carboxylate reductase
MIDG2331_RS00825,rdgC,recombination-associated protein RdgC
MIDG2331_RS00830,,beta-phosphoglucomutase family hydrolase
MIDG2331_RS00835,nrdD,anaerobic ribonucleoside-triphosphate reductase
MIDG2331_RS00840,nrdG,anaerobic ribonucleoside-triphosphate reductase activating protein
MIDG2331_RS00845,rsxA,electron transport complex subunit RsxA
MIDG2331_RS00850,rsxB,electron transport complex subunit RsxB
MIDG2331_RS00855,rsxC,electron transport complex subunit RsxC
MIDG2331_RS00860,,trimeric intracellular cation channel family protein
MIDG2331_RS00865,rsxD,electron transport complex subunit RsxD
MIDG2331_RS00870,rsxG,electron transport complex subunit RsxG
MIDG2331_RS00875,,electron transport complex subunit E
MIDG2331_RS00880,lpxM,lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase
MIDG2331_RS00885,,amidohydrolase family protein
MIDG2331_RS00890,thiB,thiamine ABC transporter substrate binding subunit
MIDG2331_RS00895,dksA,RNA polymerase-binding protein DksA
MIDG2331_RS00900,pcnB,polynucleotide adenylyltransferase PcnB
MIDG2331_RS00905,folK,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase
MIDG2331_RS00910,,YnbE family lipoprotein
MIDG2331_RS00915,,YdbH family protein
MIDG2331_RS00920,,hypothetical protein
MIDG2331_RS00925,gloA,lactoylglutathione lyase
MIDG2331_RS00930,rnt,ribonuclease T
MIDG2331_RS00935,,NRAMP family divalent metal transporter
MIDG2331_RS00940,tyrA,bifunctional chorismate mutase/prephenate dehydrogenase
MIDG2331_RS00945,,3-deoxy-7-phosphoheptulonate synthase
MIDG2331_RS00950,,glycosyltransferase family 9 protein
MIDG2331_RS00955,pyk,pyruvate kinase
MIDG2331_RS00960,sixA,phosphohistidine phosphatase SixA
MIDG2331_RS00965,dusB,tRNA dihydrouridine synthase DusB
MIDG2331_RS00970,fis,DNA-binding transcriptional regulator Fis
MIDG2331_RS00975,,sodium-dependent transporter
MIDG2331_RS00980,,Dam family site-specific DNA-(adenine-N6)-methyltransferase
MIDG2331_RS00985,aroB,3-dehydroquinate synthase
MIDG2331_RS00990,aroK,shikimate kinase AroK
MIDG2331_RS00995,,penicillin-binding protein 1A
MIDG2331_RS01000,,type IV pilus biogenesis protein PilM
MIDG2331_RS01005,,hypothetical protein
MIDG2331_RS01010,,hypothetical protein
MIDG2331_RS01015,,hypothetical protein
MIDG2331_RS01020,pilQ,type IV pilus secretin PilQ
MIDG2331_RS01025,nusB,transcription antitermination factor NusB
MIDG2331_RS01030,thiL,thiamine-phosphate kinase
MIDG2331_RS01035,,phosphatidylglycerophosphatase A family protein
MIDG2331_RS01040,,LysE family transporter
MIDG2331_RS01045,,TrmH family RNA methyltransferase
MIDG2331_RS01050,suhB,inositol-1-monophosphatase
MIDG2331_RS01055,dxs,1-deoxy-D-xylulose-5-phosphate synthase
MIDG2331_RS01070,glyA,serine hydroxymethyltransferase
MIDG2331_RS01075,,NAD(+) kinase
MIDG2331_RS01080,cas3f,type I-F CRISPR-associated helicase Cas3f
MIDG2331_RS01085,cas1f,type I-F CRISPR-associated endonuclease Cas1f
MIDG2331_RS01090,cas6f,type I-F CRISPR-associated endoribonuclease Cas6/Csy4
MIDG2331_RS01095,csy3,type I-F CRISPR-associated protein Csy3
MIDG2331_RS01100,csy2,type I-F CRISPR-associated protein Csy2
MIDG2331_RS01105,csy1,type I-F CRISPR-associated protein Csy1
MIDG2331_RS01110,thrS,threonine--tRNA ligase
MIDG2331_RS01115,,CsgG/HfaB family protein
MIDG2331_RS01120,,DUF4810 domain-containing protein
MIDG2331_RS01125,,DUF799 domain-containing protein
MIDG2331_RS01130,infC,translation initiation factor IF-3
MIDG2331_RS01135,rpmI,50S ribosomal protein L35
MIDG2331_RS01140,rplT,50S ribosomal protein L20
MIDG2331_RS01145,,hypothetical protein
MIDG2331_RS01150,,hypothetical protein
MIDG2331_RS01155,paeA,polyamine export protein PaeA
MIDG2331_RS01160,,TIGR01621 family pseudouridine synthase
MIDG2331_RS01165,,histidine phosphatase family protein
MIDG2331_RS01170,ruvX,Holliday junction resolvase RuvX
MIDG2331_RS01175,,YqgE/AlgH family protein
MIDG2331_RS01180,rsmE,16S rRNA (uracil(1498)-N(3))-methyltransferase
MIDG2331_RS01185,,YajG family lipoprotein
MIDG2331_RS01190,,BolA family protein
MIDG2331_RS01200,,copper resistance protein NlpE
MIDG2331_RS01205,,DciA family protein
MIDG2331_RS01210,secM,secA translation cis-regulator SecM
MIDG2331_RS01215,secA,preprotein translocase subunit SecA
MIDG2331_RS01220,,glycosyltransferase family 9 protein
MIDG2331_RS01225,mutT,8-oxo-dGTP diphosphatase MutT
MIDG2331_RS01230,argC,N-acetyl-gamma-glutamyl-phosphate reductase
MIDG2331_RS01235,argB,acetylglutamate kinase
MIDG2331_RS01240,,aspartate aminotransferase family protein
MIDG2331_RS01245,,transferrin-binding protein-like solute binding protein
MIDG2331_RS01265,rho,transcription termination factor Rho
MIDG2331_RS01270,cysK,cysteine synthase A
MIDG2331_RS01275,thrB,homoserine kinase
MIDG2331_RS01280,thrA,bifunctional aspartate kinase/homoserine dehydrogenase I
MIDG2331_RS01285,sodA,superoxide dismutase [Mn]
MIDG2331_RS01290,alr,alanine racemase
MIDG2331_RS01295,recD,exodeoxyribonuclease V subunit alpha
MIDG2331_RS01320,,aminoacyl-histidine dipeptidase
MIDG2331_RS01325,gpt,xanthine phosphoribosyltransferase
MIDG2331_RS01330,gmk,guanylate kinase
MIDG2331_RS01335,tdeA,toxin/drug exporter TdeA
MIDG2331_RS01340,,RnfH family protein
MIDG2331_RS01345,,type II toxin-antitoxin system RatA family toxin
MIDG2331_RS01350,modC,molybdenum ABC transporter ATP-binding protein ModC
MIDG2331_RS01355,modB,molybdate ABC transporter permease subunit
MIDG2331_RS01360,modA,molybdate ABC transporter substrate-binding protein
MIDG2331_RS01365,,ABC transporter permease
MIDG2331_RS01370,,ABC transporter ATP-binding protein
MIDG2331_RS01375,dnaX,DNA polymerase III subunit gamma/tau
MIDG2331_RS01380,apt,adenine phosphoribosyltransferase
MIDG2331_RS01385,,helix-turn-helix transcriptional regulator
MIDG2331_RS01390,,RidA family protein
MIDG2331_RS01395,,threonine synthase
MIDG2331_RS01400,,YbaK/prolyl-tRNA synthetase associated domain-containing protein
MIDG2331_RS01405,,metal ABC transporter ATP-binding protein
MIDG2331_RS01410,,metal ABC transporter substrate-binding protein
MIDG2331_RS01415,,TusE/DsrC/DsvC family sulfur relay protein
MIDG2331_RS01420,,Bax inhibitor-1 family protein
MIDG2331_RS01425,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
MIDG2331_RS01430,,TonB-dependent receptor domain-containing protein
MIDG2331_RS01435,uvrC,excinuclease ABC subunit UvrC
MIDG2331_RS01440,,TatD family hydrolase
MIDG2331_RS01445,rep,DNA helicase Rep
MIDG2331_RS01450,potA,spermidine/putrescine ABC transporter ATP-binding protein PotA
MIDG2331_RS01455,potB,spermidine/putrescine ABC transporter permease PotB
MIDG2331_RS01460,potC,spermidine/putrescine ABC transporter permease PotC
MIDG2331_RS01465,ruvA,Holliday junction branch migration protein RuvA
MIDG2331_RS01470,ruvB,Holliday junction branch migration DNA helicase RuvB
MIDG2331_RS01475,ubiG,bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG
MIDG2331_RS01480,gyrA,DNA topoisomerase (ATP-hydrolyzing) subunit A
MIDG2331_RS01485,,type I restriction-modification system subunit M
MIDG2331_RS01490,,virulence RhuM family protein
MIDG2331_RS01495,,Abi family protein
MIDG2331_RS01500,,restriction endonuclease subunit S
MIDG2331_RS01505,,AAA family ATPase
MIDG2331_RS01510,,type I restriction endonuclease subunit R
MIDG2331_RS01515,,ABC transporter ATP-binding protein
MIDG2331_RS01520,tcdA,tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA
MIDG2331_RS01525,,DUF5339 domain-containing protein
MIDG2331_RS01530,,cytochrome ubiquinol oxidase subunit I
MIDG2331_RS01535,cydB,cytochrome d ubiquinol oxidase subunit II
MIDG2331_RS01540,ybgE,cyd operon protein YbgE
MIDG2331_RS01545,ybgC,tol-pal system-associated acyl-CoA thioesterase
MIDG2331_RS01550,tolQ,protein TolQ
MIDG2331_RS01555,tolR,colicin uptake protein TolR
MIDG2331_RS01560,tolA,cell envelope integrity protein TolA
MIDG2331_RS01565,tolB,Tol-Pal system beta propeller repeat protein TolB
MIDG2331_RS01570,pal,peptidoglycan-associated lipoprotein Pal
MIDG2331_RS01575,,DMT family transporter
MIDG2331_RS01580,djlA,co-chaperone DjlA
MIDG2331_RS01585,dusC,tRNA dihydrouridine(16) synthase DusC
MIDG2331_RS01590,,YcjF family protein
MIDG2331_RS01595,,ABC transporter ATP-binding protein
MIDG2331_RS01600,,hypothetical protein
MIDG2331_RS01605,moeA,molybdopterin molybdotransferase MoeA
MIDG2331_RS01610,moeB,molybdopterin-synthase adenylyltransferase MoeB
MIDG2331_RS01620,rlmD,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
MIDG2331_RS01625,,anti-phage deoxyguanosine triphosphatase
MIDG2331_RS01630,rapA,RNA polymerase-associated protein RapA
MIDG2331_RS01635,rluA,bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA
MIDG2331_RS01640,ampD,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD"
MIDG2331_RS01645,,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ
MIDG2331_RS01650,pyrE,orotate phosphoribosyltransferase
MIDG2331_RS01655,,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase
MIDG2331_RS01660,metC,cystathionine beta-lyase
MIDG2331_RS01665,dsbB,disulfide bond formation protein DsbB
MIDG2331_RS01670,nhaB,sodium/proton antiporter NhaB
MIDG2331_RS01675,fadR,fatty acid metabolism transcriptional regulator FadR
MIDG2331_RS01680,,PhoH family protein
MIDG2331_RS01685,,AEC family transporter
MIDG2331_RS01690,prfB,peptide chain release factor 2
MIDG2331_RS01695,selD,"selenide, water dikinase SelD"
MIDG2331_RS01700,,NUDIX hydrolase
MIDG2331_RS01705,ubiH,2-octaprenyl-6-methoxyphenyl hydroxylase
MIDG2331_RS01710,,hypothetical protein
MIDG2331_RS01715,,hypothetical protein
MIDG2331_RS01720,,hypothetical protein
MIDG2331_RS01725,,FAD-dependent monooxygenase
MIDG2331_RS01730,rapZ,RNase adapter RapZ
MIDG2331_RS01735,,PTS sugar transporter subunit IIA
MIDG2331_RS01740,lptB,LPS export ABC transporter ATP-binding protein
MIDG2331_RS01745,lptA,lipopolysaccharide transport periplasmic protein LptA
MIDG2331_RS01750,lptC,LPS export ABC transporter periplasmic protein LptC
MIDG2331_RS01755,ppc,phosphoenolpyruvate carboxylase
MIDG2331_RS01760,,TPM domain-containing protein
MIDG2331_RS01765,,TPM domain-containing protein
MIDG2331_RS01770,,LemA family protein
MIDG2331_RS01775,,fructose-specific PTS transporter subunit EIIC
MIDG2331_RS01780,fruK,1-phosphofructokinase
MIDG2331_RS01785,fruB,fused PTS fructose transporter subunit IIA/HPr protein
MIDG2331_RS01790,glgB,"1,4-alpha-glucan branching protein GlgB"
MIDG2331_RS01795,glgX,glycogen debranching protein GlgX
MIDG2331_RS01800,glgC,glucose-1-phosphate adenylyltransferase
MIDG2331_RS01805,glgA,glycogen synthase GlgA
MIDG2331_RS01810,,glycogen/starch/alpha-glucan phosphorylase
MIDG2331_RS01815,ndk,nucleoside-diphosphate kinase
MIDG2331_RS01820,metG,methionine--tRNA ligase
MIDG2331_RS01825,menC,o-succinylbenzoate synthase
MIDG2331_RS01830,rsuA,16S rRNA pseudouridine(516) synthase RsuA
MIDG2331_RS01835,,Bcr/CflA family multidrug efflux MFS transporter
MIDG2331_RS01840,,hypothetical protein
MIDG2331_RS01845,,TorD/DmsD family molecular chaperone
MIDG2331_RS01850,nfo,deoxyribonuclease IV
MIDG2331_RS01855,,NlpC/P60 family protein
MIDG2331_RS01860,,LexA family protein
MIDG2331_RS01865,grcA,autonomous glycyl radical cofactor GrcA
MIDG2331_RS01870,ung,uracil-DNA glycosylase
MIDG2331_RS01875,,VirK/YbjX family protein
MIDG2331_RS01880,,S8 family serine peptidase
MIDG2331_RS01885,hrpA,ATP-dependent RNA helicase HrpA
MIDG2331_RS01890,,DUF441 domain-containing protein
MIDG2331_RS01895,grpE,nucleotide exchange factor GrpE
MIDG2331_RS01900,,extracellular solute-binding protein
MIDG2331_RS01905,,MATE family efflux transporter
MIDG2331_RS01910,recB,exodeoxyribonuclease V subunit beta
MIDG2331_RS01915,lnt,apolipoprotein N-acyltransferase
MIDG2331_RS01920,corC,CNNM family magnesium/cobalt transport protein CorC
MIDG2331_RS01925,,curli polymerization inhibitor CsgI-related protein
MIDG2331_RS01930,,MIP/aquaporin family protein
MIDG2331_RS01935,glpK,glycerol kinase GlpK
MIDG2331_RS01940,lon,endopeptidase La
MIDG2331_RS01945,glpT,glycerol-3-phosphate transporter
MIDG2331_RS01950,glpQ,glycerophosphodiester phosphodiesterase
MIDG2331_RS01955,glpA,anaerobic glycerol-3-phosphate dehydrogenase subunit A
MIDG2331_RS01960,glpB,glycerol-3-phosphate dehydrogenase subunit GlpB
MIDG2331_RS01965,glpC,anaerobic glycerol-3-phosphate dehydrogenase subunit GlpC
MIDG2331_RS01970,ribD,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD
MIDG2331_RS01975,ribE,riboflavin synthase
MIDG2331_RS01980,,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II"
MIDG2331_RS01985,ribH,"6,7-dimethyl-8-ribityllumazine synthase"
MIDG2331_RS01990,greB,transcription elongation factor GreB
MIDG2331_RS01995,,KpsF/GutQ family sugar-phosphate isomerase
MIDG2331_RS02000,pepB,aminopeptidase PepB
MIDG2331_RS02005,,"5'-nucleotidase, lipoprotein e(P4) family"
MIDG2331_RS02010,,bile acid:sodium symporter family protein
MIDG2331_RS02015,,efflux RND transporter periplasmic adaptor subunit
MIDG2331_RS02020,,Cof-type HAD-IIB family hydrolase
MIDG2331_RS02025,leuA,2-isopropylmalate synthase
MIDG2331_RS02030,rpoE,RNA polymerase sigma factor RpoE
MIDG2331_RS02035,,sigma-E factor negative regulatory protein
MIDG2331_RS02040,,SoxR reducing system RseC family protein
MIDG2331_RS02045,fadD,long-chain-fatty-acid--CoA ligase FadD
MIDG2331_RS02050,upp,uracil phosphoribosyltransferase
MIDG2331_RS02055,rsmA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA
MIDG2331_RS02060,,peptidylprolyl isomerase
MIDG2331_RS02065,pyrR,bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR
MIDG2331_RS02070,hldE,bifunctional D-glycero-beta-D-manno-heptose-7-phosphate kinase/D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase HldE
MIDG2331_RS02075,der,ribosome biogenesis GTPase Der
MIDG2331_RS02080,hemA,glutamyl-tRNA reductase
MIDG2331_RS02085,relA,GTP diphosphokinase
MIDG2331_RS02090,ispC,1-deoxy-D-xylulose-5-phosphate reductoisomerase
MIDG2331_RS02095,,"IS256 family transposase, variant Zn-binding type"
MIDG2331_RS02100,lpxA,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase
MIDG2331_RS02105,fabZ,3-hydroxyacyl-ACP dehydratase FabZ
MIDG2331_RS02110,lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
MIDG2331_RS02115,,OmpH/Skp family outer membrane protein
MIDG2331_RS02120,bamA,outer membrane protein assembly factor BamA
MIDG2331_RS02125,rseP,RIP metalloprotease RseP
MIDG2331_RS02130,,phosphatidate cytidylyltransferase
MIDG2331_RS02135,,isoprenyl transferase
MIDG2331_RS02140,gloB,hydroxyacylglutathione hydrolase
MIDG2331_RS02145,nagK,N-acetylglucosamine kinase
MIDG2331_RS02150,,phosphatase PAP2 family protein
MIDG2331_RS02155,yhbY,ribosome assembly RNA-binding protein YhbY
MIDG2331_RS02160,,glycosyltransferase family 2 protein
MIDG2331_RS02165,,D-alanyl-D-alanine carboxypeptidase family protein
MIDG2331_RS02170,,glycosyltransferase family 9 protein
MIDG2331_RS02175,argG,argininosuccinate synthase
MIDG2331_RS02180,rnhA,ribonuclease HI
MIDG2331_RS02185,,CvpA family protein
MIDG2331_RS02190,purF,amidophosphoribosyltransferase
MIDG2331_RS02195,,DUF5358 family protein
MIDG2331_RS02200,gdhA,NADP-specific glutamate dehydrogenase
MIDG2331_RS02205,bamE,outer membrane protein assembly factor BamE
MIDG2331_RS02210,yejK,nucleoid-associated protein YejK
MIDG2331_RS02215,,RidA family protein
MIDG2331_RS02220,pgeF,peptidoglycan editing factor PgeF
MIDG2331_RS02230,,YceK/YidQ family lipoprotein
MIDG2331_RS02235,leuB,3-isopropylmalate dehydrogenase
MIDG2331_RS02240,msrB,peptide-methionine (R)-S-oxide reductase MsrB
MIDG2331_RS02245,gap,type I glyceraldehyde-3-phosphate dehydrogenase
MIDG2331_RS02250,,rod shape-determining protein
MIDG2331_RS02255,mreC,rod shape-determining protein MreC
MIDG2331_RS02260,mreD,rod shape-determining protein MreD
MIDG2331_RS02265,,replication-associated recombination protein A
MIDG2331_RS02270,znuB,zinc ABC transporter permease subunit ZnuB
MIDG2331_RS02275,,class II glutamine amidotransferase
MIDG2331_RS02280,metX,homoserine O-acetyltransferase MetX
MIDG2331_RS02285,,SanA/YdcF family protein
