reference_locus,old_locus_tag,gene,annotation,strand,gene_start,gene_end
MIDG2331_RS00090,MIDG2331_00018,murG,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,+,20773,21828
MIDG2331_RS00095,MIDG2331_00019,murC,UDP-N-acetylmuramate--L-alanine ligase,+,21880,23307
MIDG2331_RS00100,MIDG2331_00020,,D-alanine--D-alanine ligase,+,23415,24326
MIDG2331_RS00105,MIDG2331_00021,,cell division protein FtsQ/DivIB,+,24467,25120
MIDG2331_RS00110,MIDG2331_00022,ftsA,cell division protein FtsA,+,25146,26420
MIDG2331_RS00115,MIDG2331_00023,ftsZ,cell division protein FtsZ,+,26459,27670
MIDG2331_RS00120,MIDG2331_00024,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,+,27704,28624
MIDG2331_RS00125,MIDG2331_00025,recN,DNA repair protein RecN,+,28786,30459
MIDG2331_RS00130,MIDG2331_00026,,ABC transporter ATP-binding protein,-,30601,32004
MIDG2331_RS00135,MIDG2331_00027,,ABC transporter permease,-,32004,32789
MIDG2331_RS00140,MIDG2331_00028,,ABC transporter permease,-,32792,33739
MIDG2331_RS00145,MIDG2331_00029,,ABC transporter substrate-binding protein,-,33833,35407
MIDG2331_RS00150,MIDG2331_00030,prfC,peptide chain release factor 3,-,35601,37181
MIDG2331_RS00155,MIDG2331_00031,,DUF805 domain-containing protein,+,37364,37831
MIDG2331_RS00160,MIDG2331_00032,,DUF805 domain-containing protein,+,37878,38393
MIDG2331_RS00165,MIDG2331_00033,pth,aminoacyl-tRNA hydrolase,+,38520,39104
MIDG2331_RS00170,MIDG2331_00034,ychF,redox-regulated ATPase YchF,+,39213,40304
MIDG2331_RS00175,MIDG2331_00035,,methyltransferase family protein,+,40376,40813
MIDG2331_RS00180,MIDG2331_00036,,hypothetical protein,-,40863,41138
MIDG2331_RS00185,MIDG2331_00037,,outer membrane lipoprotein,-,41169,41633
MIDG2331_RS00190,MIDG2331_00038,,VOC family protein,-,41660,42256
MIDG2331_RS00195,MIDG2331_00039,argS,arginine--tRNA ligase,+,42354,44081
MIDG2331_RS00200,MIDG2331_00040,cgtA,Obg family GTPase CgtA,+,44225,45400
MIDG2331_RS00205,MIDG2331_00041,,HI_0552 family protein,+,45475,46086
MIDG2331_RS00210,MIDG2331_00042,rlmB,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,-,46186,46929
MIDG2331_RS00215,MIDG2331_00043,pssA,CDP-diacylglycerol--serine O-phosphatidyltransferase,-,47008,48372
MIDG2331_RS00220,MIDG2331_00044,ileS,isoleucine--tRNA ligase,-,48524,51340
MIDG2331_RS00225,MIDG2331_00045,ribF,bifunctional riboflavin kinase/FAD synthetase,-,51401,52363
MIDG2331_RS00230,MIDG2331_00046,nadR,multifunctional transcriptional regulator/nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase NadR,+,52696,53976
MIDG2331_RS00235,MIDG2331_00047,,metallophosphoesterase family protein,+,53973,54671
MIDG2331_RS00240,MIDG2331_00048,arcA,two-component system response regulator ArcA,+,54844,55560
MIDG2331_RS00245,MIDG2331_00049,,porin family protein,+,55612,56130
MIDG2331_RS00250,MIDG2331_00050,,KdsC family phosphatase,-,56214,56750
MIDG2331_RS00255,MIDG2331_00051,,YggS family pyridoxal phosphate-dependent enzyme,+,56805,57500
MIDG2331_RS00260,MIDG2331_00052,typA,translational GTPase TypA,+,57692,59539
MIDG2331_RS00265,MIDG2331_00053,,GrxA family glutaredoxin,+,59698,59961
MIDG2331_RS00270,MIDG2331_00054,rph,ribonuclease PH,-,60027,60743
MIDG2331_RS00275,MIDG2331_00055,,YicC/YloC family endoribonuclease,+,60947,61810
MIDG2331_RS00280,MIDG2331_00056,ygfZ,CAF17-like 4Fe-4S cluster assembly/insertion protein YgfZ,+,61819,62706
MIDG2331_RS00285,MIDG2331_00057,,YfhL family 4Fe-4S dicluster ferredoxin,-,62756,63016
MIDG2331_RS00290,MIDG2331_00058,,response regulator,-,63162,63791
MIDG2331_RS00295,MIDG2331_00059,rlmKL,bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL,+,63995,66133
MIDG2331_RS00300,MIDG2331_00060,trmL,tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase TrmL,+,66191,66670
MIDG2331_RS00305,MIDG2331_00061,tal,transaldolase,-,66810,67757
MIDG2331_RS00335,MIDG2331_00066,,ABC transporter substrate-binding protein,+,73811,75406
MIDG2331_RS00340,MIDG2331_00067,,ABC transporter substrate-binding protein,+,75574,77175
MIDG2331_RS00345,MIDG2331_00068,,ABC transporter permease subunit,+,77303,78307
MIDG2331_RS00350,MIDG2331_00069,,ABC transporter permease subunit,+,78385,79275
MIDG2331_RS00355,MIDG2331_00070,dppD,dipeptide ABC transporter ATP-binding protein,+,79286,80272
MIDG2331_RS00360,MIDG2331_00071,,peptide ABC transporter ATP-binding protein,+,80285,81274
MIDG2331_RS00365,MIDG2331_00072,psiE,phosphate-starvation-inducible protein PsiE,-,81347,81757
MIDG2331_RS00370,MIDG2331_00073,,hydrolase,-,81835,82467
MIDG2331_RS00375,MIDG2331_00074,,RidA family protein,-,82522,82866
MIDG2331_RS00380,MIDG2331_00075,,branched-chain amino acid aminotransferase,-,82953,83990
MIDG2331_RS00385,MIDG2331_00076,grxD,Grx4 family monothiol glutaredoxin,-,84132,84464
MIDG2331_RS00390,MIDG2331_00077,recR,recombination mediator RecR,-,84536,85141
MIDG2331_RS00395,MIDG2331_00078,,YbaB/EbfC family nucleoid-associated protein,-,85212,85541
MIDG2331_RS00400,MIDG2331_00079,,energy transducer TonB family protein,-,85710,86567
MIDG2331_RS00405,MIDG2331_00080,exbD,TonB system transport protein ExbD,-,86577,86966
MIDG2331_RS00410,MIDG2331_00081,exbB,TonB-system energizer ExbB,-,87011,87463
MIDG2331_RS00415,MIDG2331_00082,glpE,thiosulfate sulfurtransferase GlpE,+,87651,87977
MIDG2331_RS00420,MIDG2331_00083,,co-chaperone YbbN,+,88021,88866
MIDG2331_RS00425,MIDG2331_00084,dhaM,dihydroxyacetone kinase phosphoryl donor subunit DhaM,-,88941,89348
MIDG2331_RS00430,MIDG2331_00085,dhaL,dihydroxyacetone kinase subunit DhaL,-,89357,89983
MIDG2331_RS00435,MIDG2331_00086,dhaK,dihydroxyacetone kinase subunit DhaK,-,89985,91055
MIDG2331_RS00440,MIDG2331_00087,trxB,thioredoxin-disulfide reductase,+,91225,92178
MIDG2331_RS00445,MIDG2331_00088,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase,+,92286,93038
MIDG2331_RS00450,MIDG2331_00089,,YidB family protein,+,93162,93587
MIDG2331_RS00455,MIDG2331_00090,nudC,NAD(+) diphosphatase,-,93661,94449
MIDG2331_RS00460,MIDG2331_00091,,pseudouridine synthase,-,94449,95147
MIDG2331_RS00465,MIDG2331_00092,,DMT family transporter,-,95148,95996
MIDG2331_RS00470,MIDG2331_00093,,FxsA family protein,-,95996,96460
MIDG2331_RS00475,MIDG2331_00094,pepQ,Xaa-Pro dipeptidase,-,96483,97814
MIDG2331_RS00480,MIDG2331_00095,tusA,sulfurtransferase TusA,+,97838,98077
MIDG2331_RS00485,MIDG2331_00096,rraB,ribonuclease E inhibitor RraB,-,98127,98567
MIDG2331_RS00490,MIDG2331_00097,yihA,ribosome biogenesis GTP-binding protein YihA/YsxC,-,98569,99189
MIDG2331_RS00495,MIDG2331_00098,,DUF805 domain-containing protein,-,99484,99900
MIDG2331_RS00500,MIDG2331_00099,,ZIP family metal transporter,-,99938,100768
MIDG2331_RS00505,MIDG2331_00100,ilvD,dihydroxy-acid dehydratase,-,100919,102754
MIDG2331_RS00510,MIDG2331_00101,ilvM,acetolactate synthase 2 small subunit,-,102872,103090
MIDG2331_RS00515,MIDG2331_00102,ilvG,acetolactate synthase 2 catalytic subunit,-,103111,104763
MIDG2331_RS00520,MIDG2331_00103,nrfA,ammonia-forming nitrite reductase cytochrome c552 subunit,+,105163,106671
MIDG2331_RS00525,MIDG2331_00104,nrfB,cytochrome c nitrite reductase pentaheme subunit,+,106692,107339
MIDG2331_RS00530,MIDG2331_00105,nrfC,cytochrome c nitrite reductase Fe-S protein,+,107339,108016
MIDG2331_RS00535,MIDG2331_00106,nrfD,cytochrome c nitrite reductase subunit NrfD,+,108016,108984
MIDG2331_RS00540,MIDG2331_00107,,YadA-like family protein,+,109268,122965
MIDG2331_RS00545,MIDG2331_00108,,uracil-xanthine permease family protein,-,123206,124435
MIDG2331_RS00550,MIDG2331_00109,putA,bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA,-,124595,128200
MIDG2331_RS00555,MIDG2331_00110,putP,sodium/proline symporter PutP,-,128303,129817
MIDG2331_RS00560,MIDG2331_00111,,IclR family transcriptional regulator,-,130392,131177
MIDG2331_RS00565,MIDG2331_00112,,5-formyltetrahydrofolate cyclo-ligase,-,131174,131749
MIDG2331_RS00570,MIDG2331_00114,,cell division protein ZapA,-,132020,132340
MIDG2331_RS00575,MIDG2331_00115,,UPF0149 family protein,+,132418,132969
MIDG2331_RS00580,MIDG2331_00116,hemE,uroporphyrinogen decarboxylase,+,133075,134139
MIDG2331_RS00585,MIDG2331_00117,,YjaG family protein,+,134263,134853
MIDG2331_RS00590,MIDG2331_00118,,HU family DNA-binding protein,+,134989,135261
MIDG2331_RS00595,MIDG2331_00119,,thymidylate synthase,-,135314,136165
MIDG2331_RS00600,MIDG2331_00120,,hypothetical protein,+,136253,136837
MIDG2331_RS00605,MIDG2331_00121,bioB,biotin synthase BioB,+,136933,137943
MIDG2331_RS00610,MIDG2331_00123,cspE,transcription antiterminator/RNA stability regulator CspE,-,138007,138216
MIDG2331_RS00615,MIDG2331_00124,proQ,RNA chaperone ProQ,+,138579,139127
MIDG2331_RS00620,MIDG2331_00125,prc,carboxy terminal-processing peptidase,+,139219,141231
MIDG2331_RS00625,MIDG2331_00126,,"L,D-transpeptidase family protein",+,141328,142893
MIDG2331_RS00630,MIDG2331_00127,,YcbK family protein,+,143065,143619
MIDG2331_RS00635,MIDG2331_00128,,MBL fold metallo-hydrolase,+,143637,144266
MIDG2331_RS00640,MIDG2331_00129,,choline/ethanolamine kinase family protein,-,144269,145018
MIDG2331_RS00645,MIDG2331_00130,,YcfL family protein,-,145015,145389
MIDG2331_RS00650,MIDG2331_00131,hinT,purine nucleoside phosphoramidase,-,145391,145756
MIDG2331_RS00655,MIDG2331_00132,,metal ABC transporter permease,-,145828,146658
MIDG2331_RS00660,MIDG2331_00133,,metal ABC transporter permease,-,146651,147505
MIDG2331_RS00665,MIDG2331_00134,rnhB,ribonuclease HII,-,147506,148099
MIDG2331_RS00670,MIDG2331_00135,rsgA,small ribosomal subunit biogenesis GTPase RsgA,-,148122,149156
MIDG2331_RS00675,MIDG2331_00137,,transcriptional regulator GcvA,+,149666,150556
MIDG2331_RS00680,MIDG2331_00138,yjjG,pyrimidine 5'-nucleotidase,+,150556,151236
MIDG2331_RS00685,MIDG2331_00139,cysB,HTH-type transcriptional regulator CysB,+,151236,152219
MIDG2331_RS00690,MIDG2331_00140,,hypothetical protein,+,152220,152864
MIDG2331_RS00695,MIDG2331_00141,ansB,L-asparaginase 2,-,152943,153992
MIDG2331_RS00700,MIDG2331_00142,pyrG,glutamine hydrolyzing CTP synthase,+,154297,155934
MIDG2331_RS00705,MIDG2331_00143,,DUF2301 domain-containing membrane protein,+,156034,156540
MIDG2331_RS00710,MIDG2331_00144,leuD,3-isopropylmalate dehydratase small subunit,-,156586,157188
MIDG2331_RS00715,MIDG2331_00145,leuC,3-isopropylmalate dehydratase large subunit,-,157199,158608
MIDG2331_RS00720,MIDG2331_00146,,CdaR family transcriptional regulator,+,158951,160066
MIDG2331_RS00725,MIDG2331_00147,,GntP family permease,+,160194,161456
MIDG2331_RS00730,MIDG2331_00148,,glycerate kinase,+,161467,162600
MIDG2331_RS00735,MIDG2331_00149,,acylphosphatase,+,162619,162891
MIDG2331_RS00740,MIDG2331_00150,,DUF2813 domain-containing protein,-,162962,164521
MIDG2331_RS00745,MIDG2331_00151,ppnN,nucleotide 5'-monophosphate nucleosidase PpnN,-,164525,165904
MIDG2331_RS00750,MIDG2331_00152,dusA,tRNA dihydrouridine(20/20a) synthase DusA,-,165964,166941
MIDG2331_RS00755,MIDG2331_00153,,ribonucleotide-diphosphate reductase subunit beta,+,167294,168271
MIDG2331_RS00760,MIDG2331_00154,,ribonucleoside-diphosphate reductase subunit alpha,+,168258,169922
MIDG2331_RS00765,MIDG2331_00155,nfuA,Fe-S biogenesis protein NfuA,-,170057,170656
MIDG2331_RS00770,MIDG2331_00156,,Na(+)-translocating NADH-quinone reductase subunit A,+,171111,172460
MIDG2331_RS00775,MIDG2331_00157,,NADH:ubiquinone reductase (Na(+)-transporting) subunit B,+,172465,173697
MIDG2331_RS00780,MIDG2331_00158,,Na(+)-translocating NADH-quinone reductase subunit C,+,173700,174473
MIDG2331_RS00785,MIDG2331_00159,,NADH:ubiquinone reductase (Na(+)-transporting) subunit D,+,174473,175096
MIDG2331_RS00790,MIDG2331_00160,nqrE,NADH:ubiquinone reductase (Na(+)-transporting) subunit E,+,175098,175694
MIDG2331_RS00795,MIDG2331_00161,nqrF,NADH:ubiquinone reductase (Na(+)-transporting) subunit F,+,175705,176934
MIDG2331_RS00800,MIDG2331_00162,,FAD:protein FMN transferase,+,177141,178172
MIDG2331_RS00805,MIDG2331_00163,nqrM,(Na+)-NQR maturation NqrM,+,178185,178430
MIDG2331_RS00810,MIDG2331_00164,mnmA,tRNA 2-thiouridine(34) synthase MnmA,+,178661,179830
MIDG2331_RS00815,MIDG2331_00165,,3-phenylpropionate MFS transporter,-,179903,181057
MIDG2331_RS00820,MIDG2331_00166,proC,pyrroline-5-carboxylate reductase,-,181054,181872
MIDG2331_RS00825,MIDG2331_00167,rdgC,recombination-associated protein RdgC,+,182046,182954
MIDG2331_RS00830,MIDG2331_00168,,beta-phosphoglucomutase family hydrolase,+,182964,183569
MIDG2331_RS00835,MIDG2331_00169,nrdD,anaerobic ribonucleoside-triphosphate reductase,-,183826,185607
MIDG2331_RS00840,MIDG2331_00170,nrdG,anaerobic ribonucleoside-triphosphate reductase activating protein,-,185612,186079
MIDG2331_RS00845,MIDG2331_00171,rsxA,electron transport complex subunit RsxA,+,186461,187042
MIDG2331_RS00850,MIDG2331_00172,rsxB,electron transport complex subunit RsxB,+,187042,187653
MIDG2331_RS00855,MIDG2331_00173,rsxC,electron transport complex subunit RsxC,+,187646,189958
MIDG2331_RS00860,MIDG2331_00174,,trimeric intracellular cation channel family protein,+,189951,190595
MIDG2331_RS00865,MIDG2331_00175,rsxD,electron transport complex subunit RsxD,+,190615,191661
MIDG2331_RS00870,MIDG2331_00176,rsxG,electron transport complex subunit RsxG,+,191661,192293
MIDG2331_RS00875,MIDG2331_00177,,electron transport complex subunit E,+,192305,192991
MIDG2331_RS00880,MIDG2331_00178,lpxM,lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase,+,193000,193956
MIDG2331_RS00885,MIDG2331_00179,,amidohydrolase family protein,-,194016,195002
MIDG2331_RS00890,MIDG2331_00181,thiB,thiamine ABC transporter substrate binding subunit,+,195444,196409
MIDG2331_RS00895,MIDG2331_00182,dksA,RNA polymerase-binding protein DksA,+,196616,197065
MIDG2331_RS00900,MIDG2331_00183,pcnB,polynucleotide adenylyltransferase PcnB,+,197208,198740
MIDG2331_RS00905,MIDG2331_00184,folK,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,+,198810,199280
MIDG2331_RS00910,MIDG2331_00185,,YnbE family lipoprotein,-,199317,199538
MIDG2331_RS00915,MIDG2331_00186,,YdbH family protein,-,199535,202264
MIDG2331_RS00920,MIDG2331_00187,,hypothetical protein,-,202264,203088
MIDG2331_RS00925,MIDG2331_00188,gloA,lactoylglutathione lyase,+,203186,203593
MIDG2331_RS00930,MIDG2331_00189,rnt,ribonuclease T,+,203733,204389
MIDG2331_RS00935,MIDG2331_00190,,NRAMP family divalent metal transporter,-,204480,205757
MIDG2331_RS00940,MIDG2331_00191,tyrA,bifunctional chorismate mutase/prephenate dehydrogenase,-,206333,207454
MIDG2331_RS00945,MIDG2331_00192,,3-deoxy-7-phosphoheptulonate synthase,-,207567,208628
MIDG2331_RS00950,MIDG2331_00193,,glycosyltransferase family 9 protein,-,208670,209716
MIDG2331_RS00955,MIDG2331_00194,pyk,pyruvate kinase,-,209804,211243
MIDG2331_RS00960,MIDG2331_00195,sixA,phosphohistidine phosphatase SixA,+,211375,211866
MIDG2331_RS00965,MIDG2331_00196,dusB,tRNA dihydrouridine synthase DusB,+,212089,213051
MIDG2331_RS00970,MIDG2331_00197,fis,DNA-binding transcriptional regulator Fis,+,213079,213375
MIDG2331_RS00975,MIDG2331_00198,,sodium-dependent transporter,-,213440,214798
MIDG2331_RS00980,MIDG2331_00199,,Dam family site-specific DNA-(adenine-N6)-methyltransferase,-,214863,215696
MIDG2331_RS00985,MIDG2331_00200,aroB,3-dehydroquinate synthase,-,215689,216789
MIDG2331_RS00990,MIDG2331_00201,aroK,shikimate kinase AroK,-,216863,217384
MIDG2331_RS00995,MIDG2331_00202,,penicillin-binding protein 1A,-,217646,220213
MIDG2331_RS01000,MIDG2331_00203,,type IV pilus biogenesis protein PilM,+,220352,221032
MIDG2331_RS01005,MIDG2331_00204,,hypothetical protein,+,221014,221535
MIDG2331_RS01010,MIDG2331_00205,,hypothetical protein,+,221634,222065
MIDG2331_RS01015,MIDG2331_00206,,hypothetical protein,+,222058,222462
MIDG2331_RS01020,MIDG2331_00207,pilQ,type IV pilus secretin PilQ,+,222474,223772
MIDG2331_RS01025,MIDG2331_00208,nusB,transcription antitermination factor NusB,+,223898,224311
MIDG2331_RS01030,MIDG2331_00209,thiL,thiamine-phosphate kinase,+,224376,225341
MIDG2331_RS01035,MIDG2331_00210,,phosphatidylglycerophosphatase A family protein,+,225354,225827
MIDG2331_RS01040,MIDG2331_00211,,LysE family transporter,+,225840,226466
MIDG2331_RS01045,MIDG2331_00212,,TrmH family RNA methyltransferase,-,226514,227551
MIDG2331_RS01050,MIDG2331_00213,suhB,inositol-1-monophosphatase,+,227717,228529
MIDG2331_RS01055,MIDG2331_00214,dxs,1-deoxy-D-xylulose-5-phosphate synthase,+,228650,230503
MIDG2331_RS01070,MIDG2331_00217,glyA,serine hydroxymethyltransferase,-,231971,233236
MIDG2331_RS01075,MIDG2331_00218,,NAD(+) kinase,-,233467,234354
MIDG2331_RS01080,MIDG2331_00219,cas3f,type I-F CRISPR-associated helicase Cas3f,-,234445,237792
MIDG2331_RS01085,MIDG2331_00220,cas1f,type I-F CRISPR-associated endonuclease Cas1f,-,237789,238745
MIDG2331_RS01090,MIDG2331_00221,cas6f,type I-F CRISPR-associated endoribonuclease Cas6/Csy4,-,240151,240720
MIDG2331_RS01095,MIDG2331_00222,csy3,type I-F CRISPR-associated protein Csy3,-,240723,241718
MIDG2331_RS01100,MIDG2331_00223,csy2,type I-F CRISPR-associated protein Csy2,-,241720,242679
MIDG2331_RS01105,MIDG2331_00224,csy1,type I-F CRISPR-associated protein Csy1,-,242676,244025
MIDG2331_RS01110,MIDG2331_00225,thrS,threonine--tRNA ligase,+,244475,246406
MIDG2331_RS01115,MIDG2331_00226,,CsgG/HfaB family protein,+,246548,247222
MIDG2331_RS01120,MIDG2331_00227,,DUF4810 domain-containing protein,+,247232,247579
MIDG2331_RS01125,MIDG2331_00228,,DUF799 domain-containing protein,+,247591,248250
MIDG2331_RS01130,MIDG2331_00229,infC,translation initiation factor IF-3,+,248465,249007
MIDG2331_RS01135,MIDG2331_00230,rpmI,50S ribosomal protein L35,+,249256,249453
MIDG2331_RS01140,MIDG2331_00231,rplT,50S ribosomal protein L20,+,249521,249874
MIDG2331_RS01145,MIDG2331_00232,,hypothetical protein,+,249923,250459
MIDG2331_RS01150,MIDG2331_00233,,hypothetical protein,+,250492,250785
MIDG2331_RS01155,MIDG2331_00234,paeA,polyamine export protein PaeA,-,250842,252137
MIDG2331_RS01160,MIDG2331_00235,,TIGR01621 family pseudouridine synthase,-,252181,252831
MIDG2331_RS01165,MIDG2331_00236,,histidine phosphatase family protein,+,252881,253513
MIDG2331_RS01170,MIDG2331_00237,ruvX,Holliday junction resolvase RuvX,-,253580,253993
MIDG2331_RS01175,MIDG2331_00238,,YqgE/AlgH family protein,-,254046,254606
MIDG2331_RS01180,MIDG2331_00239,rsmE,16S rRNA (uracil(1498)-N(3))-methyltransferase,-,254606,255337
MIDG2331_RS01185,MIDG2331_00240,,YajG family lipoprotein,-,255512,256102
MIDG2331_RS01190,MIDG2331_00241,,BolA family protein,+,256231,256542
MIDG2331_RS01200,MIDG2331_00243,,copper resistance protein NlpE,-,256935,257309
MIDG2331_RS01205,,,DciA family protein,-,257329,257637
MIDG2331_RS01210,MIDG2331_00244,secM,secA translation cis-regulator SecM,+,257740,258066
MIDG2331_RS01215,MIDG2331_00245,secA,preprotein translocase subunit SecA,+,258175,260892
MIDG2331_RS01220,MIDG2331_00246,,glycosyltransferase family 9 protein,+,261022,262209
MIDG2331_RS01225,MIDG2331_00247,mutT,8-oxo-dGTP diphosphatase MutT,+,262206,262604
MIDG2331_RS01230,MIDG2331_00248,argC,N-acetyl-gamma-glutamyl-phosphate reductase,+,262839,263783
MIDG2331_RS01235,MIDG2331_00249,argB,acetylglutamate kinase,+,263813,264667
MIDG2331_RS01240,MIDG2331_00250,,aspartate aminotransferase family protein,+,264681,265862
MIDG2331_RS01245,MIDG2331_00251,,transferrin-binding protein-like solute binding protein,+,266076,267785
MIDG2331_RS01265,MIDG2331_00255,rho,transcription termination factor Rho,-,270635,271897
MIDG2331_RS01270,MIDG2331_00256,cysK,cysteine synthase A,-,272095,273045
MIDG2331_RS01275,MIDG2331_00257,thrB,homoserine kinase,-,273257,274207
MIDG2331_RS01280,MIDG2331_00258,thrA,bifunctional aspartate kinase/homoserine dehydrogenase I,-,274207,276663
MIDG2331_RS01285,MIDG2331_00259,sodA,superoxide dismutase [Mn],+,277072,277713
MIDG2331_RS01290,MIDG2331_00260,alr,alanine racemase,-,277801,278925
MIDG2331_RS01295,MIDG2331_00261,recD,exodeoxyribonuclease V subunit alpha,+,279046,280983
MIDG2331_RS01320,MIDG2331_00266,,aminoacyl-histidine dipeptidase,-,286852,288306
MIDG2331_RS01325,MIDG2331_00267,gpt,xanthine phosphoribosyltransferase,+,288479,288952
MIDG2331_RS01330,MIDG2331_00268,gmk,guanylate kinase,+,289036,289656
MIDG2331_RS01335,MIDG2331_00269,tdeA,toxin/drug exporter TdeA,+,289758,291152
MIDG2331_RS01340,MIDG2331_00270,,RnfH family protein,-,291200,291529
MIDG2331_RS01345,MIDG2331_00271,,type II toxin-antitoxin system RatA family toxin,-,291489,291923
MIDG2331_RS01350,MIDG2331_00272,modC,molybdenum ABC transporter ATP-binding protein ModC,-,291971,293026
MIDG2331_RS01355,MIDG2331_00273,modB,molybdate ABC transporter permease subunit,-,293030,293719
MIDG2331_RS01360,MIDG2331_00274,modA,molybdate ABC transporter substrate-binding protein,-,293779,294537
MIDG2331_RS01365,MIDG2331_00275,,ABC transporter permease,-,294633,295394
MIDG2331_RS01370,MIDG2331_00276,,ABC transporter ATP-binding protein,-,295398,296306
MIDG2331_RS01375,MIDG2331_00277,dnaX,DNA polymerase III subunit gamma/tau,-,296306,298372
MIDG2331_RS01380,MIDG2331_00278,apt,adenine phosphoribosyltransferase,-,298421,298960
MIDG2331_RS01385,MIDG2331_00279,,helix-turn-helix transcriptional regulator,+,299161,299793
MIDG2331_RS01390,MIDG2331_00280,,RidA family protein,+,299793,300155
MIDG2331_RS01395,MIDG2331_00281,,threonine synthase,+,300166,301260
MIDG2331_RS01400,MIDG2331_00282,,YbaK/prolyl-tRNA synthetase associated domain-containing protein,+,301275,301766
MIDG2331_RS01405,MIDG2331_00283,,metal ABC transporter ATP-binding protein,-,301877,302632
MIDG2331_RS01410,MIDG2331_00284,,metal ABC transporter substrate-binding protein,-,302634,303530
MIDG2331_RS01415,MIDG2331_00285,,TusE/DsrC/DsvC family sulfur relay protein,-,303597,303932
MIDG2331_RS01420,MIDG2331_00286,,Bax inhibitor-1 family protein,-,303984,304649
MIDG2331_RS01425,MIDG2331_00287,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,+,304831,305382
MIDG2331_RS01430,MIDG2331_00288,,TonB-dependent receptor domain-containing protein,+,305502,307472
MIDG2331_RS01435,MIDG2331_00289,uvrC,excinuclease ABC subunit UvrC,+,307625,309457
MIDG2331_RS01440,MIDG2331_00290,,TatD family hydrolase,+,309526,310278
MIDG2331_RS01445,MIDG2331_00291,rep,DNA helicase Rep,-,310415,312433
MIDG2331_RS01450,MIDG2331_00292,potA,spermidine/putrescine ABC transporter ATP-binding protein PotA,+,312767,313882
MIDG2331_RS01455,MIDG2331_00293,potB,spermidine/putrescine ABC transporter permease PotB,+,313869,314735
MIDG2331_RS01460,MIDG2331_00294,potC,spermidine/putrescine ABC transporter permease PotC,+,314735,315502
MIDG2331_RS01465,MIDG2331_00295,ruvA,Holliday junction branch migration protein RuvA,+,315639,316244
MIDG2331_RS01470,MIDG2331_00296,ruvB,Holliday junction branch migration DNA helicase RuvB,+,316263,317267
MIDG2331_RS01475,MIDG2331_00297,ubiG,bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG,-,317324,318028
MIDG2331_RS01480,MIDG2331_00298,gyrA,DNA topoisomerase (ATP-hydrolyzing) subunit A,+,318208,320898
MIDG2331_RS01485,MIDG2331_00299,,type I restriction-modification system subunit M,+,320994,322544
